candidate_id,topology_seed,dynamics_seed,inventory_status,artifact_integrity,safe,event_yield_estimable,conditional_estimable,feasibility,n_returned_families,D_support,D_order,D_lag,D_cover,D_support_status,D_order_status,D_lag_status,D_cover_status,failure_reasons
dci_p004,2513,2513,PRESENT_VALIDATED,True,True,True,False,False,19,0.39800463734857733,,,12.562070961550011,OK,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,OK,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
dci_p004,2514,2514,PRESENT_VALIDATED,True,True,True,False,False,25,0.3613505069665674,,,12.188353525976103,OK,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,OK,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
dci_p005,2511,2511,PRESENT_VALIDATED,True,True,True,True,True,34,0.09178435043189277,0.18888206966847165,13.114682932913079,9.261372601605697,OK,OK,OK,OK,
dci_p005,2512,2512,PRESENT_VALIDATED,True,True,True,True,True,46,0.1090735536972625,0.17315002125026147,12.472742342974579,8.937315027232467,OK,OK,OK,OK,
dci_p005,2513,2513,PRESENT_VALIDATED,True,True,True,True,True,31,0.07945095690579142,0.19554505249830256,10.720883553703922,9.340350461782657,OK,OK,OK,OK,
dci_p005,2514,2514,PRESENT_VALIDATED,True,True,True,True,True,29,0.15246757331074212,0.22652950012074727,13.086731111813974,10.350232101009125,OK,OK,OK,OK,
dci_p006,2511,2511,PRESENT_VALIDATED,True,True,True,False,False,19,0.358024162312903,0.14199196298661185,45.363880504516096,12.257547155503975,OK,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,OK,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
dci_p006,2512,2512,PRESENT_VALIDATED,True,True,False,False,False,11,0.38657925067660387,,,12.83706609487885,OK,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,OK,LOW_RETURNED_FAMILY_YIELD|CONDITIONAL_COMPONENT_NOT_ESTIMABLE
dci_p006,2513,2513,PRESENT_VALIDATED,True,True,False,False,False,6,0.1492304880703829,,,13.544434544478255,OK,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,OK,LOW_RETURNED_FAMILY_YIELD|CONDITIONAL_COMPONENT_NOT_ESTIMABLE
dci_p006,2514,2514,PRESENT_VALIDATED,True,True,True,False,False,31,0.3977103564558035,0.14885143785433214,51.130989047914625,12.30348059701362,OK,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,OK,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
