candidate_id,block,artifact_units,safe_units,yield_estimable_units,conditional_estimable_units,joint_feasibility,continuous_surface_eligible,D_support,D_order,D_lag,D_cover,Z_D_support,Z_D_order,Z_D_lag,Z_D_cover,E_D_support,E_D_order,E_D_lag,E_D_cover,JK_D_support,JK_D_order,JK_D_lag,JK_D_cover,JK_Z_D_support,JK_Z_D_order,JK_Z_D_lag,JK_Z_D_cover,candidate_failure_reasons
dci_p000,reference,4,4,4,1,True,True,0.3251849588041384,0.12180715674449138,28.84980230509554,9.687978979761445,7.384873127007267,20.19753915915216,27.43241413445941,7.168982149684187,7.384873127007267,20.19753915915216,27.43241413445941,7.168982149684187,0.015444820075167011,0.01115450820796352,3.55429683167291,0.19655683737025995,0.3983223480924044,1.958295426354779,3.8014216523380115,0.5149303155738599,
dci_p001,full4d,4,4,4,0,False,False,,,,,,,,,,,,,,,,,,,,,POOLED_OR_LOO_NOT_ESTIMABLE:pooled D_order is not estimable
dci_p002,full4d,4,4,4,0,False,False,,,,,,,,,,,,,,,,,,,,,POOLED_OR_LOO_NOT_ESTIMABLE:pooled D_order is not estimable
dci_p003,full4d,4,4,4,2,True,True,0.2985756561364043,0.12175516247501665,26.697941431435947,9.054413709335316,6.5175733695320615,24.750335000227103,22.580272283675836,4.198418222140592,6.5175733695320615,24.750335000227103,22.580272283675836,4.198418222140592,0.01198616680409572,0.011730482198590034,3.4125994837860807,0.25512360947549173,0.3009850755390919,2.5325508435793127,3.3090449904385646,0.5537920937919111,
dci_p004,full4d,4,4,4,0,False,False,,,,,,,,,,,,,,,,,,,,,POOLED_OR_LOO_NOT_ESTIMABLE:pooled D_order is not estimable
dci_p005,full4d,4,4,4,4,True,True,0.09745314125056377,0.18467117866520869,11.745386913182644,8.513730357177275,1.5429177557858431,49.555995852731364,8.382351404726192,3.6157546251166615,1.5429177557858431,49.555995852731364,8.382351404726192,3.6157546251166615,0.013945083382014532,0.010147543548485377,0.5049911741844347,0.15382200330324103,0.3693087361763976,2.767359167337367,0.44465030221244006,0.35495477216926535,
dci_p006,full4d,4,4,2,0,True,True,0.35731498888181285,0.13986378895564652,64.5168355873924,11.807434180785902,7.445459792776342,10.625737815965074,59.33223582111615,8.714433677474464,7.445459792776342,10.625737815965074,59.33223582111615,8.714433677474464,0.03737373389143238,0.0157034771492605,1.6010304258908117,0.34029814326080465,0.8913163963884024,1.357650058727367,1.5920703864910857,0.7081198957163015,
dci_p007,full4d,4,4,4,1,True,True,0.3215700353772532,0.10519663731131441,26.263136908519197,10.008851200236299,6.447400346338564,17.494659793969813,20.693621655844083,5.471358058253567,6.447400346338564,17.494659793969813,20.693621655844083,5.471358058253567,0.024012255790931577,0.019881027223100166,5.63976819863082,0.1778561139627951,0.5555366825873056,3.6321379227613853,5.185834786309003,0.3547570590804366,
dci_p008,full4d,4,4,4,4,True,True,0.2850880148237322,0.33525560456960846,14.211061630473722,9.522074121902673,6.39061952056799,89.54026567956402,13.962930791451113,6.603895316460655,6.39061952056799,89.54026567956402,13.962930791451113,6.603895316460655,0.028310034681510433,0.03136827245809414,0.16840326012850496,0.03312741323614169,0.7327281189638488,8.517569817677359,0.20553573190613147,0.07541723266976598,
dci_p009,full4d,4,4,4,3,True,True,0.38106542722934766,0.15139454250728843,14.430929129093911,9.467240941930003,9.69612614702663,31.125677175614765,13.744146584436654,6.693739474161215,9.69612614702663,31.125677175614765,13.744146584436654,6.693739474161215,0.01987035825777232,0.02451491123398743,0.6900659076245228,0.11128486741966799,0.5605538749601424,5.268531791461847,0.8459521284721068,0.26902015550543007,
dci_p010,full4d,4,4,4,4,True,True,0.10546975854140817,0.15477769884165474,15.966955675280031,9.259920191758983,1.6647673629279565,46.672705924969925,12.994081467879138,4.921862573439117,1.6647673629279565,46.672705924969925,12.994081467879138,4.921862573439117,0.007613271578176054,0.027241896900859208,0.2540493126713081,0.04449775474626736,0.18811739230800023,8.368674388447067,0.23992810601899714,0.09095476321658355,
dci_p011,full4d,4,4,4,4,True,True,0.18019096731326453,0.12177465347608117,19.018902025772302,8.234701091347025,3.743204875732805,29.338030869269673,18.544695599810193,3.5249919706010804,3.743204875732805,29.338030869269673,18.544695599810193,3.5249919706010804,0.00804147517118501,0.011073407534427513,1.4381929470902937,0.1732672203334502,0.21260533959653494,2.7525433672243427,1.6213075251399975,0.4426927703661715,
dci_p012,full4d,4,4,4,4,True,True,0.30831116455083424,0.065654110509842,14.980802449363926,8.61951730759207,6.637987653204455,12.36049591281179,13.78468970955022,4.0932362201260135,6.637987653204455,12.36049591281179,13.78468970955022,4.0932362201260135,0.015435986958455371,0.01366049174337261,1.7749794574923614,0.22990676705637597,0.3783800939222844,2.8204159562017743,2.0508612997739224,0.5325736184595654,
dci_p013,full4d,4,4,4,3,True,True,0.24844834396316973,0.17170728298905394,63.815028713383235,11.13747463456107,5.256211497628089,17.494520373128683,52.582633872658626,6.605650728115639,5.256211497628089,17.494520373128683,52.582633872658626,6.605650728115639,0.02168799438543499,0.010332044930998447,2.2241436346052503,0.7460749451754324,0.5639098762427787,1.1218256879478095,1.957450420285633,1.4078051489192775,
dci_p014,full4d,4,4,1,0,False,False,,,,,,,,,,,,,,,,,,,,,POOLED_OR_LOO_NOT_ESTIMABLE:pooled event yield 25 is below the registered minimum 36
dci_p015,full4d,4,4,4,4,True,True,0.31315975385486317,0.2765088861435321,13.938200368417489,9.107705088848988,6.737275664695606,60.750891331156915,12.232595338286602,5.623475985496336,6.737275664695606,60.750891331156915,12.232595338286602,5.623475985496336,0.032884227986843734,0.037974730616222516,0.24960924120064334,0.2541908251983341,0.806359229454047,8.494633104767345,0.2767114286460193,0.5881707624560014,
dci_p016,full4d,4,4,4,0,False,False,,,,,,,,,,,,,,,,,,,,,POOLED_OR_LOO_NOT_ESTIMABLE:pooled D_order is not estimable
dci_p017,full4d,4,4,4,4,True,True,0.2695462514385756,0.33236919964751044,14.173653899819598,9.147485825482846,5.667822241119419,93.74721586166667,13.611334538991125,5.715524414776746,5.667822241119419,93.74721586166667,13.611334538991125,5.715524414776746,0.008422408890968739,0.020204100628343852,0.17967412582826403,0.280427892671402,0.20652718823703553,5.775504429099362,0.21262767574128194,0.6488805696184082,
dci_p018,full4d,4,4,4,4,True,True,0.14567659458790366,0.1638925717319262,17.282625736074625,9.600571352167961,2.688887831627325,45.12770027412777,15.753720371413605,6.469932320435359,2.688887831627325,45.12770027412777,15.753720371413605,6.469932320435359,0.00922903196111378,0.021148733892295647,1.0797092649255666,0.3345371878974266,0.23227608516137668,5.975361908688413,1.1544460386086761,0.8220578053398405,
dci_p019,full4d,4,4,4,4,True,True,0.09679743192910073,0.1519382883323819,16.172861955838236,8.91328013620881,1.3944902356835667,39.712855437327626,12.162711386681861,4.889912467598047,1.3944902356835667,39.712855437327626,12.162711386681861,4.889912467598047,0.011346192932506832,0.006826793650116848,0.586757388661813,0.1681326561192849,0.2753038981342901,1.8175181473917057,0.5064631763856057,0.38943475951427187,
dci_p020,full4d,4,4,4,4,True,True,0.08574922383557555,0.13609671935871395,17.26769350416464,8.76949844534095,1.1772270411528805,39.385475377473874,15.927172579083296,4.045184806985702,1.1772270411528805,39.385475377473874,15.927172579083296,4.045184806985702,0.012464807234383072,0.010276748224554825,0.5541094012807894,0.07028370777900754,0.3153639889551324,3.054887072844072,0.5923704505244831,0.16196295598113092,
dci_p021,full4d,4,4,4,4,True,True,0.0990094522778719,0.17087664175114017,20.472779229237087,8.979742284345347,1.5154161447769934,47.637474050072896,17.32302977432602,5.107979864634649,1.5154161447769934,47.637474050072896,17.32302977432602,5.107979864634649,0.0022979079955973308,0.007235946990847261,0.7829971339447451,0.15688230245420387,0.060156642950309425,2.0513538582715976,0.741230599966495,0.37656366781790407,
dci_p022,full4d,4,4,4,4,True,True,0.09300626650566195,0.1567253646885445,15.186180573596928,8.746444134124962,1.3778149375062003,40.63633683402453,12.368570561222919,4.29139274396819,1.3778149375062003,40.63633683402453,12.368570561222919,4.29139274396819,0.003917912000003796,0.014139227594143404,0.973517913482463,0.20025911672261656,0.0991158035146618,3.7425539645421586,0.9362060728400949,0.4694434758365733,
dci_p023,full4d,4,4,4,4,True,True,0.08782584072825128,0.14978603445852032,23.997836227901264,9.087628386693495,1.2297661758937188,42.04742392308231,22.43840364094808,4.778288783935417,1.2297661758937188,42.04742392308231,22.43840364094808,4.778288783935417,0.008030021886750243,0.01071351274962077,1.7094367363985241,0.06118517093235075,0.20316236633144466,3.0809114092242913,1.7701731129634943,0.14099613494457888,
dci_p024,full4d,4,4,4,0,False,False,,,,,,,,,,,,,,,,,,,,,POOLED_OR_LOO_NOT_ESTIMABLE:pooled D_order is not estimable
dci_p025,full4d,4,4,4,4,True,True,0.1751477535630224,0.0998740399812405,15.700862633301469,8.887390806910261,3.605654332839969,21.539832831161817,13.108326167913216,3.6547618418654624,3.605654332839969,21.539832831161817,13.108326167913216,3.6547618418654624,0.02056839279684945,0.012363737559151922,1.0916595833170126,0.23126101706009844,0.553688885170216,2.801267375516185,1.1025783355867929,0.4674954640189938,
dci_p026,full4d,4,4,0,0,False,False,,,,,,,,,,,,,,,,,,,,,POOLED_OR_LOO_NOT_ESTIMABLE:pooled event yield 10 is below the registered minimum 48
dci_p027,full4d,4,4,3,4,True,True,0.08705512393346237,0.11226494303871055,40.44841595673284,10.167793114190212,1.0472395760047475,22.983467117975874,40.73795357080154,5.779488895842576,1.0472395760047475,22.983467117975874,40.73795357080154,5.779488895842576,0.006041711562545367,0.011091073645805092,2.2768151236898433,0.4325033865269598,0.1451182778659318,2.3814328098767557,2.471210287110718,0.9482440884874334,
dci_p028,full4d,4,4,4,0,False,False,,,,,,,,,,,,,,,,,,,,,POOLED_OR_LOO_NOT_ESTIMABLE:pooled D_order is not estimable
dci_p029,full4d,4,4,4,4,True,True,0.12348904479151956,0.15858898129064655,28.117782964235914,9.493349197650414,2.156264302855564,38.62322352703972,24.126858605031543,6.340787517666424,2.156264302855564,38.62322352703972,24.126858605031543,6.340787517666424,0.007623793649713532,0.010116588506335475,0.7509777733909054,0.3432772373165253,0.19958233027229474,2.50835541432649,0.6980365581058442,0.8239663336152422,
dci_p030,full4d,4,4,4,4,True,True,0.31040022557712416,0.060110658883932015,13.24355182619307,8.446691359839964,7.294371987657399,12.699750050614984,12.284656301803675,3.6970552481450007,7.294371987657399,12.699750050614984,12.284656301803675,3.6970552481450007,0.054051313211337874,0.012414873343038231,0.21222081851403182,0.2698302495752252,1.4528173496594141,2.9016350947325833,0.2543564627144163,0.6065525058610928,
dci_p031,full4d,4,4,4,0,False,False,,,,,,,,,,,,,,,,,,,,,POOLED_OR_LOO_NOT_ESTIMABLE:pooled D_order is not estimable
dci_p032,full4d,4,4,4,4,True,True,0.2366269453219784,0.10092677724658287,30.096905521977604,8.877203353539732,4.57868884098114,20.157847176000406,25.666480424767123,4.316606223224065,4.57868884098114,20.157847176000406,25.666480424767123,4.316606223224065,0.0037505802705867825,0.0061857227813001325,2.192052847492255,0.3691486487198845,0.08675756126005553,1.309292153561693,2.076249285999112,0.894357681945058,
dci_p033,full4d,4,4,4,2,True,True,0.344577280518068,0.11525687533295265,40.90119522131184,9.488638754111433,7.9229996682180825,20.849893309257983,44.182500308926194,5.438631502422796,7.9229996682180825,20.849893309257983,44.182500308926194,5.438631502422796,0.028713460416478792,0.02169265400680979,3.295705955682174,0.17915341087496026,0.7485695252104028,4.225202440027496,3.8982360481103675,0.40066307164538884,
dci_p034,full4d,4,4,1,0,False,False,,,,,,,,,,,,,,,,,,,,,POOLED_OR_LOO_NOT_ESTIMABLE:pooled event yield 31 is below the registered minimum 48
dci_p035,full4d,4,4,4,4,True,True,0.1327261285202802,0.19017280851804128,26.036730879086218,9.050604505330515,2.4883010234349996,53.6446043650386,21.289141478003852,5.609601754220018,2.4883010234349996,53.6446043650386,21.289141478003852,5.609601754220018,0.01627684585183963,0.010551644372097449,1.1562792436154157,0.7961268317657435,0.4303370048683322,3.018399877696438,1.0300569379046827,2.034081184190265,
dci_p036,full4d,4,4,4,4,True,True,0.26880063402078136,0.0979811345979022,38.443252004732216,9.953561818503188,6.126734102455165,19.6402716209959,40.604873136443906,5.810032618257087,6.126734102455165,19.6402716209959,40.604873136443906,5.810032618257087,0.03912554933993221,0.0023278502731263295,0.6006484346379363,0.042540921847220234,1.0532364881235456,0.4987232413314468,0.6917936822896611,0.0859967159687519,
dci_p037,full4d,4,4,4,4,True,True,0.09237969472397085,0.16286814379445666,17.42985420139273,9.034629594757693,1.3362542313259722,32.24280502302813,14.849526236967224,4.8434625698435045,1.3362542313259722,32.24280502302813,14.849526236967224,4.8434625698435045,0.0023597892255084723,0.019530886949019055,0.9014832834101495,0.12539537842329948,0.05779340451480563,3.9374117924980725,0.8802313857360783,0.2736948874293291,
dci_p038,full4d,4,4,4,4,True,True,0.10187790103198807,0.18548056499824292,13.372269508494645,8.879350363968065,1.6817628752641525,59.54052748418756,11.939645474232238,5.168658185776667,1.6817628752641525,59.54052748418756,11.939645474232238,5.168658185776667,0.012174925516193246,0.011575786877942954,0.5305467011600462,0.06866499361255633,0.32919419726798194,3.7784564150246753,0.5703469964778131,0.18486183726333233,
dci_p039,full4d,4,4,4,4,True,True,0.12347350174933314,0.12675831476583163,23.866479698055546,10.111310211012919,2.2436745320362443,38.916324895649446,21.592904515975906,8.31967436049877,2.2436745320362443,38.916324895649446,21.592904515975906,8.31967436049877,0.005496023068254189,0.009858494246172174,0.3922116431500877,0.16229757795487376,0.14530715148429432,3.099768756205728,0.39019394215375136,0.41466564922258464,
dci_p040,full4d,4,4,4,0,False,False,,,,,,,,,,,,,,,,,,,,,POOLED_OR_LOO_NOT_ESTIMABLE:pooled D_order is not estimable
dci_p041,full4d,4,4,4,0,False,False,,,,,,,,,,,,,,,,,,,,,POOLED_OR_LOO_NOT_ESTIMABLE:pooled D_order is not estimable
dci_p042,full4d,4,4,4,0,False,False,,,,,,,,,,,,,,,,,,,,,POOLED_OR_LOO_NOT_ESTIMABLE:pooled D_order is not estimable
dci_p043,full4d,4,4,4,4,True,True,0.15435572518553467,0.3074824067150237,14.013101031694314,8.857578577124661,3.5210242850149847,82.7406080019443,13.065181780002657,4.874163494784447,3.5210242850149847,82.7406080019443,13.065181780002657,4.874163494784447,0.020200310440250682,0.018641969178861077,0.3321824530129498,0.2214980743734598,0.6222387755093968,5.069922429722359,0.3708408644045615,0.495026742072386,
dci_p044,full4d,4,4,4,0,True,True,0.3483851120700714,0.17474279103391777,24.431917973985275,9.681421459377091,8.233168021106625,26.014727193702452,25.12564298570242,5.987174112222339,8.233168021106625,26.014727193702452,25.12564298570242,5.987174112222339,0.01904850312664799,0.023381485131557085,3.594267015036456,0.17373022146168463,0.5063571804295529,3.651483192544862,4.312275948713436,0.3796052065193135,
dci_p045,full4d,4,4,0,0,False,False,,,,,,,,,,,,,,,,,,,,,POOLED_OR_LOO_NOT_ESTIMABLE:pooled event yield 11 is below the registered minimum 48
dci_p046,full4d,4,4,4,0,True,True,0.3412868158387144,0.19624068490386656,62.63312762046852,10.79619692218026,7.670106035569573,15.976196207398456,53.94314320195532,5.961677191934065,7.670106035569573,15.976196207398456,53.94314320195532,5.961677191934065,0.04215231609595191,0.007322277331438967,1.5732112863417727,0.47772057395735085,1.0960030204073652,0.6489320441378911,1.4660957140712914,0.9014342166438659,
dci_p047,full4d,4,4,1,0,False,False,,,,,,,,,,,,,,,,,,,,,POOLED_OR_LOO_NOT_ESTIMABLE:pooled event yield 37 is below the registered minimum 48
dci_p048,lock_g_LEE,4,4,0,0,False,False,,,,,,,,,,,,,,,,,,,,,POOLED_OR_LOO_NOT_ESTIMABLE:pooled event yield 35 is below the registered minimum 48
dci_p049,lock_g_LEE,4,4,4,2,True,True,0.30749907313510955,0.1330728209830432,23.274048689988287,9.102445418902665,6.9734395751249885,26.099760807341983,19.29541195869378,5.402503476787431,6.9734395751249885,26.099760807341983,19.29541195869378,5.402503476787431,0.02328139097754379,0.01766385230233482,1.3085222310626725,0.12253098393691095,0.6094805915232457,3.6183382725480397,1.248190624021561,0.29411040003118893,
dci_p050,lock_g_LEE,4,4,4,0,False,False,,,,,,,,,,,,,,,,,,,,,POOLED_OR_LOO_NOT_ESTIMABLE:pooled D_order is not estimable
dci_p051,lock_g_LEE,4,4,4,4,True,True,0.2986383825154697,0.4057236317617859,14.733573202880295,9.745385031788063,6.451826221885705,100.81098951809774,13.628389786597742,7.797551930900942,6.451826221885705,100.81098951809774,13.628389786597742,7.797551930900942,0.030430931092571032,0.005246773830835436,0.14549072228890406,0.12782950091699521,0.7534457983848387,1.3254242201565,0.1688381799328612,0.32496372450049255,
