source_q,phase,dt_ms,restored_q,restored_additive_mv,outcome,contained_local_cycle,bounded_ceiling_cycle,core_poincare_closure_scaled,core_recent_peak_drift,final_fast_rhs_max_per_ms,core_status,core_returns,core_period_ms,core_period_cv,core_peak_hz,core_tail_mean_hz,core_sustained_ceiling,core_support_violations,core_bound_violations,core_return_times_ms,annulus_status,annulus_returns,annulus_period_ms,annulus_period_cv,annulus_peak_hz,annulus_tail_mean_hz,annulus_sustained_ceiling,annulus_support_violations,annulus_bound_violations,annulus_return_times_ms,bath_status,bath_returns,bath_period_ms,bath_period_cv,bath_peak_hz,bath_tail_mean_hz,bath_sustained_ceiling,bath_support_violations,bath_bound_violations,bath_return_times_ms
0.835,0.0,0.0625,0.9,0.0,LLL,False,False,,,6.8907071406856506e-18,L,0,,,1.6373646212741733,0.8108934271149337,False,0,0,[],L,0,,,1.3564362889155746,0.8108934271149337,False,0,0,[],L,0,,,0.8313431171700358,0.8108934271149337,False,0,0,[]
0.835,0.25,0.0625,0.9,0.0,LLL,False,False,,,6.8907071406856506e-18,L,0,,,1.6373646212741733,0.8108934271149337,False,0,0,[],L,0,,,1.3564362889155746,0.8108934271149337,False,0,0,[],L,0,,,0.8313431171700358,0.8108934271149337,False,0,0,[]
0.835,0.5,0.0625,0.9,0.0,LLL,False,False,,,6.8907071406856506e-18,L,0,,,1.637364155612886,0.8108934271149337,False,0,0,[],L,0,,,1.356436056084931,0.8108934271149337,False,0,0,[],L,0,,,0.8313431171700358,0.8108934271149337,False,0,0,[]
0.835,0.75,0.0625,0.9,0.0,LLL,False,False,,,6.8907071406856506e-18,L,0,,,1.6373645048588514,0.8108934271149337,False,0,0,[],L,0,,,1.3564362889155746,0.8108934271149337,False,0,0,[],L,0,,,0.8313431171700358,0.8108934271149337,False,0,0,[]
0.8375,0.0,0.0625,0.9,0.0,LLL,False,False,,,6.938893903907228e-18,L,0,,,1.488541136495769,0.8108934271149337,False,0,0,[],L,0,,,1.2703303946182132,0.8108934271149337,False,0,0,[],L,0,,,0.8279693429358304,0.8108934271149337,False,0,0,[]
0.8375,0.25,0.0625,0.9,0.0,LLL,False,False,,,6.938893903907228e-18,L,0,,,1.4885418349877,0.8108934271149337,False,0,0,[],L,0,,,1.2703307438641787,0.8108934271149337,False,0,0,[],L,0,,,0.8279693429358304,0.8108934271149337,False,0,0,[]
0.8375,0.5,0.0625,0.9,0.0,LLL,False,False,,,6.938893903907228e-18,L,0,,,1.4885418349877,0.8108934271149337,False,0,0,[],L,0,,,1.2703308602795005,0.8108934271149337,False,0,0,[],L,0,,,0.8279693429358304,0.8108934271149337,False,0,0,[]
0.8375,0.75,0.0625,0.9,0.0,LLL,False,False,,,6.938893903907228e-18,L,0,,,1.4885413693264127,0.8108934271149337,False,0,0,[],L,0,,,1.270330511033535,0.8108934271149337,False,0,0,[],L,0,,,0.8279693429358304,0.8108934271149337,False,0,0,[]
0.84,0.0,0.0625,0.9,0.0,LLL,False,False,,,6.938893903907228e-18,L,0,,,1.3747185003012419,0.8108934271149337,False,0,0,[],L,0,,,1.2015847023576498,0.8108934271149337,False,0,0,[],L,0,,,0.8253162377513945,0.8108934271149337,False,0,0,[]
0.84,0.25,0.0625,0.9,0.0,LLL,False,False,,,6.938893903907228e-18,L,0,,,1.37471838388592,0.8108934271149337,False,0,0,[],L,0,,,1.201584585942328,0.8108934271149337,False,0,0,[],L,0,,,0.8253162377513945,0.8108934271149337,False,0,0,[]
