q,phase,dt_ms,outcome,contained_local_cycle,bounded_ceiling_cycle,core_poincare_closure_scaled,core_recent_peak_drift,final_fast_rhs_max_per_ms,core_status,core_returns,core_period_ms,core_period_cv,core_peak_hz,core_tail_mean_hz,core_sustained_ceiling,core_support_violations,core_bound_violations,core_return_times_ms,annulus_status,annulus_returns,annulus_period_ms,annulus_period_cv,annulus_peak_hz,annulus_tail_mean_hz,annulus_sustained_ceiling,annulus_support_violations,annulus_bound_violations,annulus_return_times_ms,bath_status,bath_returns,bath_period_ms,bath_period_cv,bath_peak_hz,bath_tail_mean_hz,bath_sustained_ceiling,bath_support_violations,bath_bound_violations,bath_return_times_ms,max_additive_mv,final_additive_mv,low_fold_additive_mv,max_abs_fixed_q_error,first_support_failure_ms,first_nonfinite_ms
0.84,0.5,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,144.57085728645325,1.372610917314887,False,0,0,[],L,1,,,94.59294378757477,1.200260710902512,False,0,0,[6.536814177014004],L,0,,,10.105104185640812,0.8252657135017216,False,0,0,[],0.37240166664123536,0.37240166664123536,0.23597865821629854,2.622604367008563e-08,,
0.84,0.75,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,144.57079768180847,1.3726112665608525,False,0,0,[],L,1,,,94.5928767323494,1.200260827317834,False,0,0,[6.536815544575744],L,0,,,10.105069726705551,0.8252657135017216,False,0,0,[],0.37240157127380374,0.37240157127380374,0.23597865821629854,2.622604367008563e-08,,
0.8425,0.0,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,142.787367105484,1.2810659827664495,False,0,0,[],L,1,,,93.51859986782074,1.1428764555603266,False,0,0,[6.597903921373758],L,0,,,9.967458434402943,0.8230788516812027,False,0,0,[],0.369329571723938,0.369329571723938,0.19965034582030378,2.8610229518832853e-08,,
0.8425,0.25,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,142.7873969078064,1.2810658663511276,False,0,0,[],L,1,,,93.51863712072372,1.1428764555603266,False,0,0,[6.59790308089495],L,0,,,9.96747612953186,0.8230788516812027,False,0,0,[],0.36932961940765385,0.36932961940765385,0.19965034582030378,2.8610229518832853e-08,,
0.8425,0.5,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,142.78757572174072,1.2810650514438748,False,0,0,[],L,1,,,93.51882338523865,1.1428758734837174,False,0,0,[6.597898305550996],L,0,,,9.967577643692493,0.8230787934735417,False,0,0,[],0.36932985782623295,0.36932985782623295,0.19965034582030378,2.8610229518832853e-08,,
0.8425,0.75,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,142.78781414031982,1.2810638872906566,False,0,0,[],L,1,,,93.51909160614014,1.1428750585764647,False,0,0,[6.597891163547077],L,0,,,9.967725723981857,0.8230787934735417,False,0,0,[],0.3693302154541016,0.3693302154541016,0.19965034582030378,2.8610229518832853e-08,,
0.845,0.0,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,140.92814922332764,1.2049119686707854,False,0,0,[],L,1,,,92.22880005836487,1.0935993632301688,False,0,0,[6.672862624879573],L,0,,,9.685248136520386,0.8212203974835575,False,0,0,[],0.3657606601715088,0.3657606601715088,0.16299625213297825,2.8610229518832853e-08,,
0.845,0.25,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,140.92814922332764,1.2049119686707854,False,0,0,[],L,1,,,92.22880005836487,1.0935993632301688,False,0,0,[6.672862835642513],L,0,,,9.685248136520386,0.8212203974835575,False,0,0,[],0.3657606601715088,0.3657606601715088,0.16299625213297825,2.8610229518832853e-08,,
0.845,0.5,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,140.9282088279724,1.2049117358401418,False,0,0,[],L,1,,,92.22885966300964,1.0935991303995252,False,0,0,[6.6728611246708445],L,0,,,9.685280732810497,0.8212203974835575,False,0,0,[],0.36576075553894044,0.36576075553894044,0.16299625213297825,2.8610229518832853e-08,,
0.845,0.75,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,140.92816412448883,1.2049118522554636,False,0,0,[],L,1,,,92.22881495952606,1.093599246814847,False,0,0,[6.672862224535616],L,0,,,9.685256518423557,0.8212203974835575,False,0,0,[],0.3657606840133667,0.3657606840133667,0.16299625213297825,2.8610229518832853e-08,,
0.85,0.0,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,136.08482480049133,1.0857078013941646,False,0,0,[],L,1,,,88.7216180562973,1.0133635951206088,False,0,0,[6.887256342940589],L,0,,,8.563656359910965,0.8182321325875819,False,0,0,[],0.356380820274353,0.356380820274353,0.08864421563031688,2.384185793236071e-08,,
