q,phase,dt_ms,outcome,contained_local_cycle,bounded_ceiling_cycle,core_poincare_closure_scaled,core_recent_peak_drift,final_fast_rhs_max_per_ms,core_status,core_returns,core_period_ms,core_period_cv,core_peak_hz,core_tail_mean_hz,core_sustained_ceiling,core_support_violations,core_bound_violations,core_return_times_ms,annulus_status,annulus_returns,annulus_period_ms,annulus_period_cv,annulus_peak_hz,annulus_tail_mean_hz,annulus_sustained_ceiling,annulus_support_violations,annulus_bound_violations,annulus_return_times_ms,bath_status,bath_returns,bath_period_ms,bath_period_cv,bath_peak_hz,bath_tail_mean_hz,bath_sustained_ceiling,bath_support_violations,bath_bound_violations,bath_return_times_ms,checkpoint_time_ms
0.825,0.0,0.125,bounded_CCO,True,False,6.973610187553038e-06,0.0011015340677419311,4.5513108673400116e-05,C,27,433.6359738499171,1.0477240514675901e-07,151.28694474697113,14.465360417766886,False,0,0,"[358.1274068302239, 791.7427999968662, 1225.378781791121, 1659.0147007210182, 2092.650631431843, 2526.286573908655, 2959.9225281398826, 3393.5584941226366, 3827.1944718623886, 4260.830461376871, 4694.466462701003, 5128.102475870114, 5561.738500917602, 5995.374537892344, 6429.010457895267, 6862.646384032934, 7296.282321940571, 7729.918271607125, 8163.554233024304, 8597.190206196548, 9030.826191133498, 9464.462187865905, 9898.098196429797, 10331.734216859324, 10765.370249191832, 11199.006216845792, 11632.642138409075]",C,27,433.63599734251994,1.7864840995930927e-08,99.01387989521027,8.946837766742902,False,0,0,"[364.4650660294742, 798.0795673191873, 1231.7155487592063, 1665.35155346155, 2098.9875677391706, 2532.623591580056, 2966.2595317497307, 3399.895467499405, 3833.5314124629845, 4267.1673666612905, 4700.803330132291, 5134.439302914368, 5568.075285043811, 6001.711276572219, 6435.347277579807, 6868.983288140818, 7302.619308267769, 7736.255286274459, 8169.891218447254, 8603.52715983081, 9037.163110437878, 9470.799070302264, 9904.435039463046, 10338.07101795738, 10771.707005825314, 11205.34300314126, 11638.97900998494]",O_unresolved,0,,,9.150061756372452,1.1198784319029567,False,0,0,[],2092.650631431843
0.825,0.25,0.125,bounded_CCO,True,False,3.961853762082646e-06,0.0009678932164715248,0.0005639080920479421,C,27,433.6359951273328,2.2234556038464876e-08,151.28685534000397,14.611009473167918,False,0,0,"[313.9006121143226, 747.4472921439151, 1181.0832275267016, 1614.7192317904282, 2048.3552479442856, 2481.9912759848876, 2915.627287770379, 3349.2632050996035, 3782.899134198743, 4216.535075065309, 4650.1710276878, 5083.806992061279, 5517.442968191104, 5951.078956091571, 6384.714955796699, 6818.35096734208, 7251.986990761383, 7685.623026098586, 8119.258962900608, 8552.89488742611, 8986.5308237229, 9420.166771780287, 9853.802731588514, 10287.438703151054, 10721.074686475777, 11154.710681591085, 11588.346688533053]",C,27,433.6359586076469,1.745756659664108e-08,99.01285171508789,9.021140021567573,False,0,0,"[320.2418138967565, 753.7842265308201, 1187.4201235299447, 1621.056089301337, 2054.6920644312722, 2488.328048917601, 2921.9640428228263, 3355.6000462272777, 3789.236059195052, 4222.87208172707, 4656.508035238802, 5090.143969727622, 5523.779913429268, 5957.415866361132, 6391.051828560286, 6824.687800065373, 7258.323780913, 7691.959771149848, 8125.595770854921, 8559.231780105783, 8992.867798923447, 9426.503790253317, 9860.139721165744, 10293.775661287758, 10727.411610630334, 11161.04756922494, 11594.683537110699]",O_unresolved,0,,,9.150306694209576,1.1290298127002285,False,0,0,[],2048.3552479442856
0.825,0.5,0.125,bounded_CCO,True,False,7.669688624153428e-06,0.0008686105600267331,0.0020390801989888948,C,27,433.6359891037021,1.190278778252088e-07,151.2845903635025,14.703358515531026,False,0,0,"[304.36240509843606, 737.8627687222661, 1171.498717729133, 1605.1346467907945, 2038.770572053801, 2472.4065090875333, 2906.0424578811, 3339.6784184253625, 3773.3143907242857, 4206.950374786488, 4640.586370641489, 5074.222378325362, 5507.8583978724, 5941.494429318573, 6375.130406080204, 6808.766326769133, 7242.402259231731, 7676.038203458689, 8109.674159438525, 8543.31012717074, 8976.946106660984, 9410.582097930755, 9844.21810101556, 10277.854115950435, 10711.490142768494, 11145.126167138464, 11578.762083261541]",C,27,433.63599296093463,1.7795041146151946e-08,99.01241213083267,9.061112009804926,False,0,0,"[310.7058435242097, 744.199559754565, 1177.8354598738554, 1611.4714601164908, 2045.1074699666835, 2478.743489383327, 2912.3794746190583, 3346.015406108046, 3779.651346807162, 4213.287296728132, 4646.923255903535, 5080.559224372495, 5514.195202172325, 5947.831189341704, 6381.467185953106, 6815.103192086378, 7248.739207787731, 7682.375230796237, 8116.011158710048, 8549.647095830505, 8983.283042166358, 9416.918997742192, 9850.554962596556, 10284.190936767543, 10717.826920291094, 11151.462913225194, 11585.098915650347]",O_unresolved,0,,,9.15038026869297,1.1311651985002997,False,0,0,[],2038.770572053801
0.825,0.75,0.125,bounded_CCO,True,False,1.952541677648383e-06,0.0012499676800556436,0.0025774985371685563,C,27,433.63597944696147,2.215936245698984e-08,151.28721296787262,14.726880672104292,False,0,0,"[302.81654595693794, 736.3077246715104, 1169.9436090427128, 1603.5795975716953, 2037.2155979666754, 2470.851610203965, 2904.4876343170786, 3338.123670351973, 3771.7595999952723, 4205.3955252078495, 4639.031462191159, 5072.667410934356, 5506.303371428255, 5939.939343676791, 6373.57532768853, 6807.211323492914, 7240.847331126019, 7674.483350622146, 8108.119382017193, 8541.755359304261, 8975.391279942756, 9409.027212354913, 9842.66315653148, 10276.299112460963, 10709.9350801428, 11143.57105958263, 11577.207050801848]",C,27,433.63594630448824,1.7374703599460804e-08,99.01386499404907,9.071228055129136,False,0,0,"[309.1605339679349, 742.644704480381, 1176.2805523128336, 1609.9165057225566, 2043.5524684636057, 2477.1884405128244, 2910.8244219066437, 3344.4604126937306, 3778.096412953715, 4211.732422762935, 4645.368442138594, 5079.004427791352, 5512.640359240888, 5946.276299900515, 6379.912249781905, 6813.548208917563, 7247.184177346614, 7680.820155106379, 8114.456142235468, 8548.092138806234, 8981.728144898532, 9415.364160558891, 9849.000183983824, 10282.6361118582, 10716.272048939181, 11149.90799523551, 11583.543950771666]",O_unresolved,0,,,9.149969555437565,1.1315337715585885,False,0,0,[],2037.2155979666754
0.835,0.0,0.125,bounded_CCO,True,False,1.4535356556172603e-05,0.00011216615047689796,0.00033789271642910203,C,24,484.06131269682675,2.3658022699260995e-07,147.63468503952026,14.105487815866585,False,0,0,"[409.42147550378405, 893.472587538419, 1377.533914029021, 1861.5952779938316, 2345.656622535509, 2829.7179725677825, 3313.7793315672566, 3797.8406676712284, 4281.902041123187, 4765.963363304348, 5250.024751203494, 5734.086059467358, 6218.147461808411, 6702.208756160507, 7186.270172938197, 7670.331453384072, 8154.392884592559, 8638.454151137785, 9122.51559676918, 9606.576849419327, 10090.638309465594, 10574.699548226235, 11058.761022679366, 11542.822247556074]",C,24,484.06137193563217,1.1685957691573141e-07,96.7426672577858,8.7227246516334,False,0,0,"[415.8668325239183, 899.9174736787865, 1383.9788714726037, 1868.0401755448563, 2352.1015660548087, 2836.162881507292, 3320.2242610588414, 3804.285587881031, 4288.346956483547, 4772.408294666223, 5256.469652329092, 5740.531001863054, 6224.592348595678, 6708.653709471742, 7192.715045283536, 7676.776417492539, 8160.83774239234, 8644.899125925162, 9128.960439919729, 9613.021834767276, 10097.083137863186, 10581.1445440164, 11065.205836220233, 11549.267253670083]",O_unresolved,0,,,10.088435374200344,1.2063869763004915,False,0,0,[],2345.656622535509
0.835,0.25,0.125,bounded_CCO,True,False,7.0379254464001775e-06,9.590406847267825e-05,0.005674577263643423,C,25,484.0613695513991,1.0402481758673258e-07,147.6345658302307,16.045436916032624,False,0,0,"[365.34270326596373, 849.3598802691085, 1333.4211178325488, 1817.482556042672, 2301.5438235520796, 2785.605247803263, 3269.666529798971, 3753.727940091643, 4237.789236568264, 4721.850632908209, 5205.911943860369, 5689.973326253395, 6174.034651675737, 6658.096020127656, 7142.157360014836, 7626.218714531218, 8110.280068877906, 8594.341409464223, 9078.402778265103, 9562.464104926841, 10046.525488176612, 10530.586800919276, 11014.648198612653, 11498.709497441765, 11982.770909573474]",C,25,484.06134893394363,1.5219021697463018e-08,96.73299640417099,9.940868602115698,False,0,0,"[371.78904239100825, 855.8047034995557, 1339.866147639583, 1823.9273909988601, 2307.988839984883, 2792.0500947764044, 3276.1115327544226, 3760.1727989637156, 4244.234225943011, 4728.295503561158, 5212.35691955103, 5696.418208569132, 6180.4796135789, 6664.540913988062, 7148.602308027062, 7632.663619818143, 8116.725002895726, 8600.786326059486, 9084.847698185018, 9568.90903271223, 10052.970393895093, 10537.031739776548, 11021.09309002614, 11505.154447252651, 11989.21578657838]",O_unresolved,0,,,10.088413022458553,1.2245846639467244,False,0,0,[],2301.5438235520796
0.835,0.5,0.125,bounded_CCO,True,False,1.9046994218828e-05,0.00026084158211136296,0.009853101642520287,C,25,484.0612914593924,3.292903390705167e-07,147.63472974300385,17.253278382401355,False,0,0,"[355.90160218554325, 839.8957484468135, 1323.9570089727292, 1808.018436691814, 2292.0797065905676, 2776.1411487426453, 3260.202404744978, 3744.2638613138633, 4228.325103425346, 4712.3865744030245, 5196.447802629231, 5680.509288007718, 6164.570502354222, 6648.632002125566, 7132.693202597945, 7616.754716754225, 8100.815903358057, 8584.877431891384, 9068.93860463225, 9553.000147534765, 10037.061306418249, 10521.122837145296, 11005.184008714588, 11489.245525439139, 11973.306711523473]",C,25,484.06139822086817,2.6232391967077297e-07,96.74426913261414,10.74441881179289,False,0,0,"[362.34867574749035, 846.3406251813216, 1330.4019704870188, 1814.4632980107315, 2298.524678812097, 2782.5859954373495, 3266.6473875556358, 3750.7086932806433, 4234.770096706779, 4718.831391538122, 5202.892806263071, 5686.954090207328, 6171.01551622208, 6655.076789285835, 7139.138226581414, 7623.199488771253, 8107.2609373387095, 8591.322188661221, 9075.38364849164, 9559.444888953416, 10043.506360037905, 10527.567589645545, 11011.629071976022, 11495.690290736127, 11979.75178430815]",O_unresolved,0,,,10.084218345582485,1.2665138390642998,False,0,0,[],2292.0797065905676
0.835,0.75,0.125,bounded_CCO,True,False,3.6313448454363924e-06,0.0002826718037758076,0.011727617091322383,C,25,484.06135936280225,4.8478311229947636e-08,147.6346254348755,17.420129441194227,False,0,0,"[354.3750824298578, 838.3646052608898, 1322.4258035973955, 1806.4872703324036, 2290.5485082488563, 2774.6099610165356, 3258.671213430328, 3742.7326522277413, 4226.793919133456, 4710.855343966351, 5194.916625358589, 5678.978036232732, 6163.039332106107, 6647.100729027283, 7131.1620393764215, 7615.223422350435, 8099.284747169979, 8583.346116202645, 9067.40745548725, 9551.468810584152, 10035.530164328486, 10519.591505495093, 11003.65287369384, 11487.71420093564, 11971.7755835835]",C,25,484.06135609140193,3.348872270397095e-08,96.74416482448578,10.845030345066363,False,0,0,"[360.8221182455602, 844.8094036017894, 1328.8708603891494, 1812.9320803876662, 2296.9935518771126, 2781.0547833296137, 3265.1162437921516, 3749.177486680678, 4233.2389361255555, 4717.300190441158, 5201.361628877642, 5685.422894611388, 6169.484322048763, 6653.545599191734, 7137.607015639299, 7621.668304182595, 8105.729709649668, 8589.791009584396, 9073.852404080311, 9557.913715397346, 10041.975098931453, 10526.03642162155, 11010.097794203215, 11494.159128257148, 11978.220489895755]",O_unresolved,0,,,10.088440962135792,1.2776385582058678,False,0,0,[],2290.5485082488563
0.8375,0.0,0.125,bounded_CCO,True,False,6.1676066089964244e-06,0.002627768038310484,0.0036082657583499634,C,24,500.9383781868776,1.1631221778700687e-07,146.3860273361206,13.877045120946327,False,0,0,"[426.82259717044366, 927.7537264880818, 1428.6919133410322, 1929.6304318285602, 2430.568631267855, 2931.5071393232897, 3432.4453494807562, 3933.3838471009844, 4434.322067979575, 4935.2605551621045, 5436.198786764767, 5937.137263507102, 6438.075505836779, 6939.013972136413, 7439.952225196045, 7940.890681050464, 8441.828944842988, 8942.767390249668, 9443.705664778014, 9944.644099734427, 10445.582385001524, 10946.520809505133, 11447.459105513903, 11948.397519562157]",C,24,500.9383945358277,2.123775031117775e-07,95.91716527938843,8.594448184766463,False,0,0,"[433.30950376050265, 934.2403453776188, 1435.1785969901405, 1936.1170676187996, 2437.055312936462, 2937.993792035815, 3438.9320291047443, 3939.8705166797836, 4440.808745494822, 4941.747241551184, 5442.685462107165, 5943.623966650485, 6444.562178942234, 6945.500685308952, 7446.438896000475, 7947.3773942302605, 8448.315613282324, 8949.254103372212, 9450.1923307882, 9951.130812735219, 10452.069048518519, 10953.007522319687, 11453.945766473675, 11954.884232126002]",O_unresolved,0,,,10.167392902076244,1.2135189288005812,False,0,0,[],2430.568631267855
0.8375,0.25,0.125,bounded_CCO,True,False,1.4059690006433374e-05,0.002425334885753962,0.0014145652726380484,C,24,500.93831340972065,2.446909465245268e-07,146.38599753379822,13.872594448171757,False,0,0,"[382.773653938862, 883.6799921770254, 1384.6184950007398, 1885.5566999600635, 2386.4952217150585, 2887.433416166029, 3388.3719487287744, 3889.310132664653, 4390.248676038246, 4891.1868494543605, 5392.125398681378, 5893.063566533856, 6394.002105340045, 6894.940283901935, 7395.8788122832275, 7896.8170015575115, 8397.755519509841, 8898.693719499493, 9399.63222701909, 9900.570437727067, 10401.508934811329, 10902.44715624058, 11403.385642887015, 11904.32387504049]",C,24,500.9383150049307,2.562692305158527e-07,95.91600298881531,8.591904464092277,False,0,0,"[389.2613694701852, 890.1666880620343, 1391.1050915729434, 1892.0433940643038, 2392.9818143911452, 2893.9201086715243, 3394.858537445044, 3895.7968235072, 4396.735260730955, 4897.673538569765, 5398.6119842475955, 5899.550253857936, 6400.488707993777, 6901.426969370525, 7402.365431968434, 7903.303685106461, 8404.242156170487, 8905.180401064663, 9406.118880599146, 9907.057117244323, 10407.99560525478, 10908.933833645802, 11409.872330137872, 11910.810550269573]",O_unresolved,0,,,10.167392902076244,1.213038593199301,False,0,0,[],2386.4952217150585
