additive_mv,alpha_G,dt_ms,finite,finite_every_step,n_peaks_after_audit_start,period_ms,scan,status,support_violation_count,tail_max_hz,tail_mean_hz,tail_min_hz,z
0.0,15.0,0.125,True,True,17,605.0,additive,oscillatory,0,98.16281497478485,6.470109123965307,0.39102931623347104,0.85
0.1,15.0,0.125,True,True,15,659.0,additive,oscillatory,0,100.93595832586288,6.029235365482064,0.3661606169771403,0.85
0.2,15.0,0.125,True,True,13,757.0,additive,oscillatory,0,102.63870656490326,5.494744987179534,0.34250697353854775,0.85
0.24,15.0,0.125,True,True,12,834.0,additive,oscillatory,0,102.88622975349426,4.877220894152496,0.3333717759232968,0.85
0.25,15.0,0.125,True,True,12,862.0,additive,oscillatory,0,102.88240015506744,4.932612928400687,0.33112094388343394,0.85
0.26,15.0,0.125,True,True,11,896.0,additive,oscillatory,0,102.84770280122757,4.940421804787824,0.3288844891358167,0.85
0.27,15.0,0.125,True,True,11,940.0,additive,oscillatory,0,102.78525203466415,4.920084388685973,0.3266615385655314,0.85
0.28,15.0,0.125,True,True,10,999.0,additive,oscillatory,0,102.692149579525,4.378556367707066,0.32445197575725615,0.85
0.29,15.0,0.125,True,True,9,1085.0,additive,oscillatory,0,102.57725417613983,4.352088980779903,0.3222559462301433,0.85
0.3,15.0,0.125,True,True,8,1236.0,additive,oscillatory,0,102.4116650223732,3.7747618227869246,0.3200724022462964,0.85
0.31,15.0,0.125,True,True,6,1649.0,additive,oscillatory,0,102.10384428501129,3.2513431102118253,0.3179021005053073,0.85
0.32,15.0,0.125,True,True,0,,additive,settled_low,0,1.5705493278801441,1.5705493278801441,1.5705493278801441,0.85
0.33,15.0,0.125,True,True,0,,additive,settled_low,0,1.4349031262099743,1.4349031262099743,1.4349031262099743,0.85
0.0,15.0,0.0625,True,True,17,604.0,additive,oscillatory,0,97.42532670497894,6.457548825372136,0.3914287663064897,0.85
0.1,15.0,0.0625,True,True,15,658.0,additive,oscillatory,0,100.19470751285553,5.98574039034574,0.3665093972813338,0.85
0.2,15.0,0.0625,True,True,13,756.5,additive,oscillatory,0,101.92447900772095,5.456317963563601,0.34280912950634956,0.85
0.24,15.0,0.0625,True,True,12,833.0,additive,oscillatory,0,102.14470326900482,4.874476240940161,0.3336596710141748,0.85
0.25,15.0,0.0625,True,True,12,861.0,additive,oscillatory,0,102.1430641412735,4.901091682602815,0.33140540472231805,0.85
0.26,15.0,0.0625,True,True,11,896.0,additive,oscillatory,0,102.09537297487259,4.907691326347621,0.32916507916525006,0.85
0.27,15.0,0.0625,True,True,11,939.0,additive,oscillatory,0,102.04912722110748,4.881975457698307,0.326938257785514,0.85
0.28,15.0,0.0625,True,True,10,998.0,additive,oscillatory,0,101.83259844779968,4.345183040076994,0.32472514430992305,0.85
0.29,15.0,0.0625,True,True,9,1085.0,additive,oscillatory,0,101.83974355459213,4.325096906639354,0.3225253021810204,0.85
0.3,15.0,0.0625,True,True,8,1236.0,additive,oscillatory,0,101.68463736772537,3.754085375128194,0.3203383239451796,0.85
0.31,15.0,0.0625,True,True,6,1648.0,additive,oscillatory,0,101.51486098766327,3.2358354825027016,0.3181625797878951,0.85
0.32,15.0,0.0625,True,True,0,,additive,settled_low,0,1.5705493278801441,1.5705493278801441,1.5705493278801441,0.85
0.33,15.0,0.0625,True,True,0,,additive,settled_low,0,1.4349031262099743,1.4349031262099743,1.4349031262099743,0.85
0.0,16.0,0.125,True,True,16,609.0,additive,oscillatory,0,96.34652733802795,5.775480016790525,0.388575776014477,0.85
0.1,16.0,0.125,True,True,15,662.0,additive,oscillatory,0,99.06645119190216,5.923996472382662,0.3639238711912185,0.85
0.2,16.0,0.125,True,True,13,761.0,additive,oscillatory,0,100.7595807313919,5.403833689507122,0.3404539020266384,0.85
0.24,16.0,0.125,True,True,12,838.0,additive,oscillatory,0,100.96628963947296,4.79748808716832,0.33139626611955464,0.85
0.25,16.0,0.125,True,True,12,866.0,additive,oscillatory,0,100.95341503620148,4.842477062729138,0.32916467171162367,0.85
0.26,16.0,0.125,True,True,11,900.0,additive,oscillatory,0,100.92698037624359,4.8615858554197136,0.32694649416953325,0.85
0.27,16.0,0.125,True,True,11,943.0,additive,oscillatory,0,100.846067070961,4.858751745017049,0.3247414715588093,0.85
0.28,16.0,0.125,True,True,10,1002.0,additive,oscillatory,0,100.74063390493393,4.2465543417833445,0.32254945836029947,0.85
0.29,16.0,0.125,True,True,9,1089.0,additive,oscillatory,0,100.64027458429337,4.285720358426718,0.32037077471613884,0.85
0.3,16.0,0.125,True,True,8,1240.0,additive,oscillatory,0,100.48564523458481,3.7138850192505033,0.3182046057190746,0.85
0.31,16.0,0.125,True,True,6,1652.0,additive,oscillatory,0,100.31634569168091,3.205629100183798,0.3160496416967362,0.85
0.32,16.0,0.125,True,True,0,,additive,settled_low,0,1.5705493278801441,1.5705493278801441,1.5705493278801441,0.85
0.33,16.0,0.125,True,True,0,,additive,settled_low,0,1.4349031262099743,1.4349031262099743,1.4349031262099743,0.85
0.0,16.0,0.0625,True,True,16,608.0,additive,oscillatory,0,95.57992964982986,5.739439963616148,0.38897417834959924,0.85
0.1,16.0,0.0625,True,True,15,662.0,additive,oscillatory,0,98.32930564880371,5.881494347419414,0.3642674710135907,0.85
0.2,16.0,0.0625,True,True,13,760.0,additive,oscillatory,0,100.01790523529053,5.365946495319508,0.340754835633561,0.85
0.24,16.0,0.0625,True,True,12,837.0,additive,oscillatory,0,100.20677000284195,4.766998084617149,0.33168046502396464,0.85
0.25,16.0,0.0625,True,True,12,865.0,additive,oscillatory,0,100.01376271247864,4.812232864035909,0.32944962731562555,0.85
0.26,16.0,0.0625,True,True,11,899.0,additive,oscillatory,0,100.18464922904968,4.829104882238285,0.32722289324738085,0.85
0.27,16.0,0.0625,True,True,11,943.0,additive,oscillatory,0,100.12228041887283,4.824812075759995,0.3250140871386975,0.85
0.28,16.0,0.0625,True,True,10,1002.0,additive,oscillatory,0,100.03095120191574,4.2203048967809496,0.322818843415007,0.85
0.29,16.0,0.0625,True,True,9,1088.0,additive,oscillatory,0,99.89848732948303,4.258680802344104,0.3206365217920393,0.85
0.3,16.0,0.0625,True,True,8,1239.0,additive,oscillatory,0,99.75507110357285,3.6932143608970955,0.31846712226979434,0.85
0.31,16.0,0.0625,True,True,6,1652.0,additive,oscillatory,0,99.39855337142944,3.190152351155762,0.31631262390874326,0.85
0.32,16.0,0.0625,True,True,0,,additive,settled_low,0,1.5705493278801441,1.5705493278801441,1.5705493278801441,0.85
0.33,16.0,0.0625,True,True,0,,additive,settled_low,0,1.4349031262099743,1.4349031262099743,1.4349031262099743,0.85
