elapsed_cycles,elapsed_ms,required_additive_mv,z_if_unopposed
1,604.0,0.3310582542685254,0.848844124439754
2,1208.0,0.6281144201126042,0.8247158360671099
3,1812.0,0.8981536812208475,0.8020017572705475
4,2416.0,1.1457596280362032,0.7806189982613596
5,3020.0,1.374171251512369,0.7604895275951662
