additive_mv,alpha_G,dt_ms,finite,finite_every_step,n_peaks_after_audit_start,period_ms,scan,status,support_violation_count,tail_max_hz,tail_mean_hz,tail_min_hz,z
0.0,15.0,0.125,True,True,17,605.0,z,oscillatory,0,98.16281497478485,6.470109123965307,0.39102931623347104,0.85
0.0,15.0,0.125,True,True,15,678.5,z,oscillatory,0,96.92291915416718,5.224794071433593,0.3698855289258063,0.86
0.0,15.0,0.125,True,True,12,810.0,z,oscillatory,0,94.16190534830093,4.632724505401352,0.35405848757363856,0.868
0.0,15.0,0.125,True,True,11,881.0,z,oscillatory,0,93.13064068555832,4.205588355104178,0.35029929131269455,0.87
0.0,15.0,0.125,True,True,10,1017.0,z,oscillatory,0,91.73820912837982,4.110722627938961,0.34663479891605675,0.872
0.0,15.0,0.125,True,True,9,1163.0,z,oscillatory,0,90.95899015665054,4.176344941175116,0.34484066418372095,0.873
0.0,15.0,0.125,True,True,8,1305.0,z,oscillatory,0,90.46515077352524,3.685086426595917,0.34395273542031646,0.8735
0.0,15.0,0.125,True,True,6,1627.0,z,oscillatory,0,90.11255949735641,3.196634713744149,0.3430727811064571,0.874
0.0,15.0,0.125,True,True,5,1961.0,z,oscillatory,0,89.93583917617798,3.3047051118510624,0.34272472839802504,0.8742
0.0,15.0,0.125,True,True,4,2318.0,z,oscillatory,0,89.6768718957901,2.8156851670840544,0.3425422764848918,0.8743
0.0,15.0,0.125,True,True,4,2644.0,z,oscillatory,0,89.77631479501724,2.821216167652746,0.3424544702284038,0.87435
0.0,15.0,0.125,True,True,3,3267.5,z,oscillatory,0,89.71832692623138,2.9120818071242014,0.3423691086936742,0.8744
0.0,15.0,0.125,True,True,2,5485.0,z,oscillatory,0,89.6337479352951,2.414733048320231,0.34228089498355985,0.87445
0.0,15.0,0.125,True,True,0,,z,settled_low,0,1.9473779248073697,1.9473779248073697,1.9473779248073697,0.8745
0.0,15.0,0.0625,True,True,17,604.0,z,oscillatory,0,97.42532670497894,6.457548825372136,0.3914287663064897,0.85
0.0,15.0,0.0625,True,True,15,678.0,z,oscillatory,0,96.20913118124008,5.186117364799137,0.37025409983471036,0.86
0.0,15.0,0.0625,True,True,12,809.0,z,oscillatory,0,93.52725744247437,4.604917702535952,0.3544083738233894,0.868
0.0,15.0,0.0625,True,True,11,881.0,z,oscillatory,0,92.43215620517731,4.110460379485675,0.35064606345258653,0.87
0.0,15.0,0.0625,True,True,10,1016.0,z,oscillatory,0,91.05979651212692,4.086897709249597,0.3469797084107995,0.872
0.0,15.0,0.0625,True,True,9,1162.0,z,oscillatory,0,90.2850329875946,4.149690170472222,0.34518539905548096,0.873
0.0,15.0,0.0625,True,True,8,1304.0,z,oscillatory,0,89.86441045999527,3.6653985158306406,0.34429747029207647,0.8735
0.0,15.0,0.0625,True,True,6,1626.0,z,oscillatory,0,89.42048996686935,3.1828170226527637,0.3434157115407288,0.874
0.0,15.0,0.0625,True,True,5,1960.5,z,oscillatory,0,89.25153315067291,3.289543201380004,0.34306340967305005,0.8742
0.0,15.0,0.0625,True,True,4,2318.0,z,oscillatory,0,89.12373334169388,2.8065802523390206,0.34288802999071777,0.8743
0.0,15.0,0.0625,True,True,4,2644.0,z,oscillatory,0,88.94410729408264,2.8120045990315714,0.34279937972314656,0.87435
0.0,15.0,0.0625,True,True,3,3267.0,z,oscillatory,0,89.07286077737808,2.9020808802814617,0.3427176852710545,0.8744
0.0,15.0,0.0625,True,True,2,5485.0,z,oscillatory,0,89.03366327285767,2.410142914421338,0.3426286857575178,0.87445
0.0,15.0,0.0625,True,True,0,,z,settled_low,0,1.9473779248073697,1.9473779248073697,1.9473779248073697,0.8745
