candidate_id,role,theta_sha256,mode_A_SCL_recruitment_excess,mode_B_SCL_recruitment_excess,worst_mode_SCL_recruitment_excess,mode_A_ICL_precedence_excess,mode_B_ICL_precedence_excess,mode_A_cross_precedence_excess,mode_B_cross_precedence_excess,mode_B_ICL_profile_excess,forced_both_mode_SCL_network_fraction,forced_SCL_source_cross_network_fraction,forced_ICL_A_to_SCL_mean_recruited_fraction,forced_ICL_B_to_SCL_mean_recruited_fraction,forced_SCL_to_ICL_mean_recruited_fraction,field_near_ICL,field_near_SCL,spontaneous_event_count,spontaneous_multishaft_fraction,spontaneous_returned_fraction,n_runaway,capacity_reference_met
frozen,frozen_baseline,35acdbb96a8cc34baba70e7aded0ca0e7bb8b8a3d594a12975a04279f5df6b21,2.8104626195588525,3.8796784031050726,3.8796784031050726,3.6401657069119975,0.3310423263799413,2.573435683656839,4.358857607964333,0.47453417574093454,0.0,0.3333333333333333,0.0,0.0,0.030303030303030304,"{'mean_h': 0.16745766433818332, 'median_h': 0.010890081990510225, 'fraction_h_ge_0p5': 0.1572081169388748, 'mean_delta_vtheta_mV': -0.08463412967192324, 'fraction_threshold_lowered': 0.689704493913538}","{'mean_h': 4.864757148739444e-09, 'median_h': 4.8638553925191746e-09, 'fraction_h_ge_0p5': 0.0, 'mean_delta_vtheta_mV': -2.537296197182795e-09, 'fraction_threshold_lowered': 0.6967958452254646}",2,0.0,1.0,0,False
component3_scl_relocation,matched_scl_relocation,889381072e1bc3035df9a0e630f0bb44f2446502f57757a68852fe9ac32ed5c6,2.8104626195588525,3.8796784031050726,3.8796784031050726,3.6401657069119975,0.3310423263799413,2.573435683656839,4.358857607964333,0.47453417574093454,0.0,0.3333333333333333,0.0,0.0,0.030303030303030304,"{'mean_h': 0.1673505228155697, 'median_h': 0.010873827462395033, 'fraction_h_ge_0p5': 0.1572081169388748, 'mean_delta_vtheta_mV': -0.08457803306356369, 'fraction_threshold_lowered': 0.689704493913538}","{'mean_h': 0.011072407887757008, 'median_h': 9.568242376190028e-08, 'fraction_h_ge_0p5': 0.0, 'mean_delta_vtheta_mV': -0.00608057214523688, 'fraction_threshold_lowered': 0.6967958452254646}",2,0.0,1.0,0,False
component3_offshaft_control,matched_offshaft_control,37b1852c783ab2ddce40be81589ebbd5b601ffc54ca6c432fa413bca2487022c,2.8104626195588525,3.8796784031050726,3.8796784031050726,3.6401657069119975,0.3310423263799413,2.573435683656839,4.358857607964333,0.44312354362846285,0.0,0.3333333333333333,0.0,0.0,0.030303030303030304,"{'mean_h': 0.16747936653980408, 'median_h': 0.010891603926817576, 'fraction_h_ge_0p5': 0.1572081169388748, 'mean_delta_vtheta_mV': -0.08464893099683639, 'fraction_threshold_lowered': 0.689704493913538}","{'mean_h': 4.866063316064099e-09, 'median_h': 4.865550925122382e-09, 'fraction_h_ge_0p5': 0.0, 'mean_delta_vtheta_mV': -2.5379624716023777e-09, 'fraction_threshold_lowered': 0.6967958452254646}",2,0.0,1.0,0,False
grid_mid_w15_s1p5,scl_mass_width_grid,b2da949204e8043d438b4fe558dad9f49079011a148c97661685a331c5b93bb9,2.8104626195588525,3.8796784031050726,3.8796784031050726,3.6401657069119975,0.3310423263799413,2.573435683656839,4.358857607964333,0.44312354362846285,0.0,0.3333333333333333,0.0,0.0,0.030303030303030304,"{'mean_h': 0.16603291062499737, 'median_h': 0.010669406813879808, 'fraction_h_ge_0p5': 0.15562105870468457, 'mean_delta_vtheta_mV': -0.08391617990148918, 'fraction_threshold_lowered': 0.689704493913538}","{'mean_h': 0.019040747895849083, 'median_h': 0.002050352826093634, 'fraction_h_ge_0p5': 0.0, 'mean_delta_vtheta_mV': -0.010178166780458561, 'fraction_threshold_lowered': 0.6967958452254646}",1,0.0,1.0,0,False
grid_mid_w15_s3,scl_mass_width_grid,568a14dc4e8fcc1e1628e406aebbca60bfc965c55df81c8160e98548f6922fac,2.8104626195588525,3.8796784031050726,3.8796784031050726,3.6401657069119975,0.3310423263799413,2.573435683656839,4.358857607964333,0.42068737783384025,0.0,0.3333333333333333,0.0,0.0,0.030303030303030304,"{'mean_h': 0.16335561637225057, 'median_h': 0.010271761566400528, 'fraction_h_ge_0p5': 0.1520453564238319, 'mean_delta_vtheta_mV': -0.08257719014708896, 'fraction_threshold_lowered': 0.689704493913538}","{'mean_h': 0.03349578358626302, 'median_h': 0.01815490300456683, 'fraction_h_ge_0p5': 0.0, 'mean_delta_vtheta_mV': -0.017362480006816346, 'fraction_threshold_lowered': 0.6967958452254646}",1,0.0,1.0,0,False
grid_mid_w15_s4p5,scl_mass_width_grid,51c6f1917e6dfd1d358a93e3b657a890c65655c2455c98a8910689ce9698ba9c,2.8104626195588525,3.8796784031050726,3.8796784031050726,3.584336712987966,1.6337494737396951,2.573435683656839,4.358857607964333,0.0,0.0,0.6666666666666666,0.0,0.0,0.06060606060606061,"{'mean_h': 0.16082423145825056, 'median_h': 0.009907838888466358, 'fraction_h_ge_0p5': 0.1494019352105924, 'mean_delta_vtheta_mV': -0.0813112745480272, 'fraction_threshold_lowered': 0.689704493913538}","{'mean_h': 0.04354799854102152, 'median_h': 0.034501850605010986, 'fraction_h_ge_0p5': 0.0, 'mean_delta_vtheta_mV': -0.022137622531496454, 'fraction_threshold_lowered': 0.6967958452254646}",0,0.0,0.0,0,False
grid_mid_w25_s1p5,scl_mass_width_grid,a886af5d919522d8b7166a59392376cd7651f6522cf51f8ad5a46af0cd1262f6,2.8104626195588525,3.8796784031050726,3.8796784031050726,3.584336712987966,1.6337494737396951,2.573435683656839,4.358857607964333,0.0,0.0,0.6666666666666666,0.0,0.0,0.06060606060606061,"{'mean_h': 0.14973243786399038, 'median_h': 0.00851555618767937, 'fraction_h_ge_0p5': 0.13527288267172555, 'mean_delta_vtheta_mV': -0.07573187392553798, 'fraction_threshold_lowered': 0.689704493913538}","{'mean_h': 0.11857342944157145, 'median_h': 0.018929334357380867, 'fraction_h_ge_0p5': 0.05823664306808888, 'mean_delta_vtheta_mV': -0.06416582800110902, 'fraction_threshold_lowered': 0.6967958452254646}",0,0.0,0.0,0,False
grid_mid_w25_s3,scl_mass_width_grid,7c8914d706ef9dc05e356155c821859e8c334b73241e258de6765b75e7e5b924,2.8104626195588525,3.8796784031050726,3.8796784031050726,3.584336712987966,1.6627236074669145,2.573435683656839,4.358857607964333,0.0,0.0,0.6666666666666666,0.0,0.0,0.06060606060606061,"{'mean_h': 0.13622992042167523, 'median_h': 0.006961945211514831, 'fraction_h_ge_0p5': 0.11624172744543104, 'mean_delta_vtheta_mV': -0.068960854017768, 'fraction_threshold_lowered': 0.689704493913538}","{'mean_h': 0.18879862699650926, 'median_h': 0.1314636841416359, 'fraction_h_ge_0p5': 0.05755861668240401, 'mean_delta_vtheta_mV': -0.09788911369042484, 'fraction_threshold_lowered': 0.6967958452254646}",0,0.0,0.0,0,False
grid_mid_w25_s4p5,scl_mass_width_grid,9d205fa20d3e04552d4a53a043fe61d643b8da7b2fb9eb0c99bd6505ef0e6d68,2.8104626195588525,3.8796784031050726,3.8796784031050726,3.584336712987966,0.36001646010716065,2.573435683656839,4.358857607964333,0.4149622872517646,0.0,0.3333333333333333,0.0,0.0,0.030303030303030304,"{'mean_h': 0.12547996245663262, 'median_h': 0.005897616424287359, 'fraction_h_ge_0p5': 0.1011794939063823, 'mean_delta_vtheta_mV': -0.06356008895924686, 'fraction_threshold_lowered': 0.689704493913538}","{'mean_h': 0.22239678966046453, 'median_h': 0.20518959561983743, 'fraction_h_ge_0p5': 0.017259036446153207, 'mean_delta_vtheta_mV': -0.11310369968131662, 'fraction_threshold_lowered': 0.6967958452254646}",1,0.0,1.0,0,False
grid_mid_w35_s1p5,scl_mass_width_grid,08a21c6d4393233e584929686c4ac29dcc7410c48761df4738cbb33b7e3c1fc0,2.8104626195588525,3.8796784031050726,3.8796784031050726,3.6401657069119975,0.36001646010716065,2.573435683656839,4.358857607964333,0.4149622872517646,0.0,0.3333333333333333,0.0,0.0,0.030303030303030304,"{'mean_h': 0.12605556802916448, 'median_h': 0.006023444778596361, 'fraction_h_ge_0p5': 0.10171664244120215, 'mean_delta_vtheta_mV': -0.06382361928200157, 'fraction_threshold_lowered': 0.689704493913538}","{'mean_h': 0.2570270072776432, 'median_h': 0.08136137078205745, 'fraction_h_ge_0p5': 0.2605048337005097, 'mean_delta_vtheta_mV': -0.1412524546564016, 'fraction_threshold_lowered': 0.6967958452254646}",1,0.0,1.0,0,False
