record_index,q_hold,phase,source_dt_ms,source_outcome,ramp_outcome,source_label_match,ramp_label_match,m_initial,m_final,m_nondecreasing,low_state_index,low_state_entry_ms,m_at_low_entry,use_at_low_entry,final_additive_mv,accepted_r0b_final_additive_mv,final_additive_abs_error_mv,max_abs_fixed_q_error,finite,support_violation_count,bound_violation_count,core_return_count,annulus_return_count,sensor_pass
12,0.84,0.0,0.0625,bounded_CCO,LLL,True,True,0.0,0.23241522908210754,True,59,118.0,0.23241522908210754,0.0,0.3718643665313721,0.3718643665313721,0.0,2.622604367008563e-08,True,0,0,0,1,True
13,0.84,0.25,0.0625,bounded_CCO,LLL,True,True,0.0,0.23241525888442993,True,59,118.0,0.23241525888442993,0.0,0.3718644142150879,0.3718644142150879,0.0,2.622604367008563e-08,True,0,0,0,1,True
14,0.84,0.5,0.0625,bounded_CCO,LLL,True,True,0.0,0.2324153482913971,True,59,118.0,0.2324153482913971,0.0,0.37186455726623535,0.37186455726623535,0.0,2.622604367008563e-08,True,0,0,0,1,True
15,0.84,0.75,0.0625,bounded_CCO,LLL,True,True,0.0,0.23241524398326874,True,59,118.0,0.23241524398326874,0.0,0.37186439037323,0.37186439037323,0.0,2.622604367008563e-08,True,0,0,0,1,True
16,0.8425,0.0,0.0625,bounded_CCO,LLL,True,True,0.0,0.23048906028270721,True,59,118.0,0.23048906028270721,0.0,0.3687824964523316,0.3687824964523316,0.0,2.8610229518832853e-08,True,0,0,0,1,True
17,0.8425,0.25,0.0625,bounded_CCO,LLL,True,True,0.0,0.23048914968967438,True,59,118.0,0.23048914968967438,0.0,0.368782639503479,0.368782639503479,0.0,2.8610229518832853e-08,True,0,0,0,1,True
18,0.8425,0.5,0.0625,bounded_CCO,LLL,True,True,0.0,0.2304890900850296,True,59,118.0,0.2304890900850296,0.0,0.3687825441360474,0.3687825441360474,0.0,2.8610229518832853e-08,True,0,0,0,1,True
19,0.8425,0.75,0.0625,bounded_CCO,LLL,True,True,0.0,0.2304890751838684,True,59,118.0,0.2304890751838684,0.0,0.36878252029418945,0.36878252029418945,0.0,2.8610229518832853e-08,True,0,0,0,1,True
20,0.845,0.0,0.0625,bounded_CCO,LLL,True,True,0.0,0.228249654173851,True,59,118.0,0.228249654173851,0.0,0.3651994466781616,0.3651994466781616,0.0,2.8610229518832853e-08,True,0,0,0,1,True
21,0.845,0.25,0.0625,bounded_CCO,LLL,True,True,0.0,0.228249654173851,True,59,118.0,0.228249654173851,0.0,0.3651994466781616,0.3651994466781616,0.0,2.8610229518832853e-08,True,0,0,0,1,True
22,0.845,0.5,0.0625,bounded_CCO,LLL,True,True,0.0,0.2282496690750122,True,59,118.0,0.2282496690750122,0.0,0.36519947052001955,0.36519947052001955,0.0,2.8610229518832853e-08,True,0,0,0,1,True
23,0.845,0.75,0.0625,bounded_CCO,LLL,True,True,0.0,0.22824974358081818,True,59,118.0,0.22824974358081818,0.0,0.3651995897293091,0.3651995897293091,0.0,2.8610229518832853e-08,True,0,0,0,1,True
