q,phase,dt_ms,outcome,contained_local_cycle,bounded_ceiling_cycle,core_poincare_closure_scaled,core_recent_peak_drift,final_fast_rhs_max_per_ms,core_status,core_returns,core_period_ms,core_period_cv,core_peak_hz,core_tail_mean_hz,core_sustained_ceiling,core_support_violations,core_bound_violations,core_return_times_ms,annulus_status,annulus_returns,annulus_period_ms,annulus_period_cv,annulus_peak_hz,annulus_tail_mean_hz,annulus_sustained_ceiling,annulus_support_violations,annulus_bound_violations,annulus_return_times_ms,bath_status,bath_returns,bath_period_ms,bath_period_cv,bath_peak_hz,bath_tail_mean_hz,bath_sustained_ceiling,bath_support_violations,bath_bound_violations,bath_return_times_ms,r0b_source_label_match,checkpoint_time_ms
0.84,0.0,0.125,bounded_CCO,True,False,1.1505445816561223e-05,0.002135533356231346,0.001419021381823115,C,23,520.5862258253916,1.7635488950728392e-07,144.95359361171722,13.729980016757406,False,0,0,"[447.2475134021237, 967.8287782764461, 1488.4150298131458, 2009.0014304816768, 2529.5875175855635, 3050.1737363797597, 3570.7601038028633, 4091.3462652973035, 4611.932450494528, 5132.518784595127, 5653.10502058299, 6173.6911721553815, 6694.277472859354, 7214.8637834433575, 7735.449901362406, 8256.036168595712, 8776.62255389457, 9297.20863813072, 9817.79487182514, 10338.381254010845, 10858.967382480394, 11379.553582590004, 11900.13993148702]",C,23,520.5862373292015,1.718240130506675e-07,94.94909644126892,8.513289017062784,False,0,0,"[453.78449627621626, 974.3658526742263, 1494.9519906361193, 2015.5382462331945, 2536.1246131779276, 3056.7107254979132, 3577.2969549574022, 4097.883299896441, 4618.469466313291, 5139.055669550178, 5659.641988663156, 6180.22821308191, 6700.8143900141185, 7221.400683198428, 7741.986965805631, 8262.573116351121, 8783.159383519971, 9303.745724501296, 9824.331848583932, 10344.91808965283, 10865.504446018966, 11386.090586756802, 11906.676801640435]",O_unresolved,0,,,10.148090310394764,1.2271908172750157,False,0,0,[],True,2529.5875175855635
0.84,0.25,0.125,bounded_CCO,True,False,3.6030270017733543e-06,0.0022709096698058998,0.0003976590674670753,C,23,520.5862507664982,1.3120647489354018e-07,144.95429396629333,13.766966271725392,False,0,0,"[403.225341827211, 923.7904638614381, 1444.3768593035177, 1964.962950083245, 2485.5491672163266, 3006.135532993038, 3526.7216981696747, 4047.307881704422, 4567.89421415491, 5088.480453829945, 5609.066603738466, 6129.652902788663, 6650.239217065324, 7170.825333319065, 7691.411598895034, 8211.997987892562, 8732.584070461919, 9253.170302495819, 9773.756683036836, 10294.342815186363, 10814.929013634102, 11335.515360882622, 11856.101567485857]",C,23,520.5862288310424,1.4710047037579726e-07,94.94827687740326,8.529431535165289,False,0,0,"[409.763002658752, 930.3274262467287, 1450.9136768438464, 1971.5000462353821, 2492.0861576926054, 3012.6723858570613, 3533.25872952116, 4053.8448988024843, 4574.431100740226, 5095.017418573087, 5615.603645865555, 6136.1898214945595, 6656.776113394077, 7177.362398884199, 7697.948548122529, 8218.534814002429, 8739.12115787584, 9259.707280647743, 9780.293520423487, 10300.87987551697, 10821.466019115169, 11342.052232701446, 11862.638562010097]",O_unresolved,0,,,10.148231871426105,1.2287934653590176,False,0,0,[],True,2485.5491672163266
0.84,0.5,0.125,bounded_CCO,True,False,7.418876169479124e-06,0.001578977778956682,0.0003169490480525321,C,23,520.586239088083,1.5634331143636049e-07,144.95429396629333,13.766914735522173,False,0,0,"[393.8208234723183, 914.3752316131198, 1434.9613029685356, 1955.547526426865, 2476.1338984730237, 2996.7200496269334, 3517.3062394930453, 4037.8925782271986, 4558.478803860548, 5079.064960105736, 5599.6512654535445, 6120.237565667913, 6640.823688263769, 7161.4099601510225, 7681.99633506335, 8202.582423980472, 8723.168662338008, 9243.755049141984, 9764.341167277234, 10284.927372054022, 10805.513725580055, 11326.099918150006, 11846.686089318271]",C,23,520.5862477666391,1.1939198388085816e-07,94.94833648204803,8.529075954788869,False,0,0,"[400.35888763045557, 920.9120425141335, 1441.4983957076756, 1962.0845117097101, 2482.6707448053203, 3003.257093323801, 3523.843251697912, 4044.429458582522, 4565.015781289479, 5085.601997639538, 5606.188178230859, 6126.774475022557, 6647.360749535192, 7167.946903751014, 7688.533174538924, 8209.11950739993, 8729.705635163165, 9250.29187986291, 9770.878239802063, 10291.4643725087, 10812.05059103503, 11332.63692520901, 11853.223115808618]",O_unresolved,0,,,10.148233734071255,1.228503696178969,False,0,0,[],True,2476.1338984730237
0.84,0.75,0.125,bounded_CCO,True,False,1.4221035949896043e-06,0.0014501027220440838,0.00031632148283979554,C,23,520.586232871466,1.8606069348907027e-07,144.95429396629333,13.766849303024147,False,0,0,"[392.3013807080306, 912.8535222315973, 1433.439673730769, 1954.025980174675, 2474.612277939128, 2995.198401639992, 3515.784674626749, 4036.371047085168, 4556.957137108279, 5077.543376567486, 5598.129764462502, 6118.715880156128, 6639.302086035655, 7159.888440655278, 7680.474630780292, 8201.060803052207, 8721.64712432067, 9242.233388977742, 9762.819527613949, 10283.405815457261, 10803.9921547545, 11324.578259726131, 11845.16451407166]",C,23,520.5862428668946,1.4025723904730052e-07,94.94847059249878,8.528988382699128,False,0,0,"[398.83945861940117, 919.3905020025959, 1439.9767104584478, 1960.562891913127, 2481.1491895569848, 3001.735462157463, 3522.3216172403477, 4042.907888883172, 4563.494219825936, 5084.0803484586595, 5604.666594016104, 6125.252954799235, 6645.839085608697, 7166.425304995536, 7687.011640016921, 8207.59782871321, 8728.184021845736, 9248.770331000758, 9769.356577770743, 10289.942744566995, 10810.529027758388, 11331.115332788322, 11851.701473167679]",O_unresolved,0,,,10.148235596716404,1.2284493702487043,False,0,0,[],True,2474.612277939128
0.8425,0.0,0.125,bounded_CCO,True,False,4.030668772299373e-06,0.0005117359783925367,0.0013922655313784776,C,22,544.1355325833496,1.6468397486823213e-08,143.29802989959717,13.62825690131047,False,0,0,"[471.88809993605395, 1016.0208155506189, 1560.1562809607135, 2104.291757600414, 2648.42724520521, 3192.562743778522, 3736.6982533230885, 4280.833773841012, 4824.969305333605, 5369.104847801398, 5913.2404012441675, 6457.375953776157, 7001.511398869863, 7545.646854768836, 8089.782321542096, 8633.91779927126, 9178.053287965862, 9722.188787629284, 10266.324298264199, 10810.459819872638, 11354.595352455832, 11898.730896014247]",C,22,544.1355041782681,1.2704937502834409e-08,93.81118416786194,8.45170405227691,False,0,0,"[478.4861953884343, 1022.6188850346714, 1566.754395911207, 2110.88985697323, 2655.0253264786297, 3199.16080443373, 3743.296290844224, 4287.431785715188, 4831.567289050931, 5375.702800855019, 5919.838321130263, 6463.973849890953, 7008.109387189826, 7552.2449330853815, 8096.3804350575465, 8640.515896958319, 9184.651367303099, 9728.786846098174, 10272.922333349174, 10817.05782906111, 11361.19333323821, 11905.328845883978]",O_unresolved,0,,,10.008110664784908,1.2394944615425085,False,0,0,[],True,2648.42724520521
0.8425,0.25,0.125,bounded_CCO,True,False,3.2397177406847694e-06,0.0005178964842295678,0.00037222813641738363,C,22,544.1355247504811,1.6467603454054968e-08,143.29808950424194,13.657000265665122,False,0,0,"[427.89013936673604, 972.0133535428263, 1516.148810226268, 2060.28427904333, 2604.419758821695, 3148.555249566186, 3692.690751280043, 4236.826263965825, 4780.961787625428, 5325.097322259922, 5869.232867869662, 6413.3684244540855, 6957.503942846831, 7501.639391028238, 8045.774850030547, 8589.910319935929, 9134.045800803839, 9678.181292638232, 10222.316795442272, 10766.452309218459, 11310.58783396861, 11854.723369693715]",C,22,544.1354981362389,1.270090488716625e-08,93.81117671728134,8.461702380449271,False,0,0,"[434.4885781447876, 978.6113589041828, 1522.74690511888, 2066.8823897921093, 2611.0178532705963, 3155.153325194318, 3699.2888055694316, 4243.4242944014595, 4787.559791695276, 5331.695297454958, 5875.830811683907, 6419.966334384562, 6964.101865583518, 7508.237405337479, 8052.372953704722, 8596.508429177864, 9140.643893495266, 9684.779366258543, 10228.914847473789, 10773.050337146466, 11317.185835281372, 11861.321341882505]",O_unresolved,0,,,10.008067823946476,1.2386244315186519,False,0,0,[],True,2604.419758821695
0.8425,0.5,0.125,bounded_CCO,True,False,1.0926222590732697e-06,0.00017096504045704654,0.00031320382581589995,C,22,544.1355034820505,1.6462489109756444e-08,143.29968392848969,13.655350571442508,False,0,0,"[418.5012754101255, 962.6180287539308, 1506.753549728592, 2050.8889975035117, 2595.0244560974425, 3139.1599255904484, 3683.2954060455904, 4227.43089746708, 4771.566399858112, 5315.701913221207, 5859.8374375582125, 6403.97297287015, 6948.108519157337, 7492.244076419262, 8036.379587448627, 8580.515036296374, 9124.650495968599, 9668.785966550431, 10212.921448095143, 10757.056940606553, 11301.192444087785, 11845.327958541295]",C,22,544.1354817389378,1.2687110654397278e-08,93.81045401096344,8.460032543703772,False,0,0,"[425.0998061861051, 969.2159400629859, 1513.3514689748108, 2057.4870084054496, 2601.622556447361, 3145.7580354061697, 3689.8934994057486, 4234.028971850962, 4778.164452747925, 5322.299942102123, 5866.435439918387, 6410.570946200741, 6954.706460952556, 7498.841984176313, 8042.977515901622, 8587.113056185563, 9131.248605086568, 9675.38407484383, 10219.519539682364, 10763.65501296717, 11307.7904947043, 11851.925984899177]",O_unresolved,0,,,10.008194483816624,1.2377494738270862,False,0,0,[],True,2595.0244560974425
0.8425,0.75,0.125,bounded_CCO,True,False,7.671389087554727e-07,0.0005208313271662934,0.0003123108218509397,C,22,544.1354850559261,1.6454873135667408e-08,143.2991772890091,13.655016617012953,False,0,0,"[416.98482228539285, 961.1003017920198, 1505.235848467636, 2049.37140815338, 2593.5068928445385, 3137.6423440767844, 3681.7778061479057, 4225.913279149163, 4770.048763114196, 5314.184258046681, 5858.319763949581, 6402.455280825217, 6946.590808675182, 7490.726347500245, 8034.861897300494, 8578.997458078502, 9123.132930908501, 9667.268383215122, 10211.40384636792, 10755.539320458474, 11299.674805513197, 11843.8103015357]",C,22,544.1354675436202,1.2672099024739398e-08,93.81118416786194,8.459726606096938,False,0,0,"[423.5834324225237, 967.6982684396716, 1511.833782964926, 2055.969308060462, 2600.1048416698186, 3144.24038385074, 3688.375925710811, 4232.511383971998, 4776.646850674282, 5320.782325824234, 5864.917809427757, 6409.053301490139, 6953.188802015963, 7497.324311009014, 8041.45982847244, 8585.595354411767, 9129.730888870263, 9673.866431906128, 10218.00196457906, 10762.137423678734, 11306.272891220186, 11850.40836720992]",O_unresolved,0,,,10.008202865719795,1.2375988294379767,False,0,0,[],True,2593.5068928445385
0.845,0.0,0.125,bounded_CCO,True,False,1.5743779545313786e-05,0.0017297320152107332,0.009420529411436594,C,21,573.5839982911106,2.3805034293196596e-07,141.3670778274536,10.868063354432516,False,0,0,"[502.78083776002643, 1076.3636009358086, 1649.947473000881, 2223.5315124799745, 2797.1156019409286, 3370.6994659160264, 3944.283497305058, 4517.867603407368, 5091.451459222591, 5665.035482517768, 6238.619605267555, 6812.203452920399, 7385.787468117932, 7959.3716075213115, 8532.955447009275, 9106.539454105365, 9680.123610168497, 10253.707441489561, 10827.291440480389, 11400.875605649495, 11974.459436362893]",C,21,573.5839940789841,1.4691924642674114e-07,92.46271103620529,6.872091301068099,False,0,0,"[509.4538919957815, 1083.0365407303511, 1656.6206410611114, 2230.204519575977, 2803.788527594315, 3377.3726408710468, 3950.9565130524707, 4524.540514825505, 5098.124640987352, 5671.708506831075, 6245.292502354313, 6818.876625760391, 7392.460500911638, 7966.044490180584, 8539.628607405866, 9113.212495293996, 9686.796478304193, 10260.380589346256, 10833.964489978487, 11407.548466725706, 11981.132571583208]",O_unresolved,0,,,9.721573442220688,0.9996601881272533,False,0,0,[],True,2797.1156019409286
0.845,0.25,0.125,bounded_CCO,True,False,9.607898260469977e-07,0.0015543049151801455,0.0016565605507717987,C,21,573.5839995385522,1.199155095411205e-07,141.3668543100357,13.303820082723552,False,0,0,"[458.80424228090385, 1032.3823116555277, 1605.9661981197671, 2179.5501614985947, 2753.1342913990734, 3326.718194737884, 3900.3021499907495, 4473.88627184369, 5047.470191757167, 5621.05413888083, 6194.638252682437, 6768.22218917657, 7341.806128168255, 7915.390233914731, 8488.974186995412, 9062.558117852348, 9636.142215539896, 10209.726185213007, 10783.310107932422, 11356.894197557245, 11930.478183828664]",C,21,573.5839950247009,9.705927056765785e-08,92.46248751878738,8.267687832190285,False,0,0,"[465.477573464178, 1039.0552062373417, 1612.6392898097638, 2186.2232464498793, 2759.807195664689, 3333.391273368223, 3906.975242791551, 4480.559185720601, 5054.14325723142, 5627.727239445873, 6201.311176084914, 6774.8952413983325, 7348.479236412284, 7922.063166757063, 8495.647225868304, 9069.231233690127, 9642.81515773639, 10216.399210640677, 10789.983231278733, 11363.567149022227, 11937.15119571478]",O_unresolved,0,,,9.721505455672741,1.2277194647120309,False,0,0,[],True,2753.1342913990734
