label,J_EE_core,classification,period_ms,A_mean_hz,B_mean_hz,source
LP1,1.3645475252622103,周期轨道鞍结（fold of cycles）,340.61849264350025,67.84703434487706,54.9825922849551,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/core_branch_connections_v5_20260915/folds/burst_end_fold_N4096.npz
PD1,1.3493650597619273,超临界倍周期，向左降低 J,187.53699287267838,54.94534332179567,309.27137624713004,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/core_branch_connections_v5_20260915/flips/mixed_lower_flip_N4096.npz
PD2,1.3885678462993365,亚临界倍周期，向右增大 J,182.8162813415111,78.32936596963638,357.72096897156666,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/core_branch_connections_v5_20260915/flips/mixed_flip_N4096.npz
PD3,1.3773792265782046,超临界倍周期，向左降低 J,151.6429404486839,313.2275273328987,348.059561729903,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/core_branch_connections_v5_20260915/flips/tonic_lower_flip_N4096.npz
