candidate,seed,layer,mode,n,SCL_upper_participation,SCL_minus_ICL_lag_median_ms,pair_order_probability_mae
endpoint__EE_angle_offset_deg_-15,847102,primary,ALL,4,0.75,42.47918175380801,0.5387911843322699
endpoint__EE_angle_offset_deg_-15,847102,primary,TA,1,0.0,,0.261379060834396
endpoint__EE_angle_offset_deg_-15,847102,primary,TB,3,1.0,42.47918175380801,0.3998414289109681
endpoint__EE_angle_offset_deg_-15,847102,all_detected,ALL,77,0.987012987012987,42.71804954767663,
endpoint__EE_angle_offset_deg_-15,847102,all_detected,TA,1,0.0,,
endpoint__EE_angle_offset_deg_-15,847102,all_detected,TB,76,1.0,42.71804954767663,
endpoint__EE_angle_offset_deg_15,847101,primary,ALL,6,0.0,,0.4573460778624146
endpoint__EE_angle_offset_deg_15,847101,primary,TA,2,0.0,,0.1937270096789227
endpoint__EE_angle_offset_deg_15,847101,primary,TB,4,0.0,,0.3429649861278898
endpoint__EE_angle_offset_deg_15,847101,all_detected,ALL,65,0.0,,
endpoint__EE_angle_offset_deg_15,847101,all_detected,TA,7,0.0,,
endpoint__EE_angle_offset_deg_15,847101,all_detected,TB,58,0.0,,
endpoint__EE_angle_offset_deg_15,847102,primary,ALL,5,0.0,,0.6611004601734979
endpoint__EE_angle_offset_deg_15,847102,primary,TA,0,,,
endpoint__EE_angle_offset_deg_15,847102,primary,TB,5,0.0,,0.340237713400617
endpoint__EE_angle_offset_deg_15,847102,all_detected,ALL,77,0.0,,
endpoint__EE_angle_offset_deg_15,847102,all_detected,TA,0,,,
endpoint__EE_angle_offset_deg_15,847102,all_detected,TB,77,0.0,,
up4p5__baseline,847101,primary,ALL,4,0.25,-38.77903647946869,0.527136868410574
up4p5__baseline,847101,primary,TA,1,0.5,-42.80318828556028,0.205749159136363
up4p5__baseline,847101,primary,TB,3,0.1666666666666666,-34.75488467337709,0.4210536473276011
up4p5__baseline,847101,all_detected,ALL,18,0.2777777777777778,-32.68908236705465,
up4p5__baseline,847101,all_detected,TA,3,0.5,-28.38637026756805,
up4p5__baseline,847101,all_detected,TB,15,0.2333333333333333,-33.96306472495053,
up4p5__baseline,847102,primary,ALL,3,0.0,-20.01913794927077,0.5835981564093942
up4p5__baseline,847102,primary,TA,0,,,
up4p5__baseline,847102,primary,TB,3,0.0,-20.01913794927077,0.3672949550554217
up4p5__baseline,847102,all_detected,ALL,41,0.2195121951219512,-23.15146840057332,
up4p5__baseline,847102,all_detected,TA,0,,,
up4p5__baseline,847102,all_detected,TB,41,0.2195121951219512,-23.15146840057332,
up4p5__EE_out_to_out_scale_1.15,847101,primary,ALL,2,0.25,-32.30865742300966,0.5346622896755748
up4p5__EE_out_to_out_scale_1.15,847101,primary,TA,1,0.5,-34.30794043289279,0.2706671327553571
up4p5__EE_out_to_out_scale_1.15,847101,primary,TB,1,0.0,-30.30937441312653,0.4046372466535209
up4p5__EE_out_to_out_scale_1.15,847101,all_detected,ALL,71,0.4577464788732394,-37.919931888933206,
up4p5__EE_out_to_out_scale_1.15,847101,all_detected,TA,48,0.4479166666666667,-40.63022855624877,
up4p5__EE_out_to_out_scale_1.15,847101,all_detected,TB,23,0.4782608695652174,-13.227263438545831,
up4p5__EE_out_to_out_scale_1.15,847102,primary,ALL,6,0.3333333333333333,-7.791375316785434,0.5851554156449009
up4p5__EE_out_to_out_scale_1.15,847102,primary,TA,0,,,
up4p5__EE_out_to_out_scale_1.15,847102,primary,TB,6,0.3333333333333333,-7.791375316785434,0.3186530479051769
up4p5__EE_out_to_out_scale_1.15,847102,all_detected,ALL,76,0.4671052631578947,-13.69759737698746,
up4p5__EE_out_to_out_scale_1.15,847102,all_detected,TA,6,0.4166666666666667,-39.86689922647975,
up4p5__EE_out_to_out_scale_1.15,847102,all_detected,TB,70,0.4714285714285714,-12.062608477921003,
up4p5__EE_kernel_perp_scale_1.5,847101,primary,ALL,0,,,
up4p5__EE_kernel_perp_scale_1.5,847101,primary,TA,0,,,
up4p5__EE_kernel_perp_scale_1.5,847101,primary,TB,0,,,
up4p5__EE_kernel_perp_scale_1.5,847101,all_detected,ALL,76,1.0,-40.00489554903106,
up4p5__EE_kernel_perp_scale_1.5,847101,all_detected,TA,69,1.0,-40.167188227773295,
up4p5__EE_kernel_perp_scale_1.5,847101,all_detected,TB,7,1.0,-20.83790280592666,
up4p5__EE_kernel_perp_scale_1.5,847102,primary,ALL,7,1.0,-31.77756105110529,0.4229225542410207
up4p5__EE_kernel_perp_scale_1.5,847102,primary,TA,1,1.0,-43.51294293844876,0.3940893170156523
up4p5__EE_kernel_perp_scale_1.5,847102,primary,TB,6,1.0,-31.11704085286965,0.430831439268918
up4p5__EE_kernel_perp_scale_1.5,847102,all_detected,ALL,76,1.0,-29.326580780845237,
up4p5__EE_kernel_perp_scale_1.5,847102,all_detected,TA,20,1.0,-38.93257015852305,
up4p5__EE_kernel_perp_scale_1.5,847102,all_detected,TB,56,1.0,-27.393474437753863,
up4p5__EE_kernel_parallel_scale_1.5,847101,primary,ALL,2,0.0,-26.35506024550341,0.6164004754665438
up4p5__EE_kernel_parallel_scale_1.5,847101,primary,TA,0,,,
up4p5__EE_kernel_parallel_scale_1.5,847101,primary,TB,2,0.0,-26.35506024550341,0.3765845099851627
up4p5__EE_kernel_parallel_scale_1.5,847101,all_detected,ALL,75,0.0,-9.8875451398103,
up4p5__EE_kernel_parallel_scale_1.5,847101,all_detected,TA,0,,,
up4p5__EE_kernel_parallel_scale_1.5,847101,all_detected,TB,75,0.0,-9.8875451398103,
up4p5__EE_kernel_parallel_scale_1.5,847102,primary,ALL,3,0.0,-1.2743106669549888,0.6208930716336218
up4p5__EE_kernel_parallel_scale_1.5,847102,primary,TA,0,,,
up4p5__EE_kernel_parallel_scale_1.5,847102,primary,TB,3,0.0,-1.2743106669549888,0.3190845104919992
up4p5__EE_kernel_parallel_scale_1.5,847102,all_detected,ALL,54,0.0,-5.622664484993948,
up4p5__EE_kernel_parallel_scale_1.5,847102,all_detected,TA,0,,,
up4p5__EE_kernel_parallel_scale_1.5,847102,all_detected,TB,54,0.0,-5.622664484993948,
up4p5__EE_angle_offset_deg_-15,847101,primary,ALL,1,0.0,-29.47429669794656,0.3425506169379753
