candidate_id,median_mean_mode_score,median_mode_0_precedence.ICL-ICL_excess,median_mode_0_precedence.ICL-SCL_excess,median_mode_0_precedence.SCL-SCL_excess,median_mode_0_recruitment.ICL_excess,median_mode_0_recruitment.SCL_excess,median_mode_1_precedence.ICL-ICL_excess,median_mode_1_precedence.ICL-SCL_excess,median_mode_1_precedence.SCL-SCL_excess,median_mode_1_recruitment.ICL_excess,median_mode_1_recruitment.SCL_excess,median_pooled_multishaft_fraction,median_pooled_scl_recruitment_fraction,median_weak_mode_score,n_eligible_replicates,n_replicates,old_objective
sobol_000,5.5349744938486385,7.587262909491509,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,4.0602017403914505,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.537541668603282,1,1,5.275403144665346
sobol_001,5.5885827856707495,8.01290888534273,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,4.0602017403914505,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.605734899221791,1,1,5.462480234634499
sobol_002,5.542008945833237,7.626422413994325,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,3.943239712530313,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.544636970161261,1,1,5.217792928547204
sobol_003,5.499205962562938,6.439891726194062,5.565769399170436,3.245464688289686,2.915618686941356,5.412846020761246,3.875962917689803,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.4992629820849785,1,1,5.521328878043515
sobol_004,5.534550876520134,7.587460909322969,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,3.9483072517641515,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.537375661200516,1,1,5.177411390855985
sobol_005,5.560671227032227,7.765357625920444,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,4.0602017403914505,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.566807556067277,1,1,5.347679809412971
sobol_006,5.525912700292592,7.548831611668494,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,3.9809425559111054,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.527905249897814,1,1,5.180316527962909
sobol_007,5.381382341135428,5.646034792750814,5.565769399170436,3.245464688289686,3.731816952235144,5.412846020761246,3.9247351663004375,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.411011250045881,1,1,6.254467993542175
sobol_008,5.565220921115971,6.927895958494872,5.565769399170436,3.245464688289686,3.55620528699776,5.412846020761246,4.0602017403914505,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.57410136682794,1,1,5.5556995517167715
sobol_009,5.642361679891324,7.619422889045327,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,5.212508977274164,7.608145377516226,3.4941741861622733,2.858141989278081,4.105267394128943,0.0,0.0,5.651970501091003,1,1,5.217987707306049
sobol_010,5.557440737482697,7.754817994015088,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,3.4890239163361785,7.608145377516226,3.4941741861622733,1.4215099946967988,4.105267394128943,0.0,0.0,5.564638739308956,1,1,5.459868675633513
sobol_011,5.418554062173608,6.94772651557989,5.565769399170436,3.245464688289686,1.4654871738792608,5.412846020761246,4.0602017403914505,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.43046781991935,1,1,5.256744954632374
sobol_012,5.635096560970734,7.5768215114742175,5.565769399170436,3.245464688289686,2.1358642163605692,5.412846020761246,4.0602017403914505,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.669881538829272,1,1,5.698556009056715
sobol_013,5.6183072930573195,7.587262909491509,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,4.558764707023733,7.608145377516226,3.4941741861622733,1.8578216969194177,4.105267394128943,0.0,0.0,5.622881411317715,1,1,5.2265608269720065
sobol_014,5.660371917014913,7.908227425552166,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,4.558764707023733,7.608145377516226,3.4941741861622733,1.8578216969194177,4.105267394128943,0.0,0.0,5.660379720914329,1,1,5.459872108082757
sobol_015,5.426837385821928,7.004021393316895,5.565769399170436,3.245464688289686,1.2519583071937932,5.412846020761246,4.0602017403914505,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.436750882755989,1,1,5.168444333461915
sobol_016,5.532258116630814,7.562132618849456,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,3.875962917689803,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.533866546931233,1,1,5.177418696174779
sobol_017,5.492719391629073,6.0887958041664385,5.565769399170436,3.245464688289686,4.124664022975935,5.412846020761246,4.0602017403914505,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.492766402987747,1,1,5.621778122634994
sobol_018,5.505515088426724,7.561219755745884,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,3.331261819377579,7.608145377516226,3.4941741861622733,1.2033541435854889,4.105267394128943,0.0,0.0,5.511974481378094,1,1,5.177414411168739
sobol_019,5.59345378795918,7.765357625920444,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,3.798680257352453,7.608145377516226,3.4941741861622733,1.6396658458081075,4.105267394128943,0.0,0.0,5.5947975416574245,1,1,5.462488780102573
sobol_020,5.514387704185609,7.600379260248701,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,3.356448321127533,7.608145377516226,3.4941741861622733,1.2033541435854889,4.105267394128943,0.0,0.0,5.521433700330595,1,1,5.217796126091442
sobol_021,5.643027604761606,7.665325009510048,5.565769399170436,3.245464688289686,2.1358642163605692,5.412846020761246,3.943239712530313,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.684137155308264,1,1,5.709458268071291
sobol_022,5.608485438914231,7.3827403691561075,5.565769399170436,3.245464688289686,2.1358642163605692,5.412846020761246,4.0602017403914505,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.631757728745374,1,1,5.630947161896189
sobol_023,5.599286018339219,8.065431906531495,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,4.0602017403914505,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.619944867552408,1,1,5.462480082117391
sobol_024,5.585689072635632,7.983267129224397,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,4.0602017403914505,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.601213376273461,1,1,5.462480082117391
sobol_025,5.622395302824797,7.613504063068594,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,4.558764707023733,7.608145377516226,3.4941741861622733,1.8578216969194177,4.105267394128943,0.0,0.0,5.625768193434,1,1,5.223654643401973
sobol_026,6.455750839186359,7.285437919914182,5.565769399170436,3.245464688289686,2.1358642163605692,5.412846020761246,4.561670521236023,7.608145377516226,3.4941741861622733,6.303605651847456,4.105267394128943,0.0,0.0,7.053301003452357,1,1,nan
sobol_027,5.533391193082059,7.587262909491509,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,4.0602017403914505,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.536204552632407,1,1,5.21235096770917
sobol_028,5.546139237271861,7.689794274280739,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,4.0602017403914505,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.551305210674494,1,1,5.37304510291711
sobol_029,5.577630044985076,7.613504063068594,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,4.0623547383064915,7.608145377516226,3.4941741861622733,2.768943192737238,4.105267394128943,0.0,0.0,5.5776494160435615,1,1,5.212517158108326
sobol_030,5.66423497162409,7.482277107721574,5.565769399170436,3.245464688289686,3.9832630203686956,5.412846020761246,3.9046054435191646,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.71399295596954,1,1,5.484607092241366
sobol_031,5.577972453696143,7.912975833817595,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,4.0602017403914505,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.5902306617174595,1,1,5.462480082117391
sobol_032,5.5338184448356245,7.561866464823296,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,3.9247351663004375,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.535627376511616,1,1,5.173832497253769
sobol_033,5.447578456031724,5.96467935051726,5.565769399170436,3.245464688289686,3.6976062896049986,5.412846020761246,4.0602017403914505,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.452567315809362,1,1,5.574157936537517
sobol_034,5.531903884173419,7.556877972542865,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,3.943239712530313,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.533846498042887,1,1,5.206848195139023
sobol_035,5.5531731773504,7.742774568610092,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,3.9483072517641515,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.5593563867234375,1,1,5.351599298868752
sobol_036,5.545467595543192,7.672167935266495,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,3.8893983777638526,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.549159296244431,1,1,5.299994302174072
sobol_037,5.473349468201505,6.3390624645871725,5.565769399170436,3.245464688289686,3.1291475536268245,5.412846020761246,3.9809425559111054,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.475065141755734,1,1,5.361066058864716
sobol_038,5.606854664163693,7.3827403691561075,5.565769399170436,3.245464688289686,2.1358642163605692,5.412846020761246,3.9838575695568954,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.629819632941019,1,1,5.597156172723867
sobol_039,5.587626127457892,7.962273796080287,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,3.9247351663004375,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.602071381584739,1,1,5.459867793166706
sobol_040,5.585601317494035,7.962273796080287,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,4.0602017403914505,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.601458179331369,1,1,5.462480082117391
sobol_041,5.621281832532445,7.613504063068594,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,4.558764707023733,7.608145377516226,3.4941741861622733,1.8578216969194177,4.105267394128943,0.0,0.0,5.624835992454875,1,1,5.192004760772496
sobol_042,5.423091413137477,7.014998187152447,5.565769399170436,3.245464688289686,1.6790160405647285,5.412846020761246,3.331261819377579,7.608145377516226,3.4941741861622733,1.2033541435854889,4.105267394128943,0.0,0.0,5.424493491716492,1,1,5.2831967711730785
sobol_043,5.52423770031854,7.498759411455678,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,4.0602017403914505,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.52526556732503,1,1,5.318180194895243
sobol_044,5.5882010198981735,7.997921741639776,5.565769399170436,3.245464688289686,1.2923158385468523,5.412846020761246,4.0602017403914505,7.608145377516226,3.4941741861622733,0.9063958708539198,4.105267394128943,0.0,0.0,5.6042600217070335,1,1,5.373045059721203
sobol_045,5.505145711461058,6.979002515597739,5.565769399170436,3.245464688289686,1.4654871738792608,5.412846020761246,4.558764707023733,7.608145377516226,3.4941741861622733,1.8578216969194177,4.105267394128943,0.0,0.0,5.550922801030224,1,1,5.238953739042174
