band,low_hz,high_hz,interval,label,n_subjects,n_epilepsiae_subjects,n_yuquan_subjects,n_shared_subjects,n_own_fallback_subjects,n_seizures,n_within_shaft_strong_subjects,n_distance_bin_fallback_subjects,n_subject_wide_weak_subjects,cohort_perm_p_spatial,cohort_perm_delta_spatial,max_over_bands_p,passes_fwer_0p05,median_subject_delta,iqr_subject_delta_low,iqr_subject_delta_high,n_subject_delta_positive
delta_HYP_slow,1.0,4.0,half_open,"δ
1–4",19,17,2,8,11,207,2,4,13,0.000999000999000999,0.06415246692605336,0.000999000999000999,True,0.016633873582200587,-0.00641052906738887,0.060190212796455866,12
theta_preictal_PAC,4.0,8.0,half_open,"θ
4–8",19,17,2,8,11,207,2,4,13,0.000999000999000999,0.05744936938870082,0.002997002997002997,True,0.0011270211379361683,-0.01921654271440809,0.038618637913875487,10
alpha_sharp_leq13,8.0,13.0,half_open,"α
8–13",19,17,2,8,11,207,2,4,13,0.012987012987012988,0.03132762116660737,0.12787212787212787,False,-0.003806193501981192,-0.028163125059596728,0.022021141599461502,8
beta_LVFA_low,13.0,30.0,half_open,"β
13–30",19,17,2,8,11,207,2,4,13,0.001998001998001998,0.05539497541784144,0.003996003996003996,True,0.004096351046920854,-0.010240252326776667,0.04705677384028423,12
gamma_LVFA,30.0,80.0,half_open,"γ
30–80",19,17,2,8,11,207,2,4,13,0.002997002997002997,0.034771396128192356,0.08291708291708291,False,0.02175116743032901,0.0008242912948131509,0.04846628071207204,15
hg_low_ripple,80.0,150.0,half_open,"R
80–150",19,17,2,8,11,184,2,4,13,0.4515484515484515,0.0020104015106050532,0.9820179820179821,False,0.00025442858625401854,-0.03335976224596879,0.03634158992826825,10
ripple_high,150.0,250.0,half_open,"FR
150–250",19,17,2,8,11,184,2,4,13,0.8511488511488512,-0.020158992088719407,1.0,False,-0.014784950025764965,-0.05514079755660195,0.01887079708424283,8
