candidate_id,topology_seed,dynamics_seed,primary_local_index,detected_event_index,window_start_ms,window_stop_ms,mode,support_state,assigned_patient_distance,distance_to_mode0,distance_to_mode1,relative_distance_mode0_minus_mode1,upper_SCL_n,upper_SCL_ms,right_ICL_n,right_ICL_ms,middle_ICL_n,middle_ICL_ms,left_ICL_n,left_ICL_ms,middle_before_both_ICL_ends,right_before_upper_and_left,upper_and_left_before_right,t10_t50_t90_ms,left_10ms_mass_fraction,right_10ms_mass_fraction,native_mapping_status,native_overlapping_worker_events,native_worker_event_index,native_source_evaluable,native_arrival_finite_bins,native_arrival_span_p10_p90_ms,native_arrival_total_span_ms,native_early_quartile_components_4_neighbor,native_early_quartile_extent_mm
v2_anchor_historical__baseline,6101,7101,0,0,518.0,768.0,0,1,0.29630175261724606,0.29630175261724606,0.6076511581925917,-0.3113494055753457,4,638.40087890625,2,621.2374877929688,4,650.6195068359375,3,676.3883666992188,False,True,False,"[-1.71466064453125, 24.28533935546875, 58.28533935546875]",5.4530986991393896e-05,1.946019497296453e-24,NOT_ESTIMABLE_NO_OVERLAPPING_PHYSICAL_EVENT,0,,False,0,,,,
v2_anchor_historical__baseline,6101,7101,1,3,1352.0,1602.0,1,-1,0.9535780061213774,1.2099775654242824,0.9535780061213774,0.2563995593029049,0,,2,1475.1234130859375,4,1473.02734375,3,1358.265380859375,False,,,"[0.8912353515625, 110.8912353515625, 124.8912353515625]",0.16256558793889003,1.5125115393344012e-11,UNIQUE_OVERLAPPING_PHYSICAL_EVENT,1,3,True,104,42.0,88.0,1,9.219544457292887
v2_anchor_historical__baseline,6101,7101,2,4,1628.0,1878.0,0,1,0.4763012280962352,0.4763012280962352,0.8071522089224075,-0.33085098082617226,2,1802.1165771484375,2,1723.3673706054688,4,1749.4214477539062,3,1777.1729736328125,False,True,False,"[-0.8353271484375, 23.1646728515625, 61.1646728515625]",9.85019075242455e-05,2.4228172821474945e-14,UNIQUE_OVERLAPPING_PHYSICAL_EVENT,1,4,True,185,73.19999999999999,144.0,1,10.63014581273465
v2_anchor_historical__baseline,6101,7101,3,5,1896.0,2146.0,0,1,0.3238787775128086,0.3238787775128086,0.6052820857006551,-0.28140330818784653,0,,2,2005.173828125,4,2021.6875,3,2047.7244873046875,False,,,"[-4.6102294921875, 13.3897705078125, 45.3897705078125]",0.00012367790682645528,5.727491960538701e-41,UNIQUE_OVERLAPPING_PHYSICAL_EVENT,1,5,True,168,61.800000000000026,174.0,1,10.0
v2_anchor_historical__baseline,6101,7101,4,8,2682.0,2932.0,0,0,0.5505951158238833,0.5505951158238833,0.6940020156263964,-0.1434068998025131,2,2767.06689453125,2,2791.0535888671875,4,2817.440673828125,3,2843.048828125,False,False,False,"[19.79248046875, 43.79248046875, 81.79248046875]",2.0853931009472433e-08,2.069521924544511e-09,AMBIGUOUS_OVERLAP_CHOSEN_MAXIMUM_FOR_DESCRIPTION,2,10,True,181,62.0,130.0,1,10.0
v2_anchor_historical__baseline,6101,7101,5,16,4654.0,4904.0,0,0,0.8230248457266794,0.8230248457266794,0.9499104659080034,-0.126885620181324,3,4704.44140625,2,4758.0078125,4,4788.415283203125,3,4812.900390625,False,False,False,"[20.1826171875, 78.1826171875, 116.1826171875]",0.0006522457833915805,4.579045309021726e-16,UNIQUE_OVERLAPPING_PHYSICAL_EVENT,1,17,True,190,66.0,128.0,1,10.0
v2_anchor_historical__baseline,6101,7101,6,17,4918.0,5168.0,0,1,0.40054935827758253,0.40054935827758253,0.8124231683164437,-0.41187381003886114,4,5073.17138671875,2,5008.220947265625,4,5033.0751953125,3,5059.48046875,False,True,False,"[-1.533203125, 26.466796875, 66.466796875]",3.083628166191757e-06,1.7370359797865264e-06,NOT_ESTIMABLE_NO_OVERLAPPING_PHYSICAL_EVENT,0,,False,0,,,,
v2_anchor_historical__baseline,6101,7101,7,18,5278.0,5528.0,0,-1,0.9388262959886724,0.9388262959886724,1.1209116721858456,-0.18208537619717324,4,5510.944091796875,2,5404.69091796875,4,5406.6982421875,2,5389.051513671875,False,False,False,"[7.10009765625, 23.10009765625, 129.10009765625]",0.00011606389531798657,0.07161457393419977,NOT_ESTIMABLE_NO_OVERLAPPING_PHYSICAL_EVENT,0,,False,0,,,,
v2_anchor_historical__baseline,6101,7101,8,19,5892.0,6142.0,0,-1,0.9922870206863396,0.9922870206863396,0.827972377482778,0.1643146432035616,4,5921.984619140625,2,5995.7919921875,4,6022.44189453125,0,,,,,"[5.18896484375, 87.18896484375, 113.18896484375]",0.01087473973737492,7.503878335718754e-06,AMBIGUOUS_OVERLAP_CHOSEN_MAXIMUM_FOR_DESCRIPTION,3,19,True,104,40.0,86.0,1,8.246211251235321
v2_anchor_historical__baseline,6101,7101,9,20,6198.0,6448.0,1,-1,0.9581107504766481,1.3840904182446652,0.9581107504766481,0.4259796677680171,2,6203.361328125,2,6341.719482421875,4,6313.956787109375,0,,,,,"[107.5361328125, 127.5361328125, 147.5361328125]",0.025969897414813366,1.0220508787010439e-21,AMBIGUOUS_OVERLAP_CHOSEN_MAXIMUM_FOR_DESCRIPTION,3,21,True,135,50.0,104.0,1,9.486832980505138
