lesion,metric,n_patients,median_benefit,n_patients_better,wilcoxon_p_greater,wilcoxon_q_bh,pass
drop_dominant_mode,participation_mae,34,0.00021250000000000088,20,0.27146899403305724,0.7903564705629833,False
drop_dominant_mode,rank_wasserstein,34,4.036622316751226e-05,19,0.12425233685644343,0.7903564705629833,False
drop_forward,participation_mae,34,0.00010051282051284915,18,0.3002570158569142,0.7903564705629833,False
drop_forward,rank_wasserstein,34,1.1111242279801536e-05,17,0.41976180247729644,0.7903564705629833,False
drop_reverse,participation_mae,34,-0.0001337381916328914,15,0.7989129051482289,0.8715413510707951,False
drop_reverse,rank_wasserstein,34,6.211140065820117e-05,19,0.4131751204840839,0.7903564705629833,False
graph,participation_mae,34,0.0009499999999999995,20,0.4932692584116012,0.7903564705629833,False
graph,rank_wasserstein,34,6.52266810937975e-05,19,0.3364644142566249,0.7903564705629833,False
inhibition,participation_mae,34,-0.0009615686274509483,2,0.9999999980791472,0.9999999980791472,False
inhibition,rank_wasserstein,34,-5.350305080951273e-06,16,0.5269043137086555,0.7903564705629833,False
mode_collapse,participation_mae,34,-0.0003033333333332666,12,0.6818508587311953,0.8182210304774344,False
mode_collapse,rank_wasserstein,34,5.0379871386480035e-06,17,0.6321720012347214,0.8182210304774344,False
