progress_bin,metric,n_patients,median,q25,q75
0.0,posterior_entropy_normalized,34,0.9988193809986115,0.9979035556316376,0.9995908737182617
0.0,posterior_max,34,0.26429663598537445,0.25841519236564636,0.26904889941215515
0.0,posterior_weighted_excitation,34,0.0,0.0,0.0
0.0,posterior_weighted_inhibition,34,0.0,0.0,0.0
0.0,mode0_probability,34,0.5285932719707489,0.5168303847312927,0.5380977988243103
0.0,forward_probability,34,0.5,0.4999999873020524,0.5
0.1,posterior_entropy_normalized,32,0.9979348783107365,0.9969145496472663,0.9993691868328131
0.1,posterior_max,32,0.2689056094078457,0.26046681873201083,0.275594067412285
0.1,posterior_weighted_excitation,32,0.04112338151365056,0.027566453270963815,0.05517269700898656
0.1,posterior_weighted_inhibition,32,0.010026194156963162,0.007087819455268816,0.0137187278735274
0.1,mode0_probability,32,0.5285932392875353,0.5179868487561438,0.5386185279902928
0.1,forward_probability,32,0.49999999929828326,0.49999995082616805,0.5000000075986054
0.2,posterior_entropy_normalized,34,0.9965448991693854,0.993935201070008,0.9984749471261967
0.2,posterior_max,34,0.2767386032663953,0.266531222061466,0.29047251988963585
0.2,posterior_weighted_excitation,34,0.039842405056315464,0.02526405559115127,0.06492517374910459
0.2,posterior_weighted_inhibition,34,0.012781049258624506,0.010923978116968689,0.016691694750814823
0.2,mode0_probability,34,0.5288083862616778,0.5146460774657539,0.5404233508467167
0.2,forward_probability,34,0.49996440140283244,0.49915221599774434,0.5002781877788454
0.30000000000000004,posterior_entropy_normalized,34,0.9934050272900667,0.9905603344305338,0.9951290726059985
0.30000000000000004,posterior_max,34,0.293091549934102,0.2869620849649849,0.30249884364340895
0.30000000000000004,posterior_weighted_excitation,34,0.03840474769493992,0.021645868786405106,0.06281894165665264
0.30000000000000004,posterior_weighted_inhibition,34,0.016690501144649043,0.011872534587865103,0.0227158914361111
0.30000000000000004,mode0_probability,34,0.5301820942912214,0.5126065102934347,0.5425827761278679
0.30000000000000004,forward_probability,34,0.4998090643913978,0.4971328418016674,0.503162452970509
0.4,posterior_entropy_normalized,34,0.9913749540470722,0.9868447476470497,0.9930364165291324
0.4,posterior_max,34,0.29885004946036764,0.29383488857938356,0.31009988535707883
0.4,posterior_weighted_excitation,34,0.03474717139834922,0.02056137648695179,0.06193763317504239
0.4,posterior_weighted_inhibition,34,0.01839995950339437,0.01185214527242472,0.026185496101704956
0.4,mode0_probability,34,0.5307487097533101,0.5144418966666905,0.5457638954826525
0.4,forward_probability,34,0.4991912643077458,0.49524304649696793,0.5026749612399889
0.5,posterior_entropy_normalized,34,0.9896019512265328,0.9846813999960087,0.99200207818015
0.5,posterior_max,34,0.30321375893347535,0.2977003416485274,0.3135965733615622
0.5,posterior_weighted_excitation,34,0.03367840803721974,0.01941758605602661,0.06398702687450786
0.5,posterior_weighted_inhibition,34,0.0182035465389531,0.011713409704921404,0.027058929504012758
0.5,mode0_probability,34,0.5285170103312673,0.5113244307577653,0.54626214197411
0.5,forward_probability,34,0.500239764965922,0.4948639262933284,0.5039561501555212
0.6000000000000001,posterior_entropy_normalized,34,0.9863629951308548,0.9797835935530032,0.9895352735069265
0.6000000000000001,posterior_max,34,0.31175326951461013,0.3027805701583305,0.32315375791471557
0.6000000000000001,posterior_weighted_excitation,34,0.03252259436244104,0.019170289408683254,0.058172747961844073
0.6000000000000001,posterior_weighted_inhibition,34,0.01875595893139709,0.011575932245009723,0.029924015157787667
0.6000000000000001,mode0_probability,34,0.5300861683863194,0.5145834876687153,0.5456094677351627
0.6000000000000001,forward_probability,34,0.5017532015664837,0.4923074679732915,0.5075013723680404
0.7000000000000001,posterior_entropy_normalized,34,0.9847233866278833,0.9762556924291446,0.9874887872154575
0.7000000000000001,posterior_max,34,0.31547390021391897,0.30840607630545996,0.32704226433325573
