candidate_key,arm,field_transform,candidate_id,I_th_EI,tau_adp,eta_m,E_to_E_dose,E_to_I_dose,log_distance_from_exact,n_runs,model_ictal_n_evaluable,model_ictal_eligible_proportion,model_ictal_failing,repertoire_n_evaluable,repertoire_retained_proportion,repertoire_failing,motif_n_evaluable,motif_n_supporting_reuse,motif_n_exceeding_null_q95_including_negative,motif_median,motif_bootstrap_q05,edge_flow_reuse,cross_state_discovery_eligible,onset_shift_stable,passes_duty_0p9
calibrated_transition|joint_04_control|none|I_th_EI=76.1588105013|tau_z=5000|tau_adp=500|eta_m=0.00745159435559|E_to_E_dose=1|E_to_I_dose=0.04,calibrated_transition,none,joint_04_control,76.1588105013359,500.0,0.007451594355587098,1.0,0.04,3.2266010940948457,1,1,1.0,,0,,,0,0,0,,,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,True,True
calibrated_transition|joint_04_control|none|I_th_EI=76.1588105013|tau_z=5000|tau_adp=500|eta_m=0.00745159435559|E_to_E_dose=1|E_to_I_dose=0.05,calibrated_transition,none,joint_04_control,76.1588105013359,500.0,0.007451594355587098,1.0,0.05,3.0040314411314144,1,1,1.0,,0,,,0,0,0,,,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,True,True
calibrated_transition|joint_04_control|none|I_th_EI=76.1588105013|tau_z=5000|tau_adp=500|eta_m=0.00745159435559|E_to_E_dose=1|E_to_I_dose=0.1,calibrated_transition,none,joint_04_control,76.1588105013359,500.0,0.007451594355587098,1.0,0.1,2.3133722473850837,1,0,,,0,,,0,0,0,,,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,,
calibrated_transition|joint_04_control|none|I_th_EI=76.1588105013|tau_z=5000|tau_adp=500|eta_m=0.00745159435559|E_to_E_dose=1|E_to_I_dose=0.15,calibrated_transition,none,joint_04_control,76.1588105013359,500.0,0.007451594355587098,1.0,0.15,1.9101982309557624,1,1,1.0,,0,,,0,0,0,,,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,False,False
calibrated_transition|joint_04_control|none|I_th_EI=76.1588105013|tau_z=5000|tau_adp=500|eta_m=0.00745159435559|E_to_E_dose=1|E_to_I_dose=0.2,calibrated_transition,none,joint_04_control,76.1588105013359,500.0,0.007451594355587098,1.0,0.2,1.6248333571395412,1,1,0.0,joint_broad_recruitment_duty,0,,,0,0,0,,,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,False,False
calibrated_transition|joint_04_control|none|I_th_EI=76.1588105013|tau_z=5000|tau_adp=500|eta_m=0.00745159435559|E_to_E_dose=1|E_to_I_dose=0.25,calibrated_transition,none,joint_04_control,76.1588105013359,500.0,0.007451594355587098,1.0,0.25,1.4041385615977944,1,0,,,0,,,0,0,0,,,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,,
calibrated_transition|joint_04_control|none|I_th_EI=76.1588105013|tau_z=5000|tau_adp=500|eta_m=0.00745159435559|E_to_E_dose=1|E_to_I_dose=0.5,calibrated_transition,none,joint_04_control,76.1588105013359,500.0,0.007451594355587098,1.0,0.5,0.7281799629290268,1,1,0.0,contact_frequency_increased;joint_broad_recruitment_duty,0,,,0,0,0,,,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,True,False
calibrated_transition|joint_04_control|none|I_th_EI=76.1588105013|tau_z=5000|tau_adp=500|eta_m=0.00745159435559|E_to_E_dose=1|E_to_I_dose=0.75,calibrated_transition,none,joint_04_control,76.1588105013359,500.0,0.007451594355587098,1.0,0.75,0.3640796881223519,1,1,0.0,contact_frequency_increased;joint_broad_recruitment_duty,0,,,0,0,0,,,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,True,False
calibrated_transition|joint_04_control|none|I_th_EI=76.1588105013|tau_z=5000|tau_adp=500|eta_m=0.00745159435559|E_to_E_dose=1|E_to_I_dose=1,calibrated_transition,none,joint_04_control,76.1588105013359,500.0,0.007451594355587098,1.0,1.0,0.2231435513142097,1,1,0.0,contact_frequency_increased,0,,,0,0,0,,,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,True,False
calibrated_transition|joint_04_control|none|I_th_EI=76.1588105013|tau_z=5000|tau_adp=62.5|eta_m=0.0596127548447|E_to_E_dose=1|E_to_I_dose=1,calibrated_transition,none,joint_04_control,76.1588105013359,62.5,0.05961275484469678,1.0,1.0,2.94922825414052,1,1,0.0,contact_frequency_increased,0,,,0,0,0,,,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,False,True
exact_fig4_carryover|joint_04_control|none|I_th_EI=95.1985131267|tau_z=5000|tau_adp=500|eta_m=0.00745159435559|E_to_E_dose=1|E_to_I_dose=1,exact_fig4_carryover,none,joint_04_control,95.19851312666987,500.0,0.007451594355587098,1.0,1.0,0.0,15,0,,,15,0.0,both_modes_supported;kmeans_alignment_at_least_reference_q05;n_returned_before_onset_at_least_20,15,7,8,0.5285714285714286,0.2298508436008436,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,,
pathway_decomposition|joint_04_ee_only|none|I_th_EI=95.1985131267|tau_z=5000|tau_adp=500|eta_m=0.00745159435559|E_to_E_dose=1|E_to_I_dose=0,pathway_decomposition,none,joint_04_ee_only,95.19851312666987,500.0,0.007451594355587098,1.0,0.0,6.907755278982137,15,0,,,15,0.6666666666666666,both_modes_supported;kmeans_alignment_at_least_reference_q05;ood_at_most_reference_q95,15,1,1,-0.23881118881118882,-0.25485854423354426,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,,
pathway_decomposition|joint_04_etoi_only|none|I_th_EI=95.1985131267|tau_z=5000|tau_adp=500|eta_m=0.00745159435559|E_to_E_dose=0|E_to_I_dose=1,pathway_decomposition,none,joint_04_etoi_only,95.19851312666987,500.0,0.007451594355587098,0.0,1.0,6.907755278982137,15,0,,,15,0.0,both_modes_supported;kmeans_alignment_at_least_reference_q05;n_returned_before_onset_at_least_20;ood_at_most_reference_q95,15,3,4,0.06263736263736264,-0.08437839937839939,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,,
pathway_decomposition|node_baseline|none|I_th_EI=95.1985131267|tau_z=5000|tau_adp=500|eta_m=0.00745159435559|E_to_E_dose=0|E_to_I_dose=0,pathway_decomposition,none,node_baseline,95.19851312666987,500.0,0.007451594355587098,0.0,0.0,9.76904120109088,15,0,,,15,0.7333333333333333,both_modes_supported;kmeans_alignment_at_least_reference_q05;ood_at_most_reference_q95,15,1,2,0.2748251748251749,0.03851273726273728,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,,
spatial_reregistration_control|joint_04_control|mx|I_th_EI=95.1985131267|tau_z=5000|tau_adp=500|eta_m=0.00745159435559|E_to_E_dose=1|E_to_I_dose=1,spatial_reregistration_control,mx,joint_04_control,95.19851312666987,500.0,0.007451594355587098,1.0,1.0,0.0,3,0,,,3,0.0,both_modes_supported;kmeans_alignment_at_least_reference_q05;n_returned_before_onset_at_least_20,3,0,1,-0.2125,-0.39464285714285713,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,,
spatial_reregistration_control|joint_04_control|r180|I_th_EI=95.1985131267|tau_z=5000|tau_adp=500|eta_m=0.00745159435559|E_to_E_dose=1|E_to_I_dose=1,spatial_reregistration_control,r180,joint_04_control,95.19851312666987,500.0,0.007451594355587098,1.0,1.0,0.0,12,0,,,12,0.0,both_modes_supported;kmeans_alignment_at_least_reference_q05;n_returned_before_onset_at_least_20,12,3,3,0.22857142857142854,0.10502180111555111,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,,
spatial_reregistration_control|joint_04_control|r90|I_th_EI=95.1985131267|tau_z=5000|tau_adp=500|eta_m=0.00745159435559|E_to_E_dose=1|E_to_I_dose=1,spatial_reregistration_control,r90,joint_04_control,95.19851312666987,500.0,0.007451594355587098,1.0,1.0,0.0,3,0,,,3,0.3333333333333333,both_modes_supported;n_returned_before_onset_at_least_20,3,1,1,-0.15384615384615385,-0.2344322344322344,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,NOT_EVALUABLE_FROM_EXISTING_ARTIFACTS,,
