candidate,comparison,topology,noise,description,L_search,TA,TB,primary,rotation_time_fraction,rotation_tracks_per_minute,max_fixed_ring_turns,coreAE_rate_hz,coreBE_rate_hz,surroundE_rate_hz
endpoint__out_parallel15,endpoint__out_reference,2511,847102,端点原位｜左核输出纵向范围 ×1.5,0.26808770754495104,-3,2,-1,-0.00306896551724138,0.0,-0.01283656404159439,1.0466867639919144,-0.4757988342894004,-0.17251164806982544
up3__ellipse4,up3__circle,2612,847201,左核上移3 mm｜沿端点轴拉长 4:1,2.680729836872647,-13,15,2,0.002896551724137931,2.0689655172413772,-0.13787367708343334,2.410143204845193,-1.291538353485258,-0.3098505297887968
up3__ellipse4__core_ou_correlation_0.5,up3__ellipse4,2511,847102,左核上移3 mm｜沿端点轴拉长 4:1｜两核 OU 输入相关系数 0.5,-0.335552973121235,-12,2,-10,0.006793103448275863,9.310344827586205,0.04935322583086732,-1.0176875593542238,-0.7233856290460068,-0.6279893398892682
up3__radius25,up3__circle,2611,847201,左核上移3 mm｜左核半径 2.5 mm,-2.47366979409803,7,-25,-18,0.003655172413793102,3.1034482758620676,0.04269441611762259,-2.395821919000726,2.593232164660736,0.7633411440820588
endpoint__ellipse9,endpoint__circle,2511,847101,端点原位｜沿端点轴拉长 9:1,1.6489412018373688,-26,-4,-30,-0.007758620689655171,-5.172413793103447,-0.09476550999792055,2.946742088089511,-2.627986269495703,-1.5869436254997398
endpoint__out_angle_p15,endpoint__out_reference,2511,847101,端点原位｜左核输出方向 +15°,1.2892360929999,-1,10,9,-0.002068965517241379,-3.1034482758620694,0.0686024777473605,-0.6875091736386345,0.5209989172253309,0.29711285912721763
up3__radius25,up3__circle,2511,847101,左核上移3 mm｜左核半径 2.5 mm,-1.158770140934692,17,-8,9,-0.0009655172413793097,0.0,-0.0799741579210177,-1.559744875053834,1.861427880295806,0.6153026870790583
up3__circle__IE_same_core_scale_1.25,up3__circle,2511,847101,左核上移3 mm｜圆形对照｜同核 I→E 权重 × 1.25,0.13306399744118824,-6,-24,-30,-0.010241379310344828,-11.379310344827584,-0.08730770637430785,-2.368708452041785,-2.0299030110350857,-1.4138002645436005
up3__out_reference,up3__circle,2612,847201,左核上移3 mm｜离核重采样对照,-0.7755792371400698,-4,-1,-5,0.0023793103448275857,2.0689655172413772,0.007848922803174618,-1.1033905020659986,0.4800155596615756,-0.13189964519839137
up3__ellipse4_orthogonal,up3__circle,2511,847101,左核上移3 mm｜转90°拉长 4:1,-1.554073424858477,17,-16,1,-0.002068965517241379,-3.1034482758620676,-0.0838411513792886,2.5912393162393172,0.6638330223235887,0.3114046503921415
up3__radius25,up3__circle,2611,847202,左核上移3 mm｜左核半径 2.5 mm,-1.2201782431262895,1,1,2,-0.0001724137931034507,0.0,0.05483928638225655,-3.113438786286469,3.136185243328101,0.8820524337074183
up3__radius25_dose_matched,up3__circle,2612,847201,左核上移3 mm｜半径 2.5 mm＋降阈值总量匹配,6.860286476498905,-30,22,-8,-0.016517241379310346,-15.517241379310345,-0.1955838322525879,1.6247263545779767,-2.5341069942839862,-1.1663249675632592
up3__ellipse4__core_ou_correlation_1.0,up3__ellipse4,2511,847102,左核上移3 mm｜沿端点轴拉长 4:1｜两核 OU 输入相关系数 1.0,3.4571100422212275,-19,3,-16,-0.0026896551724137933,-3.1034482758620694,0.01929184553482699,-0.6332383665716979,-1.7455249153362362,-1.2417181787802
up3__out_perp20,up3__out_reference,2511,847101,左核上移3 mm｜左核输出横向范围 ×2,4.54958645617822,-15,-13,-28,-0.005275862068965517,-9.310344827586206,-0.04135132606676628,1.3850664767331438,-1.2517335913562322,-0.6391453999024908
up3__out_perp20,up3__out_reference,2511,847102,左核上移3 mm｜左核输出横向范围 ×2,4.9375762714715155,-17,-4,-21,-0.0032068965517241376,-3.1034482758620676,0.017445106259238896,1.7515194681861335,-1.174050268389892,-0.09239042515616092
up3__out_perp20,up3__out_reference,2611,847201,左核上移3 mm｜左核输出横向范围 ×2,-1.5615105940452807,19,-13,6,-0.007655172413793102,-8.275862068965518,-0.04271584351839408,-0.3347484009735666,-0.4069422640851208,0.2801985556983748
endpoint__out_perp15,endpoint__out_reference,2511,847101,端点原位｜左核输出横向范围 ×1.5,4.882172729130788,-51,10,-41,-0.008689655172413793,-10.344827586206897,-0.012380034243997917,1.8920163939978991,-3.29096689474048,-1.6514195835529568
endpoint__out_perp20,endpoint__out_reference,2511,847102,端点原位｜左核输出横向范围 ×2,4.504634948816872,-43,15,-28,-0.00910344827586207,-9.310344827586206,-0.016038834068435315,1.9548374713500198,-3.4965788928053083,-1.203668536018295
up3__out_reference,up3__circle,2611,847202,左核上移3 mm｜离核重采样对照,0.7521567831274858,-8,0,-8,-0.008862068965517242,-10.344827586206897,0.09022180710200878,0.31989585102167695,-0.12384440955869547,-0.023240029214880664
up3__circle__EI_same_core_scale_1.25,up3__circle,2511,847102,左核上移3 mm｜圆形对照｜同核 E→I 权重 × 1.25,,-22,-105,-127,-0.012793103448275863,-14.482758620689655,-1.022211422053914,-8.236680911680912,-5.490842490842492,-8.802435301289188
up3__ellipse4,up3__circle,2612,847202,左核上移3 mm｜沿端点轴拉长 4:1,2.3653019063483818,-14,10,-4,0.001586206896551725,-1.0344827586206904,-0.006279139844715842,2.4299088696439703,-1.008676672393487,-0.5898171208475294
up3__circle__core_ou_correlation_1.0,up3__circle,2511,847102,左核上移3 mm｜圆形对照｜两核 OU 输入相关系数 1.0,2.7074165768940404,-18,-2,-20,0.008758620689655173,10.344827586206897,-0.1899833671102341,-1.364838556505224,-2.125509710415371,-1.4997657395325863
endpoint__ellipse4,endpoint__circle,2611,847201,端点原位｜沿端点轴拉长 4:1,3.3616581932183207,3,36,39,0.005310344827586208,3.1034482758620694,-0.0849935027957911,4.291672145518299,-5.133328972614686,-2.693693815128958
endpoint__radius25_dose_matched,endpoint__circle,2511,847101,端点原位｜半径 2.5 mm＋降阈值总量匹配,5.045579895043804,-36,17,-19,-0.01082758620689655,-11.379310344827585,-0.1538135709856997,2.177285903669299,-3.184394222130071,-1.5047967118840946
