subject,dataset,comparison,component,gain_nats,gain_bits
epilepsiae_1084,epilepsiae,fir_minus_selected_linear,event_terminal_stop_nll,-0.46708983182907093,-0.6738681840294606
epilepsiae_1084,epilepsiae,fir_minus_selected_linear,event_total_nll,-0.07326424121856623,-0.10569795748051829
epilepsiae_1084,epilepsiae,retrained_minus_frozen_unordered,event_contact_choice_nll,-0.013266205787658691,-0.019139089301267658
epilepsiae_1084,epilepsiae,retrained_minus_frozen_unordered,event_contact_contribution_nll,-0.011501431465148926,-0.01659305813789464
epilepsiae_1084,epilepsiae,retrained_minus_frozen_unordered,event_continue_nll,0.022346936166286496,0.032239813986163754
epilepsiae_1084,epilepsiae,retrained_minus_frozen_unordered,event_stop_contribution_nll,-0.010816812515258706,-0.01560536177398941
epilepsiae_1084,epilepsiae,retrained_minus_frozen_unordered,event_terminal_stop_nll,-0.2434881329536438,-0.3512791219275345
epilepsiae_1084,epilepsiae,retrained_minus_frozen_unordered,event_total_nll,-0.018297910690307617,-0.02639830501153595
epilepsiae_1096,epilepsiae,fir_minus_retrained_unordered,event_contact_choice_nll,-0.031693100929260476,-0.04572347954103749
epilepsiae_1096,epilepsiae,fir_minus_retrained_unordered,event_contact_contribution_nll,-0.026247024536132812,-0.03786645213636976
epilepsiae_1096,epilepsiae,fir_minus_retrained_unordered,event_continue_nll,0.0110381096601486,0.015924626067484945
epilepsiae_1096,epilepsiae,fir_minus_retrained_unordered,event_stop_contribution_nll,0.009093254804611206,0.013118793612152327
epilepsiae_1096,epilepsiae,fir_minus_retrained_unordered,event_terminal_stop_nll,-0.17577540874481223,-0.25359031050637115
epilepsiae_1096,epilepsiae,fir_minus_retrained_unordered,event_total_nll,-0.017153978347778542,-0.024747959493856758
epilepsiae_1096,epilepsiae,fir_minus_selected_linear,event_contact_choice_nll,-0.015975117683410867,-0.023047223059474445
epilepsiae_1096,epilepsiae,fir_minus_selected_linear,event_contact_contribution_nll,-0.012929201126098855,-0.01865289434727882
epilepsiae_1096,epilepsiae,fir_minus_selected_linear,event_continue_nll,-0.021777324378490504,-0.031418037884678576
epilepsiae_1096,epilepsiae,fir_minus_selected_linear,event_stop_contribution_nll,-0.0027253627777100164,-0.003931867364025611
epilepsiae_1096,epilepsiae,fir_minus_selected_linear,event_terminal_stop_nll,0.08887273073196411,0.1282162478972648
epilepsiae_1096,epilepsiae,fir_minus_selected_linear,event_total_nll,-0.013763427734374778,-0.019856428938016115
epilepsiae_1096,epilepsiae,retrained_minus_frozen_unordered,event_contact_choice_nll,-0.004922032356261985,-0.007100991671474185
epilepsiae_1096,epilepsiae,retrained_minus_frozen_unordered,event_contact_contribution_nll,-0.003968238830566406,-0.005724958481921174
epilepsiae_1096,epilepsiae,retrained_minus_frozen_unordered,event_continue_nll,0.04314273595809939,0.06224181121713196
epilepsiae_1096,epilepsiae,retrained_minus_frozen_unordered,event_stop_contribution_nll,-0.013837903738021795,-0.019963875099142894
epilepsiae_1096,epilepsiae,retrained_minus_frozen_unordered,event_terminal_stop_nll,-0.2605116367340088,-0.3758388464100216
epilepsiae_1096,epilepsiae,retrained_minus_frozen_unordered,event_total_nll,-0.015319585800170898,-0.02210149046237954
epilepsiae_1125,epilepsiae,fir_minus_retrained_unordered,event_contact_choice_nll,0.02774953842163086,0.040034121467844595
epilepsiae_1125,epilepsiae,fir_minus_retrained_unordered,event_contact_contribution_nll,0.02377307415008545,0.03429729618301389
epilepsiae_1125,epilepsiae,fir_minus_retrained_unordered,event_continue_nll,0.08927281200885781,0.12879344317139185
epilepsiae_1125,epilepsiae,fir_minus_retrained_unordered,event_stop_contribution_nll,-0.010795533657073919,-0.015574662870810439
