subject,dataset,condition,seed,heldout_event_nll,n_eval_events,top1_next_set_accuracy,stop_brier,stop_accuracy,terminal_stop_probability,nonterminal_stop_probability
epilepsiae_1073,epilepsiae,history_1_gru,20260725,1.6530461963144223,27655,0.1695692402590727,0.2625913310770213,0.4427456473884331,0.6404059854669251,0.5307323575248919
epilepsiae_1073,epilepsiae,history_2_gru,20260725,1.6343125544799602,27655,0.1605428189575408,0.2116526434512615,0.6641184710826495,0.6231891907731866,0.4516249697677197
epilepsiae_1073,epilepsiae,history_3_gru,20260725,1.5990889959192216,27655,0.1667934614989205,0.1448673229758497,0.8854912947768662,0.6156883981865209,0.3451287196140833
epilepsiae_1077,epilepsiae,history_1_gru,20260725,1.3351933550160928,6476,0.4066968541468065,0.2835909086528562,0.4092000505497283,0.6611329243927515,0.5548705432880469
epilepsiae_1077,epilepsiae,history_2_gru,20260725,1.2974465092790208,6476,0.3831823959326342,0.2458994485838076,0.4797801086819158,0.6547201466010407,0.5000166284368216
epilepsiae_1077,epilepsiae,history_3_gru,20260725,1.25252139863775,6476,0.4002224340641881,0.177177091891355,0.7314861620118792,0.6473522025712318,0.3985982990885779
epilepsiae_1084,epilepsiae,history_1_gru,20260725,1.9415394111734925,1464,0.2064056939501779,0.322543176842631,0.2468594553578956,0.6290424498754872,0.5818624279925574
epilepsiae_1084,epilepsiae,history_2_gru,20260725,1.938065027930046,1464,0.2133307684909108,0.2992425352576998,0.3299890397099738,0.6327901988931888,0.54961996612397
epilepsiae_1084,epilepsiae,history_3_gru,20260725,1.9356912057745,1464,0.2172742137154948,0.2551436019200053,0.4807351825309839,0.6293986303405923,0.4902987819907257
epilepsiae_1096,epilepsiae,history_1_gru,20260725,1.4810651372738572,28068,0.3767047066268083,0.2981114758760267,0.3390776479115702,0.6429766398617102,0.5633645408226756
epilepsiae_1096,epilepsiae,history_2_gru,20260725,1.4649470158986289,28068,0.384523627688436,0.2564556876751799,0.5086164718673553,0.6366155432528141,0.5050981608207534
epilepsiae_1096,epilepsiae,history_3_gru,20260725,1.4501163755618254,28068,0.3825816258991759,0.2115381346382587,0.6073691522454774,0.6471631322790246,0.4408952066217936
