arm,dt_ms,outcome,entry_time_ms,latch_set_time_ms,latch_reset_time_ms,failure_time_ms,first_support_failure_ms,first_bound_failure_ms,first_nonfinite_ms,active_at_end,finite,pulse_free_core_returns,pulse_free_annulus_returns,pulse_free_bath_returns,pulse_free_core_return_times_ms,pulse_free_annulus_return_times_ms,all_core_returns,all_annulus_returns,all_bath_returns,min_z_core,min_z_annulus,max_abs_core_annulus_z_difference,max_m_core,max_m_annulus,max_abs_core_annulus_m_difference,max_p_core,max_p_annulus,peak_rE_core_hz,peak_rE_annulus_hz,peak_rE_bath_hz,tail_max_rE_core_hz,tail_max_rE_annulus_hz,tail_max_rE_bath_hz,bath_z_max_abs_error,support_violation_count,state_bound_violation_count
slow_off_returning_events,0.125,interictal_no_entry,,,,,,,,True,True,0,0,0,[],[],6,6,0,0.8999999761581421,0.8999999761581421,0.0,0.0,0.0,0.0,0.08333011716604233,0.060292527079582214,73.6699104309082,62.93676048517227,3.620602423325181,0.8108934271149337,0.8108934271149337,0.8108934271149337,2.384185793236071e-08,0,0
z_only_entry_without_exit,0.125,persistent_or_unresolved_after_entry,11000.0,12612.625,,,,,,True,True,14,14,0,"[11988.47820048439, 12547.338601934844, 13026.20562042341, 13459.016334506987, 13858.17365309871, 14232.265126729752, 14587.249737880049, 14926.626278346841, 15252.775327785948, 15567.49114485354, 15872.16100914351, 16167.899925297432, 16455.654636053718, 16736.266807547618]","[11995.646034593685, 12553.95015342534, 13032.608837986316, 13465.321833880973, 13864.436749421779, 14238.518837965219, 14593.516137819312, 14932.921140953764, 15259.111202832588, 15573.8782859191, 15878.608575821623, 16174.414796318984, 16462.24096388451, 16742.925289515042]",20,20,0,0.7220243811607361,0.7220243811607361,0.0,0.0,0.0,0.0,0.3379342555999756,0.2607135474681854,158.71654450893402,102.62802988290787,17.48812012374401,157.67985582351685,99.62397813796997,2.7468735352158546,2.384185793236071e-08,0,0
no_entry_z_too_slow,0.125,interictal_no_entry,,,,,,,,True,True,0,0,0,[],[],6,6,0,0.8561170697212219,0.8561170697212219,0.0,0.0,0.0,0.0,0.11574262380599976,0.08583594858646393,132.3653608560562,95.68294137716293,16.198793426156044,1.6707128379493952,1.4006671262905002,0.8329223492182791,2.384185793236071e-08,0,0
finite_exit_before_four_returns,0.125,finite_exit_before_four_returns,11000.0,12612.625,,,,,,True,True,3,3,0,"[11988.47820048439, 12547.338601934844, 13038.413647662455]","[11995.646034593685, 12553.95015342534, 13044.806612552542]",9,9,0,0.8232274055480957,0.8232274055480957,0.0,0.27963879704475403,0.27963879704475403,0.0,0.1838686168193817,0.14052124321460724,152.04258263111115,99.89447146654129,17.48812012374401,1.3807386858388782,1.201612176373601,0.8254731656052172,2.384185793236071e-08,0,0
four_returns_then_support_escape,0.125,support_or_physical_escape_after_4_returns,11000.0,12612.625,,13914.625,13914.625,,13914.625,False,False,4,4,0,"[11988.47820048439, 12547.338601934844, 13036.996170057533, 13889.377258262064]","[11995.646034593685, 12553.95015342534, 13043.390035295084, 13895.753139446666]",10,10,0,0.821886420249939,0.821886420249939,0.0,0.3063943386077881,0.3063943386077881,0.0,0.18400289118289948,0.14059314131736755,167.4530804157257,111.81571334600449,17.48812012374401,167.4530804157257,109.91256684064865,9.341075085103512,2.384185793236071e-08,1,0
delayed_gate_four_returns_support_escape,0.125,support_or_physical_escape_after_4_returns,11000.0,13077.875,,13613.0,13613.0,,13613.0,False,False,4,4,0,"[11988.47820048439, 12547.338601934844, 13026.20562042341, 13587.720887133839]","[11995.646034593685, 12553.95015342534, 13032.608837986316, 13593.938318877355]",10,10,0,0.8208971619606018,0.8208971619606018,0.0,0.30087050795555115,0.30087050795555115,0.0,0.18496420979499817,0.14121399819850922,166.67762398719788,110.98190397024155,17.48812012374401,166.67762398719788,108.7089404463768,9.044959209859371,2.384185793236071e-08,1,0
slow_off_returning_events,0.0625,interictal_no_entry,,,,,,,,True,True,0,0,0,[],[],6,6,0,0.8999999761581421,0.8999999761581421,0.0,0.0,0.0,0.0,0.08328863233327866,0.05990808084607124,73.67847859859467,62.470778822898865,3.5684164613485336,0.8108934271149337,0.8108934271149337,0.8108934271149337,2.384185793236071e-08,0,0
z_only_entry_without_exit,0.0625,persistent_or_unresolved_after_entry,11000.0,12619.375,,,,,,True,True,14,14,0,"[11994.721743763796, 12553.949970202128, 13032.506836934102, 13464.908799340345, 13863.797981784344, 14237.766699570262, 14592.668581908029, 14931.946400378314, 15257.982773235479, 15572.573135220957, 15877.107794784013, 16172.705402244948, 16460.315477547818, 16740.7782928841]","[12001.873456523535, 12560.543367673374, 13038.89175601385, 13471.196605207953, 13870.043840008875, 14244.003880297354, 14598.919203044905, 14938.226299738028, 15264.30433824578, 15578.946777923744, 15883.542527526368, 16179.208142369956, 16466.89015689227, 16747.42609784843]",20,20,0,0.7221460342407227,0.7221460342407227,0.0,0.0,0.0,0.0,0.3376132845878601,0.2603869140148163,158.19916129112244,102.16782987117767,17.13654212653637,157.0732295513153,99.23014044761658,2.7206873055547476,2.384185793236071e-08,0,0
no_entry_z_too_slow,0.0625,interictal_no_entry,,,,,,,,True,True,0,0,0,[],[],6,6,0,0.856145441532135,0.856145441532135,0.0,0.0,0.0,0.0,0.11553552746772766,0.08563482016324997,132.05848634243011,95.21114081144333,15.841379761695862,1.6694719670340419,1.3999264920130372,0.8328932453878224,2.384185793236071e-08,0,0
finite_exit_before_four_returns,0.0625,finite_exit_before_four_returns,11000.0,12619.375,,,,,,True,True,3,3,0,"[11994.721743763796, 12553.949970202128, 13043.782611110979]","[12001.873456523535, 12560.543367673374, 13050.157812996329]",9,9,0,0.8232893347740173,0.8232893347740173,0.0,0.2782367169857025,0.2782367169857025,0.0,0.1837143748998642,0.14031749963760376,151.55331790447235,99.39737617969513,17.13654212653637,1.38853641692549,1.2064501643180847,0.8256598375737667,2.384185793236071e-08,0,0
four_returns_then_support_escape,0.0625,support_or_physical_escape_after_4_returns,11000.0,12619.375,,13910.1875,13910.1875,,13910.1875,False,False,4,4,0,"[11994.721743763796, 12553.949970202128, 13042.477734543852, 13884.870116868164]","[12001.873456523535, 12560.543367673374, 13048.853870488143, 13891.220779185473]",10,10,0,0.821906328201294,0.821906328201294,0.0,0.30558568239212036,0.30558568239212036,0.0,0.18381771445274353,0.14039179682731628,167.09303855895996,111.44278198480606,17.13654212653637,167.09303855895996,109.36988145112991,9.452195838093758,2.384185793236071e-08,1,0
delayed_gate_four_returns_support_escape,0.0625,support_or_physical_escape_after_4_returns,11000.0,13084.25,,13617.0625,13617.0625,,13617.0625,False,False,4,4,0,"[11994.721743763796, 12553.949970202128, 13032.506836934102, 13591.586040638329]","[12001.873456523535, 12560.543367673374, 13038.89175601385, 13597.782475309832]",10,10,0,0.8209298253059387,0.8209298253059387,0.0,0.3010498881340027,0.3010498881340027,0.0,0.18471387028694153,0.14096298813819885,166.18415713310242,110.5492040514946,17.13654212653637,166.18415713310242,107.78670012950897,9.240379557013512,2.384185793236071e-08,1,0
