seed,i,j,angle_deg,aspect_ratio,status,exact_noop,passes,budget_error_max,zero_denominator,edge_ratio_p01,edge_ratio_p50,edge_ratio_p99,effective_source_median_ratio,effective_source_p05_ratio,targets_effective_ratio_below_0p5,topology_unchanged,gaba_unchanged,achieved_angle_deg,achieved_aspect_ratio,weighted_rms_distance_mm,axial_anisotropy
2511,0,0,-45.30538396505847,1.0,OK,False,False,1.7280399333685637e-11,False,0.054609313796988156,0.650892492739044,5.05815736000637,0.467366028229525,0.3445232941770217,25366,True,True,67.76208995569495,1.2233847367185384,1.4711025928627195,0.19893304740197
2511,0,1,-45.30538396505847,1.125,OK,False,False,1.864464138634503e-11,False,0.07995306274579082,0.7093295096786278,4.458782500171142,0.5356211375528774,0.41902197887042497,7985,True,True,90.37692179161502,1.1648932140487036,1.4782874016166283,0.15145515687261168
2511,0,2,-45.30538396505847,1.25,OK,False,False,1.5916157281026244e-11,False,0.10371624650944847,0.7500610738035928,4.050680527234981,0.5881120114031029,0.47535348271109557,2813,True,True,109.98570072437523,1.2291957854107545,1.4944327911605335,0.20347992575109736
2511,0,3,-45.30538396505847,1.375,OK,False,False,1.6370904631912708e-11,False,0.12155914828134247,0.7752377159354414,3.801873397410714,0.6223546671170692,0.5109458122049115,1208,True,True,118.71640394861987,1.3487935509031006,1.517188316224955,0.2905899703873416
2511,0,4,-45.30538396505847,1.5,OK,False,False,1.546140993013978e-11,False,0.13079056922561236,0.7870853852020343,3.6854390745978494,0.6390722668525761,0.5294312320896408,739,True,True,122.95733314331927,1.4869470207534259,1.5446656220859323,0.37714329712081723
2511,0,5,-45.30538396505847,1.625,OK,False,False,1.546140993013978e-11,False,0.13121114271730172,0.7882323998709906,3.674908291449872,0.6403455726721088,0.5307476840136953,723,True,True,125.42001883624897,1.6338982117602683,1.5753798088309525,0.4549849397853464
2511,0,6,-45.30538396505847,1.75,OK,False,False,1.6370904631912708e-11,False,0.12457828682180493,0.7806813719533552,3.7492122393551583,0.629740528366498,0.5179311862394658,979,True,True,127.03803012382299,1.7862797250258418,1.6081842587700448,0.5227636098140903
2511,0,7,-45.30538396505847,1.875,OK,False,False,1.5006662579253316e-11,False,0.11343171370503478,0.7664773041669253,3.8902893794116467,0.6102286938223476,0.49574123604119813,1787,True,True,128.1919566348397,1.9424701804570474,1.6422078330736725,0.5809930399640625
2511,0,8,-45.30538396505847,2.0,OK,False,False,1.6825651982799172e-11,False,0.1001008046352652,0.7472877020982718,4.08102851921365,0.5845406523919343,0.4669735143462602,3226,True,True,129.0625742310538,2.101478561597637,1.6767984326063867,0.6307382453805754
2511,0,9,-45.30538396505847,2.125,OK,False,False,1.546140993013978e-11,False,0.08631182964878421,0.7244940017640491,4.308984502300741,0.5557141845880015,0.4353417755326864,5535,True,True,129.7463156218197,2.2626015454669024,1.7114747125116674,0.6731687432083945
2511,0,10,-45.30538396505847,2.25,OK,False,False,1.7280399333685637e-11,False,0.07326852963397801,0.699191322039588,4.562754274444099,0.5249379223269461,0.40216022424415837,9930,True,True,130.2993875331772,2.425294481784961,1.745886328082989,0.7093890578838573
2511,0,11,-45.30538396505847,2.375,OK,False,False,1.5006662579253316e-11,False,0.06154007544037522,0.6723199069371937,4.834794786085326,0.4937745814574561,0.36960660081060137,17776,True,True,130.75690085777043,2.5891139803033294,1.7797821890990695,0.740378127934626
2511,0,12,-45.30538396505847,2.5,OK,False,False,1.6825651982799172e-11,False,0.05124738940023196,0.6446394977886665,5.117504506039724,0.46314381044490854,0.3360550112951824,26196,True,True,131.14203609274594,2.75368844695302,1.8129857106703382,0.7669758137965643
2511,0,13,-45.30538396505847,2.625,OK,False,False,1.5916157281026244e-11,False,0.04245653850642702,0.6166282563849643,5.40927964239359,0.4335035543532288,0.30456288377878726,30544,True,True,131.4707992746131,2.9187010084825715,1.8453758627395191,0.7898898256995401
2511,0,14,-45.30538396505847,2.75,OK,False,False,1.4097167877480388e-11,False,0.03507771485722501,0.588690338638449,5.704751550355142,0.40566622920059436,0.27435799319980186,31737,True,True,131.754656304327,3.0838785608779538,1.8768728377971564,0.809710600828293
2511,0,15,-45.30538396505847,2.875,OK,False,False,1.9099388737231493e-11,False,0.028926894146464856,0.5612770376370414,6.002576382791529,0.3794052277377598,0.246918452315132,31974,True,True,132.00207409680488,3.2489841429652038,1.9074272934515117,0.8269282052586154
2511,0,16,-45.30538396505847,3.0,OK,False,False,1.5006662579253316e-11,False,0.02382548601722631,0.5346020088047023,6.297338902873539,0.35517295044762087,0.22164011018767957,32000,True,True,132.21946528096043,3.4138112792618065,1.9370123141738005,0.8419485524493165
2511,1,0,-42.80538396505847,1.0,OK,False,False,1.6370904631912708e-11,False,0.05460931379698812,0.6508924927390443,5.058157360006368,0.4673660282295249,0.3445232941770217,25366,True,True,67.76208995569496,1.2233847367185386,1.4711025928627195,0.19893304740197007
2511,1,1,-42.80538396505847,1.125,OK,False,False,1.6370904631912708e-11,False,0.08330126536332726,0.715556152459792,4.396149566368246,0.5432522719671722,0.42779541092738915,6790,True,True,90.17841354755079,1.1499620941510074,1.4783699675633488,0.1388266614305123
2511,1,2,-42.80538396505847,1.25,OK,False,False,1.8189894035458565e-11,False,0.11281255294355558,0.7629102645327956,3.9224285714968548,0.6050305461982126,0.49540419751168585,1818,True,True,112.13629736394593,1.2054346106726055,1.494553156291414,0.18469596068833385
2511,1,3,-42.80538396505847,1.375,OK,False,False,1.6370904631912708e-11,False,0.1381193965724541,0.7945954134478119,3.6088306818100273,0.6492654750711842,0.5425421477963646,491,True,True,121.54944820796528,1.3223383327564935,1.5173889389749486,0.2723511884384686
2511,1,4,-42.80538396505847,1.5,OK,False,False,1.4551915228366852e-11,False,0.15491784331505587,0.8126497841034784,3.4307793706579472,0.6755999513979946,0.5717127346718742,253,True,True,125.8912490080416,1.4584801684686788,1.5450402355375874,0.3604429626922421
2511,1,5,-42.80538396505847,1.625,OK,False,False,1.5916157281026244e-11,False,0.16134487940832917,0.819355301584903,3.364751225463867,0.6851134706095062,0.5830990505620356,186,True,True,128.3393653240702,1.603517676828646,1.576046509138962,0.4399749686578024
2511,1,6,-42.80538396505847,1.75,OK,False,False,1.6825651982799172e-11,False,0.1581237197023025,0.8167058219422183,3.3906574852402187,0.6810007663807736,0.577819142303839,201,True,True,129.91984031511575,1.7541248420298552,1.60926677871733,0.5094376784916335
2511,1,7,-42.80538396505847,1.875,OK,False,False,1.864464138634503e-11,False,0.14776354252761068,0.8066243744769515,3.4913276228579475,0.6659774265029144,0.5600514505061258,278,True,True,131.03434575027788,1.9087499254769704,1.6438238203041056,0.5692742916920628
2511,1,8,-42.80538396505847,2.0,OK,False,False,1.546140993013978e-11,False,0.13318048757624176,0.7908694619289569,3.647463911776342,0.6432349767579422,0.5344175088334672,585,True,True,131.86880708401307,2.0664500214591865,1.6790531916398923,0.6205088904911765
2511,1,9,-42.80538396505847,2.125,OK,False,False,1.3642420526593924e-11,False,0.11686321385937862,0.7706614089952992,3.8476115180213575,0.6155484717048384,0.5028829746150186,1474,True,True,132.5206453071588,2.2265508647142016,1.7144588336581474,0.6642903319703987
