name,eta_M,tau_M_s,seed,first_entry_confirmation_s,observed_by_180s,end_s,entries,recovery_mechanisms,Z_refill_s,mode,full_1_to_5_observed,E2_status,E2_contacts_above_baseline,E2_model_patient_rho,figure
e1_t2_s9108402,0.01,4.0,9108402,,False,180.0,0,[],,NO_HIGH_ENTRY,False,NO_HIGH_ENTRY,,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e1_t2_s9108402/figures/fig5.png
e1_t3_s9108401,0.01,8.0,9108401,,False,180.0,0,[],,NO_HIGH_ENTRY,False,NO_HIGH_ENTRY,,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e1_t3_s9108401/figures/fig5.png
e1_t3_s9108402,0.01,8.0,9108402,,False,180.0,0,[],,NO_HIGH_ENTRY,False,NO_HIGH_ENTRY,,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e1_t3_s9108402/figures/fig5.png
e1_t4_s9108401,0.01,20.0,9108401,,False,180.0,0,[],,NO_HIGH_ENTRY,False,NO_HIGH_ENTRY,,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e1_t4_s9108401/figures/fig5.png
e1_t4_s9108402,0.01,20.0,9108402,,False,180.0,0,[],,NO_HIGH_ENTRY,False,NO_HIGH_ENTRY,,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e1_t4_s9108402/figures/fig5.png
e2_t0_s9108401,0.02,1.0,9108401,14.860000000000001,True,101.0,2,['EXTERNAL_Z'],74.87,Z_REFILL_RECURRENT_HIGH,True,MEASURED,4,0.682142857142857,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e2_t0_s9108401/figures/fig5.png
e2_t0_s9108402,0.02,1.0,9108402,23.11,True,106.0,2,['EXTERNAL_Z'],83.12,Z_REFILL_RECURRENT_HIGH,True,MEASURED,4,0.7321428571428571,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e2_t0_s9108402/figures/fig5.png
e2_t1_s9108401,0.02,2.0,9108401,73.68,True,316.5,1,['EXTERNAL_Z'],133.69,Z_REFILL_RETURN_WITHOUT_REENTRY,False,MEASURED,0,0.8142857142857142,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e2_t1_s9108401/figures/fig5.png
e2_t1_s9108402,0.02,2.0,9108402,136.8,True,305.5,2,['EXTERNAL_Z'],196.81,Z_REFILL_RECURRENT_HIGH,True,MEASURED,1,0.825,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e2_t1_s9108402/figures/fig5.png
e2_t2_s9108401,0.02,4.0,9108401,,False,180.0,0,[],,NO_HIGH_ENTRY,False,NO_HIGH_ENTRY,,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e2_t2_s9108401/figures/fig5.png
e2_t2_s9108402,0.02,4.0,9108402,,False,180.0,0,[],,NO_HIGH_ENTRY,False,NO_HIGH_ENTRY,,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e2_t2_s9108402/figures/fig5.png
e2_t3_s9108401,0.02,8.0,9108401,,False,180.0,0,[],,NO_HIGH_ENTRY,False,NO_HIGH_ENTRY,,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e2_t3_s9108401/figures/fig5.png
e2_t3_s9108402,0.02,8.0,9108402,,False,180.0,0,[],,NO_HIGH_ENTRY,False,NO_HIGH_ENTRY,,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e2_t3_s9108402/figures/fig5.png
e2_t4_s9108401,0.02,20.0,9108401,,False,180.0,0,[],,NO_HIGH_ENTRY,False,NO_HIGH_ENTRY,,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e2_t4_s9108401/figures/fig5.png
e2_t4_s9108402,0.02,20.0,9108402,,False,180.0,0,[],,NO_HIGH_ENTRY,False,NO_HIGH_ENTRY,,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e2_t4_s9108402/figures/fig5.png
e3_t0_s9108401,0.04,1.0,9108401,,False,180.0,0,[],,NO_HIGH_ENTRY,False,NO_HIGH_ENTRY,,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e3_t0_s9108401/figures/fig5.png
e3_t0_s9108402,0.04,1.0,9108402,,False,180.0,0,[],,NO_HIGH_ENTRY,False,NO_HIGH_ENTRY,,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e3_t0_s9108402/figures/fig5.png
e3_t1_s9108401,0.04,2.0,9108401,,False,180.0,0,[],,NO_HIGH_ENTRY,False,NO_HIGH_ENTRY,,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e3_t1_s9108401/figures/fig5.png
e3_t1_s9108402,0.04,2.0,9108402,,False,180.0,0,[],,NO_HIGH_ENTRY,False,NO_HIGH_ENTRY,,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e3_t1_s9108402/figures/fig5.png
e3_t2_s9108401,0.04,4.0,9108401,,False,180.0,0,[],,NO_HIGH_ENTRY,False,NO_HIGH_ENTRY,,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e3_t2_s9108401/figures/fig5.png
e3_t2_s9108402,0.04,4.0,9108402,,False,180.0,0,[],,NO_HIGH_ENTRY,False,NO_HIGH_ENTRY,,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e3_t2_s9108402/figures/fig5.png
e3_t3_s9108401,0.04,8.0,9108401,,False,180.0,0,[],,NO_HIGH_ENTRY,False,NO_HIGH_ENTRY,,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e3_t3_s9108401/figures/fig5.png
e3_t3_s9108402,0.04,8.0,9108402,,False,180.0,0,[],,NO_HIGH_ENTRY,False,NO_HIGH_ENTRY,,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e3_t3_s9108402/figures/fig5.png
e3_t4_s9108401,0.04,20.0,9108401,,False,180.0,0,[],,NO_HIGH_ENTRY,False,NO_HIGH_ENTRY,,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e3_t4_s9108401/figures/fig5.png
e3_t4_s9108402,0.04,20.0,9108402,,False,180.0,0,[],,NO_HIGH_ENTRY,False,NO_HIGH_ENTRY,,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_parameter_modes_fig5_20260913/candidates/e3_t4_s9108402/figures/fig5.png
