phase,candidate_id,topology_seed,dynamics_seed,inventory_status,artifact_integrity,safe,event_yield_estimable,conditional_estimable,feasibility,n_returned_families,failure_reasons
confirmation,dci_p089,2628,2628,PRESENT_VALIDATED,True,True,True,True,True,40,
confirmation,dci_p089,2629,2629,PRESENT_VALIDATED,True,True,True,True,True,32,
confirmation,dci_p089,2630,2630,PRESENT_VALIDATED,True,True,True,True,True,32,
confirmation,dci_p089,2631,2631,PRESENT_VALIDATED,True,True,True,True,True,35,
confirmation,dci_p089,2632,2632,PRESENT_VALIDATED,True,True,True,True,True,28,
confirmation,dci_p066,2621,2621,PRESENT_VALIDATED,True,True,True,True,True,45,
confirmation,dci_p066,2622,2622,PRESENT_VALIDATED,True,True,True,False,False,40,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
confirmation,dci_p066,2623,2623,PRESENT_VALIDATED,True,True,True,False,False,51,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
confirmation,dci_p066,2624,2624,PRESENT_VALIDATED,True,True,True,False,False,40,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
confirmation,dci_p066,2625,2625,PRESENT_VALIDATED,True,True,True,False,False,57,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
confirmation,dci_p066,2626,2626,PRESENT_VALIDATED,True,True,True,False,False,53,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
confirmation,dci_p066,2627,2627,PRESENT_VALIDATED,True,True,True,False,False,39,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
confirmation,dci_p066,2628,2628,PRESENT_VALIDATED,True,True,True,False,False,38,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
confirmation,dci_p066,2629,2629,PRESENT_VALIDATED,True,True,True,False,False,45,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
confirmation,dci_p066,2630,2630,PRESENT_VALIDATED,True,True,True,False,False,35,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
confirmation,dci_p066,2631,2631,PRESENT_VALIDATED,True,True,True,False,False,45,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
confirmation,dci_p066,2632,2632,PRESENT_VALIDATED,True,True,True,False,False,35,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
confirmation,dci_p075,2621,2621,PRESENT_VALIDATED,True,True,True,True,True,39,
confirmation,dci_p075,2622,2622,PRESENT_VALIDATED,True,True,True,False,False,35,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
confirmation,dci_p075,2623,2623,PRESENT_VALIDATED,True,True,True,False,False,44,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
confirmation,dci_p075,2624,2624,PRESENT_VALIDATED,True,True,True,False,False,25,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
confirmation,dci_p075,2625,2625,PRESENT_VALIDATED,True,True,True,True,True,39,
confirmation,dci_p075,2626,2626,PRESENT_VALIDATED,True,True,True,False,False,38,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
confirmation,dci_p075,2627,2627,PRESENT_VALIDATED,True,True,True,False,False,33,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
confirmation,dci_p075,2628,2628,PRESENT_VALIDATED,True,True,True,False,False,29,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
confirmation,dci_p075,2629,2629,PRESENT_VALIDATED,True,True,True,False,False,30,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
confirmation,dci_p075,2630,2630,PRESENT_VALIDATED,True,True,True,True,True,35,
confirmation,dci_p075,2631,2631,PRESENT_VALIDATED,True,True,True,False,False,33,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
confirmation,dci_p075,2632,2632,PRESENT_VALIDATED,True,True,True,True,True,47,
confirmation,dci_p030,2621,2621,PRESENT_VALIDATED,True,True,True,True,True,50,
confirmation,dci_p030,2622,2622,PRESENT_VALIDATED,True,True,True,True,True,54,
confirmation,dci_p030,2623,2623,PRESENT_VALIDATED,True,True,True,True,True,44,
confirmation,dci_p030,2624,2624,PRESENT_VALIDATED,True,True,True,True,True,47,
confirmation,dci_p030,2625,2625,PRESENT_VALIDATED,True,True,True,True,True,31,
confirmation,dci_p030,2626,2626,PRESENT_VALIDATED,True,True,True,True,True,42,
confirmation,dci_p030,2627,2627,PRESENT_VALIDATED,True,True,True,True,True,49,
confirmation,dci_p030,2628,2628,PRESENT_VALIDATED,True,True,True,True,True,38,
confirmation,dci_p030,2629,2629,PRESENT_VALIDATED,True,True,True,True,True,49,
confirmation,dci_p030,2630,2630,PRESENT_VALIDATED,True,True,True,True,True,37,
confirmation,dci_p030,2631,2631,PRESENT_VALIDATED,True,True,True,True,True,37,
confirmation,dci_p030,2632,2632,PRESENT_VALIDATED,True,True,True,True,True,42,
