candidate,stage,topology,noise,comparison,description,layer,mode,n,SCL_any,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,rank_correlation,rank_shared_contacts,lag_joint_n,SCL_minus_ICL_lag_median_ms,SCL_minus_ICL_lag_q05_ms,SCL_minus_ICL_lag_q95_ms,mean_contacts_per_event,pair_order_probability_mae,pair_order_supported_pairs,local_width_ms_n,local_width_ms_mean,local_width_ms_median,local_width_ms_variance,local_width_ms_q05,local_width_ms_q95,recruitment_span_ms_n,recruitment_span_ms_mean,recruitment_span_ms_median,recruitment_span_ms_variance,recruitment_span_ms_q05,recruitment_span_ms_q95,B_minus_A_t10_ms_n,B_minus_A_t10_ms_mean,B_minus_A_t10_ms_median,B_minus_A_t10_ms_variance,B_minus_A_t10_ms_q05,B_minus_A_t10_ms_q95,B_minus_A_t50_ms_n,B_minus_A_t50_ms_mean,B_minus_A_t50_ms_median,B_minus_A_t50_ms_variance,B_minus_A_t50_ms_q05,B_minus_A_t50_ms_q95,first_10pct_mass_core_share_n,first_10pct_mass_core_share_mean,first_10pct_mass_core_share_median,first_10pct_mass_core_share_variance,first_10pct_mass_core_share_q05,first_10pct_mass_core_share_q95,peak_active_components_n,peak_active_components_mean,peak_active_components_median,peak_active_components_variance,peak_active_components_q05,peak_active_components_q95,peak_largest_component_fraction_n,peak_largest_component_fraction_mean,peak_largest_component_fraction_median,peak_largest_component_fraction_variance,peak_largest_component_fraction_q05,peak_largest_component_fraction_q95,union_active_area_mm2_n,union_active_area_mm2_mean,union_active_area_mm2_median,union_active_area_mm2_variance,union_active_area_mm2_q05,union_active_area_mm2_q95,peak_active_area_mm2_n,peak_active_area_mm2_mean,peak_active_area_mm2_median,peak_active_area_mm2_variance,peak_active_area_mm2_q05,peak_active_area_mm2_q95,native_spatial_rms_mm_n,native_spatial_rms_mm_mean,native_spatial_rms_mm_median,native_spatial_rms_mm_variance,native_spatial_rms_mm_q05,native_spatial_rms_mm_q95,no_SCL
curve_circle_out1_EI0.75,response,2511,847402,curve_circle_out1_EI1,圆核｜向外EE×1，核内EI×0.75,primary,ALL,166,1.0,0.5662650602409638,1.0,1.0,0.1946851442187567,-0.682142857142857,15,166,1.8728513156765985,-21.998879143735397,35.76966943254274,14.132530120481928,0.3556172318789063,105,166,16.53614457831325,16.0,0.7471705001825483,16.0,18.0,166,56.036144578313255,52.0,261.8895947426068,28.0,76.0,166,-2.6460667127602835,-3.2257610252745508,2547.256387447711,-60.18983733856726,61.159227449701575,166,-2.749041988087912,-3.207805181547883,2514.093637118097,-59.803984078837175,60.595726489266326,166,0.3079325220379406,0.2913036047745732,0.0020378561783057,0.270887244040161,0.4176288776933413,166,2.048192771084337,2.0,0.2764512595837897,1.0,3.0,166,0.9027736614428497,0.9406272756721936,0.0185999674087625,0.5351192805877281,1.0,166,363.710843373494,361.0,98.497699890471,348.25,376.0,166,110.1987951807229,101.5,302.8390288426433,91.25,140.0,166,7.644918529202873,7.628180866252267,0.0159131175761375,7.462335218880984,7.803859742653269,0.0
curve_circle_out1_EI0.75,response,2712,847402,curve_circle_out1_EI1,圆核｜向外EE×1，核内EI×0.75,primary,ALL,171,1.0,0.4122807017543859,0.9218500797448166,1.0,0.2378838514259008,-0.4928571428571427,15,171,2.605397281837213,-22.514552162374457,35.38431594014173,12.964912280701755,0.4360632797512883,105,171,16.760233918128655,16.0,0.9362917096663228,16.0,18.0,171,60.760233918128655,66.0,339.0186446508428,26.0,75.0,171,-1.953304064066608,-5.074662769780844,2658.077397059722,-59.12787774072058,59.79996918917368,171,-1.7159407280694334,-4.9370162877530674,2598.7022675137105,-58.069246267117705,59.16931528661735,171,0.3432760463937118,0.3348322626695217,0.0007827594446194,0.320710078430368,0.4099179275731986,171,1.2280701754385963,1.0,0.2947368421052631,1.0,3.0,171,0.9648933620211158,1.0,0.0143386518057323,0.5216465448736354,1.0,171,347.9239766081872,353.0,448.3883040935672,323.5,396.0,171,99.05847953216374,88.0,368.5965600275197,83.0,140.5,171,7.686018217465425,7.636630218743915,0.0333123348391374,7.430840586505295,8.091019246587095,0.0
curve_circle_out1_EI1,response,2511,847402,curve_circle_out1_EI1,圆核｜向外EE×1，核内EI×1,primary,ALL,107,0.9906542056074766,0.9813084112149532,0.961767204757859,0.9906542056074766,0.1554646030597982,-0.9392857142857142,15,106,39.229583830987394,32.90302524790627,108.764113060643,13.925233644859814,0.5368256898067952,105,107,16.14018691588785,16.0,0.2537471345441722,16.0,18.0,107,110.59813084112147,102.0,1000.1671662846056,80.0,172.39999999999986,107,-21.61218338923576,-45.19696969697179,4199.792107085148,-103.92361817550118,76.33954885543827,107,-22.96920847970137,-64.64415259537054,4012.9042001843513,-92.9419032231186,70.95340122675843,107,0.0916189338031292,0.0855128205128205,0.0013802582012632,0.0444276113558258,0.1471906306796059,107,1.4485981308411215,1.0,0.3817668841474166,1.0,2.0,107,0.9239371049233952,1.0,0.017387881693678,0.6148005997001499,1.0,107,318.3457943925234,287.0,2484.2849585611,259.5,394.0,107,78.33644859813084,78.0,83.77252689120084,63.2,92.09999999999997,107,7.474639004388121,7.194638394483562,0.4114919718652101,6.858905360744564,8.406534196125337,0.009345794392523366
bridge_circle_degree150,response,2712,847401,curve_circle_out1_EI1,圆核｜向外EE×1，核内EI×1，向外边数×1.5,primary,ALL,167,1.0,0.934131736526946,0.9760479041916168,1.0,0.1694920326267041,0.3535714285714285,15,167,-16.381373480546245,-22.789232658294168,35.9465127269541,14.604790419161676,0.1831241169204791,105,167,16.676646706586826,16.0,0.8948127840704135,16.0,18.0,167,55.24550898203593,50.0,224.75261525142488,28.6,74.0,167,9.645399960690934,41.20581831831805,2854.056466096972,-58.4208652824836,60.37552288845763,167,8.956409270474431,41.21856359751109,2675.7634493380738,-56.96295855910866,58.27905270505216,167,0.2099443566589138,0.2259045491218271,0.001923453507112,0.1286785495091529,0.258945801799323,167,1.083832335329341,1.0,0.1013635379842724,1.0,2.0,167,0.9930870569441184,1.0,0.00163694480112,0.9573825409297266,1.0,167,363.1317365269461,371.0,194.4403722675132,341.0,375.0,167,103.82035928143712,98.0,402.6663299906212,86.0,147.79999999999995,167,7.7304598139217084,7.78786050514683,0.0170101420701025,7.514614088851944,7.891813653741226,0.0
bridge_circle_out125,response,2712,847401,curve_circle_out1_EI1,圆核｜向外EE×1.25，核内EI×1,primary,ALL,166,1.0,0.7289156626506024,0.9260679079956188,1.0,0.2189513948561063,-0.5821428571428571,15,166,34.91842002022531,-21.92577001200857,56.654966190528285,13.33132530120482,0.387430557196148,105,166,16.716867469879517,16.0,0.8951077035414385,16.0,18.0,166,91.3734939759036,76.0,1010.7566265060238,41.5,132.0,166,4.183660617817004,12.006965811966438,3084.283033479036,-60.0431346711764,64.8570467836239,166,3.57355679151785,11.920015597033853,2918.64100178181,-58.636544888027856,62.49496255460826,166,0.1919153962865871,0.2031276103180386,0.0033104862745298,0.0742247609580255,0.2592305925975317,166,1.3493975903614457,1.0,0.3135450894487039,1.0,2.0,166,0.964979380463304,1.0,0.0072118534879949,0.8833835600487321,1.0,166,366.4156626506024,367.0,120.7170865279299,353.0,386.25,166,98.01807228915662,97.0,272.005732018985,78.0,134.0,166,7.776318736859495,7.770403706449383,0.0175615311062199,7.61421901771403,8.036260071578448,0.0
curve_ellipse4_out1_EI1,response,2511,847402,curve_ellipse4_out1_EI1,椭圆4:1｜向外EE×1，核内EI×1,primary,ALL,108,1.0,0.949074074074074,0.9890572390572392,1.0,0.1548852545008337,-0.9392857142857142,15,108,36.47113558773936,7.605102881459888,103.73265857043788,14.462962962962964,0.5465848782993454,105,108,16.12962962962963,16.0,0.2447213568708897,16.0,18.0,108,97.5925925925926,88.0,758.6362062997579,76.7,143.29999999999998,108,-41.00226266700591,-69.17913109243636,3488.84344489364,-101.97273947778233,72.93394352869254,108,-53.0790486465564,-68.937777557343,2260.4162447922736,-91.28128964734378,66.2758296705473,108,0.0824883514574356,0.0807662601265188,0.0009274880448493,0.0321605386676458,0.1332248575168061,108,1.3703703703703705,1.0,0.4222914503288335,1.0,3.0,108,0.9590227183748624,1.0,0.0071573735170553,0.7693855283039986,1.0,108,305.3240740740741,281.0,1850.4453963309104,273.35,383.0,108,79.29629629629629,79.0,62.30391138802353,65.35,94.59999999999997,108,7.205127085036241,6.949252808018775,0.2479101975444284,6.85885154377305,8.231330856994493,0.0
curve_circle_out1_EI0.8125,response,2511,847401,curve_circle_out1_EI1,圆核｜向外EE×1，核内EI×0.8125,primary,ALL,161,1.0,0.3509316770186336,1.0,1.0,0.2204977112570964,-0.15,15,161,-11.041262168888352,-20.27384507079114,35.9144991638459,13.658385093167702,0.3324676678402072,105,161,16.51552795031056,16.0,0.7638198757763975,16.0,18.0,161,55.85093167701864,48.0,263.9276397515528,28.0,76.0,161,7.820199492972325,27.95477111540822,2905.009984322727,-60.90370118845749,61.8399679340364,161,7.683359931613162,27.71178489702288,2883.3504351415054,-60.65441877520789,61.4996899224825,161,0.2713903856003727,0.2610881375172302,0.0018672269933764,0.2411986749865187,0.4052322958953541,161,1.9565217391304348,2.0,0.1918478260869565,1.0,3.0,161,0.9252722612037196,0.9413295481428908,0.0094092459942771,0.5936821798890765,1.0,161,353.83850931677017,354.0,218.66125776397516,314.0,374.0,161,101.96894409937887,98.0,124.7802795031056,89.0,123.0,161,7.5568589135094735,7.523595497038061,0.0215188236986067,7.370879937455129,7.76053185026326,0.0
curve_ellipse4_out1_EI0.75,response,2711,847401,curve_ellipse4_out1_EI1,椭圆4:1｜向外EE×1，核内EI×0.75,primary,ALL,171,1.0,1.0,0.9936204146730462,1.0,0.1810171356565414,-0.9535714285714284,15,171,34.84520930227154,-22.71533402578461,36.82170694283559,14.929824561403509,0.3520147484679363,105,171,16.98830409356725,17.0,0.9880976952184384,16.0,18.0,171,60.09356725146199,70.0,225.54413484692128,30.0,74.0,171,-16.784543117603366,-57.46486281930083,2651.514790844651,-59.62947678362252,60.57102563040826,171,-16.977670022136333,-57.0853996064252,2578.703171521908,-59.17029234430038,59.23889493588376,171,0.297086841847022,0.3066775465796273,0.0016284743694332,0.2394459103421153,0.3723543875267606,171,1.368421052631579,1.0,0.2928792569659443,1.0,2.0,171,0.9603189628969008,1.0,0.0127042070800773,0.5411957185104612,1.0,171,374.7426900584795,378.0,93.15693154454765,356.0,384.0,171,106.91812865497076,100.0,367.5697282421741,90.0,153.0,171,7.723810537290308,7.748505691882872,0.0097826531686886,7.558434921090809,7.869873442334213,0.0
bridge_circle_degree150,response,2711,847401,curve_circle_out1_EI1,圆核｜向外EE×1，核内EI×1，向外边数×1.5,primary,ALL,164,1.0,1.0,0.9955654101995564,1.0,0.1824434657093157,0.4357142857142856,15,164,-14.548021152543695,-20.552646777756127,36.05654999397293,14.951219512195122,0.1570976685494513,105,164,16.695121951219512,16.0,0.9126140954661082,16.0,18.0,164,53.18292682926829,48.0,271.5982343259015,26.0,78.0,164,17.289255590390546,50.57663916391721,2568.7692925586134,-59.05163559061221,63.0989201282071,164,16.28341847475692,49.22863978184614,2394.5090943088385,-57.1036466973881,60.50133048381904,164,0.1533184174377822,0.1528034078846015,0.0019283053076545,0.092413269066642,0.2305042653776166,164,1.5,1.0,0.263803680981595,1.0,2.0,164,0.9674112063340388,1.0,0.002603944765794,0.9072229684653288,1.0,164,381.6951219512195,387.0,99.85739937153974,361.0,389.0,164,115.04878048780488,106.0,542.0834954361814,95.0,169.85,164,7.783535296840094,7.812314823089991,0.0108875848749063,7.588872093483728,7.935995372829511,0.0
bridge_circle_out125_xminus075,response,2711,847401,bridge_circle_out125,圆核｜向外EE×1.25，核内EI×1，左核x偏移-0.75mm,primary,ALL,144,1.0,0.9583333333333334,0.8996212121212122,1.0,0.1947757545102006,0.1571428571428571,15,144,-15.12389794700539,-27.06002340325067,36.81508928005103,13.76388888888889,0.2116638387128368,105,144,16.22222222222222,16.0,0.3698523698523698,16.0,18.0,144,60.94444444444444,50.0,465.89898989899,38.0,87.69999999999999,144,16.352818720759714,60.61773140276091,3283.3124390533253,-65.11309999999867,71.11790314626404,144,16.494166725804874,60.01140517081694,3087.102925010008,-64.1042939189194,67.12787489093594,144,0.1381860409384367,0.1404366617302566,0.0015085587319369,0.0749119000272274,0.1946272732317505,144,1.6458333333333333,2.0,0.6219405594405595,1.0,3.0,144,0.945863339501475,0.9943984128408084,0.0051455042163974,0.8190354056860709,1.0,144,359.0486111111111,364.0,539.5430749805749,319.15,386.0,144,97.88888888888889,97.0,140.93861693861697,81.0,119.0,144,7.53589920676938,7.485853704020556,0.0600347733517832,7.161319865278455,7.874432799628232,0.0
