candidate,stage,topology,noise,comparison,description,layer,mode,n,SCL_any,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,rank_correlation,rank_shared_contacts,lag_joint_n,SCL_minus_ICL_lag_median_ms,SCL_minus_ICL_lag_q05_ms,SCL_minus_ICL_lag_q95_ms,mean_contacts_per_event,pair_order_probability_mae,pair_order_supported_pairs,local_width_ms_n,local_width_ms_mean,local_width_ms_median,local_width_ms_variance,local_width_ms_q05,local_width_ms_q95,recruitment_span_ms_n,recruitment_span_ms_mean,recruitment_span_ms_median,recruitment_span_ms_variance,recruitment_span_ms_q05,recruitment_span_ms_q95,B_minus_A_t10_ms_n,B_minus_A_t10_ms_mean,B_minus_A_t10_ms_median,B_minus_A_t10_ms_variance,B_minus_A_t10_ms_q05,B_minus_A_t10_ms_q95,B_minus_A_t50_ms_n,B_minus_A_t50_ms_mean,B_minus_A_t50_ms_median,B_minus_A_t50_ms_variance,B_minus_A_t50_ms_q05,B_minus_A_t50_ms_q95,first_10pct_mass_core_share_n,first_10pct_mass_core_share_mean,first_10pct_mass_core_share_median,first_10pct_mass_core_share_variance,first_10pct_mass_core_share_q05,first_10pct_mass_core_share_q95,peak_active_components_n,peak_active_components_mean,peak_active_components_median,peak_active_components_variance,peak_active_components_q05,peak_active_components_q95,peak_largest_component_fraction_n,peak_largest_component_fraction_mean,peak_largest_component_fraction_median,peak_largest_component_fraction_variance,peak_largest_component_fraction_q05,peak_largest_component_fraction_q95,union_active_area_mm2_n,union_active_area_mm2_mean,union_active_area_mm2_median,union_active_area_mm2_variance,union_active_area_mm2_q05,union_active_area_mm2_q95,peak_active_area_mm2_n,peak_active_area_mm2_mean,peak_active_area_mm2_median,peak_active_area_mm2_variance,peak_active_area_mm2_q05,peak_active_area_mm2_q95,native_spatial_rms_mm_n,native_spatial_rms_mm_mean,native_spatial_rms_mm_median,native_spatial_rms_mm_variance,native_spatial_rms_mm_q05,native_spatial_rms_mm_q95,no_SCL
follow_ellipse4_out1_EI0.875,response,2511,847102,up3__ellipse4,椭圆4:1｜离核EE×1，同核EI×0.875,primary,TA,38,1.0,0.1184210526315789,1.0,1.0,0.253367714767359,0.5678571428571427,15,38,-18.166828480146023,-30.522125130456608,0.6048218295581194,12.894736842105264,0.2539833592319496,105,38,16.07894736842105,16.0,0.1287339971550497,16.0,16.15,38,49.63157894736842,48.0,427.2119487908962,36.8,71.8999999999999,38,61.59569274113712,62.7414408387358,34.55168716928244,43.74543856337448,65.79855337813169,38,59.42207274715924,60.7815996987797,30.654556401706383,42.59771660520664,64.0290174114336,38,0.1639670047481828,0.1655092592592592,0.0006195265731636,0.1189996406335487,0.1946806243617294,38,2.026315789473684,2.0,0.0263157894736841,2.0,2.0,38,0.9209156516388292,0.9271958314992236,0.0021927561458384,0.8422493088428054,0.9797199094159044,38,348.89473684210526,346.5,157.23186344238974,333.4,375.65,38,97.84210526315788,97.0,44.13655761024182,88.85,109.15,38,7.490301850352995,7.465856884287676,0.0224059078463495,7.28717848818356,7.780000857602254,0.0
follow_ellipse4_out1_EI0.875,response,2511,847102,up3__ellipse4,椭圆4:1｜离核EE×1，同核EI×0.875,primary,TB,113,1.0,0.9247787610619468,1.0,1.0,0.2183358008481105,0.5071428571428571,15,113,35.696066005461034,6.62369419343686,36.75875440961609,14.79646017699115,0.3966401200928872,105,113,16.548672566371682,16.0,0.7855562579013904,16.0,18.0,113,75.11504424778761,76.0,63.995575221238944,55.2,80.0,113,-55.2927727256092,-61.941530691532535,323.38854381607905,-64.52518795889628,-4.213669115693516,113,-55.89447458909628,-62.235964912280906,297.46458254290934,-63.85472871051752,-7.292887828563867,113,0.2205127731036799,0.2158103513411409,0.0015341411854507,0.1678648695266076,0.321417618013058,113,1.2123893805309736,1.0,0.2937737041719342,1.0,2.0,113,0.9614902758449198,1.0,0.0118982219404125,0.7129286218091153,1.0,113,312.070796460177,303.0,721.9592288242732,288.0,371.4,113,87.59292035398231,82.0,108.06494943109988,80.0,110.4,113,7.380166971622508,7.317364943820288,0.0486320961649583,7.142286534611348,7.903677228873363,0.0
up3__circle__EE_core_to_out_scale_1.25__x_minus075,response,2511,847101,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,primary,ALL,140,1.0,0.7678571428571428,1.0,1.0,0.1868302141291519,-0.0535714285714285,15,140,-4.951515401592587,-20.94262921746504,36.19317373503868,14.25,0.2195304281765961,105,140,16.257142857142856,16.0,0.4513874614594038,16.0,18.0,140,57.41428571428571,48.0,462.474614594039,26.0,88.0,140,11.397745482806489,28.6461597356556,3452.360380121356,-69.21105172413908,70.2689882929968,140,8.757552196972961,25.168630980600938,3154.046012953895,-66.63557552887013,66.62567029446836,140,0.1031469547186554,0.099134205054602,0.0009353413315822,0.0636920292844255,0.1559565115963297,140,2.1785714285714284,2.0,0.6225590955806782,1.0,3.049999999999983,140,0.9198311882399804,0.9346523767613526,0.0078598613452756,0.7975553819496609,1.0,140,369.1285714285714,371.0,221.8250770811922,347.0,392.0,140,104.85714285714286,101.5,105.10174717368965,93.0,122.0,140,7.518521022387243,7.504796070752702,0.0269935214015069,7.2859312750555665,7.87176205826356,0.0
up3__circle__EE_core_to_out_scale_1.25__x_minus075,response,2511,847101,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,primary,TA,68,1.0,0.6544117647058824,1.0,1.0,0.1957400415540314,0.8928571428571428,15,68,-12.386752884578527,-23.31704185018425,-5.898895858897959,13.823529411764708,0.1408946967733588,105,68,16.0,16.0,0.0,16.0,16.0,68,42.02941176470589,42.0,51.7603160667252,26.7,54.0,68,66.1375230404799,66.88894480519389,44.62599222951177,59.96361904761943,72.22687946675379,68,61.104632019834725,64.1550984977348,48.54339693384028,49.66076728651824,67.07107871314074,68,0.0913544941053665,0.0883878867195847,0.0003648080535642,0.064396045045427,0.1220498975709687,68,2.147058823529412,2.0,0.6049165935030729,1.0,3.0,68,0.9293927420229198,0.9346523767613526,0.002568027093399,0.842138375064319,1.0,68,372.1911764705882,374.0,227.798726953468,347.0,392.65,68,103.27941176470588,101.0,77.39837576821772,93.0,118.3,68,7.471616487739186,7.478148507980604,0.0121853644458495,7.293225062981891,7.643058477147648,0.0
up3__circle__EE_core_to_out_scale_1.25__x_minus075,response,2511,847101,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,primary,TB,72,1.0,0.875,1.0,1.0,0.2087569742338857,0.5142857142857142,15,72,35.35735759633462,-6.13794688973303,36.76366482777612,14.65277777777778,0.3262068001941979,105,72,16.5,16.0,0.7605633802816901,16.0,18.0,72,71.94444444444444,78.0,415.77151799687016,27.1,96.70000000000002,72,-40.30093332166285,-60.09835677382398,1136.503753070071,-72.52798214285576,26.226945054944764,72,-40.68135652461871,-58.319825431884965,1025.9498315129174,-67.21957959511091,23.537350082714152,72,0.114284278631206,0.1084195905962021,0.0012279324225417,0.0658058682037883,0.175177829232533,72,2.208333333333333,2.0,0.6461267605633801,1.0,3.450000000000003,72,0.9108008318894264,0.9335204064281262,0.0127940101186773,0.5888465351620313,1.0,72,366.2361111111111,367.5,201.84487480438185,344.65,388.9,72,106.34722222222224,105.0,128.08900625978092,94.0,122.45,72,7.562819749554854,7.547091523221405,0.0372505139616313,7.284823375981777,7.894340957244964,0.0
up3__circle__EE_core_to_out_scale_1.25__y_minus10,response,2511,847101,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜y_minus10,primary,ALL,143,1.0,0.9475524475524476,0.9866497139224412,1.0,0.1759144379478218,-0.7178571428571427,15,143,36.91121550057324,3.580715328103543,109.72943424807563,14.083916083916083,0.3998643277908204,105,143,16.272727272727273,16.0,0.439180537772087,16.0,18.0,143,97.74825174825176,92.0,877.4009652319511,40.0,143.8,143,0.3449519660392887,13.352295839751603,2983.019782467319,-65.77606285714646,63.43302697510372,143,-0.4838219790190632,6.947784810126905,2773.657075079799,-62.40756940561951,59.41690281571609,143,0.1163038384609937,0.1102045378339108,0.0016375917013328,0.0665062293418404,0.1942673215391778,143,2.195804195804196,2.0,0.4966019895597361,1.0,3.0,143,0.9067233332899,0.9275887038377988,0.0089684703221213,0.7206246719160104,1.0,143,379.6923076923077,384.0,297.10184182015166,352.0,399.0,143,96.67132867132868,95.0,113.74332709543977,82.1,118.0,143,7.810590843708367,7.836530934315967,0.0907181245044593,7.401515155567095,8.253517381629846,0.0
up3__circle__EE_core_to_out_scale_1.25__y_minus10,response,2511,847101,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜y_minus10,primary,TA,59,1.0,0.8983050847457628,0.9738058551617872,1.0,0.2032905259408507,0.35,15,59,97.40013434612048,-10.732931054122307,109.64762212548048,13.35593220338983,0.3026056043556578,105,59,16.10169491525424,16.0,0.1274108708357685,16.0,17.0,59,102.64406779661016,118.0,1094.1297486849796,37.8,126.2,59,58.00986693661095,59.40647279549739,55.97789152950295,42.05769888897776,65.11812834224838,59,55.36338467428652,57.2277350533368,41.95479217142365,41.77296876582041,60.64002218578171,59,0.1190280452808712,0.1224274776989534,0.0013556325972922,0.0644908000469184,0.1789717150513042,59,2.0847457627118646,2.0,0.4926943308007014,1.0,3.0999999999999943,59,0.8969294295289988,0.884263114071607,0.0045013364617692,0.7899930819550728,1.0,59,390.3220338983051,397.0,210.1531268264173,352.6,399.0,59,90.0677966101695,88.0,66.23670368205727,79.0,108.1,59,8.01191783477994,8.149611764133114,0.0808454922758267,7.440834534454306,8.268407127896696,0.0
up3__circle__EE_core_to_out_scale_1.25__y_minus10,response,2511,847101,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜y_minus10,primary,TB,84,1.0,0.9821428571428572,0.9956709956709956,1.0,0.2049209953979068,0.4964285714285714,15,84,36.005717338239265,32.34295834970435,110.3520678091485,14.595238095238097,0.3547659715366281,105,84,16.392857142857142,16.0,0.6269363166953529,16.0,18.0,84,94.3095238095238,84.0,707.5174985656913,76.0,149.39999999999998,84,-40.15778592995747,-59.25508754148177,1040.3995112335383,-65.92342703349331,18.62511054422032,84,-39.7098361759837,-59.15737179487223,941.6996603154834,-62.975510826043504,15.297112447738002,84,0.1143904074803654,0.1044526778805601,0.0018453726717997,0.0669359575630586,0.2042396838874127,84,2.273809523809524,2.0,0.4903901319563969,1.0,3.0,84,0.9136023847410092,0.9364471760302135,0.0120820598211084,0.6386994259032174,1.0,84,372.2261904761905,369.5,224.7072576018359,352.0,396.85,84,101.3095238095238,97.0,95.54159495123352,90.15,118.85,84,7.669182599979522,7.628720612211968,0.0496605514192432,7.391735218275838,8.024342814028817,0.0
follow_ellipse4_out1.25_EI0.875,response,2511,847102,up3__ellipse4__EE_core_to_out_scale_1.25,椭圆4:1｜离核EE×1.25，同核EI×0.875,primary,ALL,160,1.0,1.0,1.0,1.0,0.1856954982296409,-0.9607142857142856,15,160,34.19071306452861,-21.151760775799268,36.053153845242015,15.0,0.4543832614322523,105,160,17.1625,18.0,0.9797169811320756,16.0,18.0,160,66.65,74.0,187.85157232704404,33.9,76.0,160,-33.314706661453684,-59.135249947305056,2052.1176359007454,-60.86021755949368,58.55291336769569,160,-33.33480583792391,-58.71222435296022,1986.3586511023216,-60.199695935262845,56.99211563151057,160,0.2180808854733176,0.2152493700588648,0.0003874460712601,0.1955710845729803,0.2408359029758427,160,1.6875,2.0,0.2413522012578616,1.0,2.0,160,0.9738103119982936,0.9800279055250104,0.0027991234899202,0.9194960715652588,1.0,160,383.0625,382.0,22.474056603773583,376.0,391.19999999999993,160,106.6625,100.0,326.3382075471698,95.0,156.09999999999997,160,7.794280923269108,7.803671833048002,0.0071724944981364,7.656893968434352,7.973057996661567,0.0
follow_ellipse4_out1.25_EI0.875,response,2511,847102,up3__ellipse4__EE_core_to_out_scale_1.25,椭圆4:1｜离核EE×1.25，同核EI×0.875,primary,TA,30,1.0,1.0,1.0,1.0,0.1625117103430814,0.8607142857142854,15,30,-18.63986792106516,-26.50108987593103,-12.179337572792068,15.0,0.2155996865123132,105,30,16.066666666666666,16.0,0.1333333333333332,16.0,16.0,30,47.06666666666667,50.0,77.16781609195402,29.8,57.1,30,55.124994168367934,57.85743178130451,65.10140817055643,37.55076963477454,60.37725334571896,30,53.7908469884407,56.454692236390656,60.033201964263576,37.22376144575821,58.95162231067643,30,0.2085339031434746,0.2075805626799973,5.2791232120460585e-05,0.1975586278863179,0.2216455151288942,30,1.7,2.0,0.3551724137931034,1.0,2.549999999999997,30,0.9777053512519932,0.9772841269117808,0.0004377109021362,0.9463489152499528,1.0,30,381.9333333333333,381.5,29.02988505747125,375.0,389.55,30,109.46666666666668,105.5,120.80919540229884,98.9,131.75,30,7.698500867778891,7.700645184123324,0.0020034823245247,7.628931796553976,7.773468348102864,0.0
