figure,source,candidate,topology,noise,mode,metric,x,value,support_n
circle_EE_EI_original,followup,follow_circle_out1.125_EI0.875,2511,847102,TB,no_SCL,1.125,0.0,96
circle_EE_EI_original,followup,follow_circle_out1.25_EI0.875,2511,847102,TB,no_SCL,1.25,0.0,93
circle_EE_EI_original,followup,up3__circle__EI_same_core_scale_0.75,2511,847101,TB,no_SCL,1.0,0.0,87
circle_EE_EI_original,followup,follow_circle_out1.125_EI0.75,2511,847101,TB,no_SCL,1.125,0.0,79
circle_EE_EI_original,followup,follow_circle_out1.25_EI0.75,2511,847101,TB,no_SCL,1.25,0.0,80
circle_EE_EI_original,followup,up3__circle__EI_same_core_scale_0.75,2511,847102,TB,no_SCL,1.0,0.0,95
circle_EE_EI_original,followup,follow_circle_out1.125_EI0.75,2511,847102,TB,no_SCL,1.125,0.0,96
circle_EE_EI_original,followup,follow_circle_out1.25_EI0.75,2511,847102,TB,no_SCL,1.25,0.0,95
circle_EE_EI_original,followup,up3__circle,2511,847101,TA,participation_mae,1.0,0.1834190749116689,22
circle_EE_EI_original,followup,follow_circle_out1.125_EI1,2511,847101,TA,participation_mae,1.125,0.203212916005749,51
circle_EE_EI_original,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847101,TA,participation_mae,1.25,0.238838433818508,71
circle_EE_EI_original,followup,up3__circle,2511,847102,TA,participation_mae,1.0,0.2197827112753053,22
circle_EE_EI_original,followup,follow_circle_out1.125_EI1,2511,847102,TA,participation_mae,1.125,0.2000916675063493,49
circle_EE_EI_original,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847102,TA,participation_mae,1.25,0.2438344476372696,53
circle_EE_EI_original,followup,follow_circle_out1_EI0.875,2511,847101,TA,participation_mae,1.0,0.2865462493390824,68
circle_EE_EI_original,followup,follow_circle_out1.125_EI0.875,2511,847101,TA,participation_mae,1.125,0.176049203472319,79
circle_EE_EI_original,followup,follow_circle_out1.25_EI0.875,2511,847101,TA,participation_mae,1.25,0.1545085188881724,86
circle_EE_EI_original,followup,follow_circle_out1_EI0.875,2511,847102,TA,participation_mae,1.0,0.28494666213578,57
circle_EE_EI_original,followup,follow_circle_out1.125_EI0.875,2511,847102,TA,participation_mae,1.125,0.1866872293002183,66
circle_EE_EI_original,followup,follow_circle_out1.25_EI0.875,2511,847102,TA,participation_mae,1.25,0.1518836910194099,69
circle_EE_EI_original,followup,up3__circle__EI_same_core_scale_0.75,2511,847101,TA,participation_mae,1.0,0.2163497077431845,82
circle_EE_EI_original,followup,follow_circle_out1.125_EI0.75,2511,847101,TA,participation_mae,1.125,0.1610302288615999,90
circle_EE_EI_original,followup,follow_circle_out1.25_EI0.75,2511,847101,TA,participation_mae,1.25,0.159569053684793,89
circle_EE_EI_original,followup,up3__circle__EI_same_core_scale_0.75,2511,847102,TA,participation_mae,1.0,0.2147943878421594,69
circle_EE_EI_original,followup,follow_circle_out1.125_EI0.75,2511,847102,TA,participation_mae,1.125,0.1625117103430814,73
circle_EE_EI_original,followup,follow_circle_out1.25_EI0.75,2511,847102,TA,participation_mae,1.25,0.157106304937676,74
circle_EE_EI_original,followup,up3__circle,2511,847101,TA,rank_correlation,1.0,0.3178571428571428,22
circle_EE_EI_original,followup,follow_circle_out1.125_EI1,2511,847101,TA,rank_correlation,1.125,0.5428571428571428,51
circle_EE_EI_original,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847101,TA,rank_correlation,1.25,0.7857142857142856,71
circle_EE_EI_original,followup,up3__circle,2511,847102,TA,rank_correlation,1.0,0.0035714285714285,22
circle_EE_EI_original,followup,follow_circle_out1.125_EI1,2511,847102,TA,rank_correlation,1.125,0.3607142857142856,49
circle_EE_EI_original,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847102,TA,rank_correlation,1.25,0.7571428571428571,53
circle_EE_EI_original,followup,follow_circle_out1_EI0.875,2511,847101,TA,rank_correlation,1.0,0.3642857142857142,68
circle_EE_EI_original,followup,follow_circle_out1.125_EI0.875,2511,847101,TA,rank_correlation,1.125,0.8357142857142855,79
circle_EE_EI_original,followup,follow_circle_out1.25_EI0.875,2511,847101,TA,rank_correlation,1.25,0.8642857142857141,86
circle_EE_EI_original,followup,follow_circle_out1_EI0.875,2511,847102,TA,rank_correlation,1.0,0.3857142857142856,57
circle_EE_EI_original,followup,follow_circle_out1.125_EI0.875,2511,847102,TA,rank_correlation,1.125,0.8571428571428571,66
circle_EE_EI_original,followup,follow_circle_out1.25_EI0.875,2511,847102,TA,rank_correlation,1.25,0.8642857142857141,69
circle_EE_EI_original,followup,up3__circle__EI_same_core_scale_0.75,2511,847101,TA,rank_correlation,1.0,0.8035714285714284,82
circle_EE_EI_original,followup,follow_circle_out1.125_EI0.75,2511,847101,TA,rank_correlation,1.125,0.8571428571428571,90
circle_EE_EI_original,followup,follow_circle_out1.25_EI0.75,2511,847101,TA,rank_correlation,1.25,0.8571428571428571,89
circle_EE_EI_original,followup,up3__circle__EI_same_core_scale_0.75,2511,847102,TA,rank_correlation,1.0,0.7582417582417583,69
circle_EE_EI_original,followup,follow_circle_out1.125_EI0.75,2511,847102,TA,rank_correlation,1.125,0.8571428571428571,73
circle_EE_EI_original,followup,follow_circle_out1.25_EI0.75,2511,847102,TA,rank_correlation,1.25,0.8571428571428571,74
circle_EE_EI_original,followup,up3__circle,2511,847101,TA,no_SCL,1.0,0.0,22
circle_EE_EI_original,followup,follow_circle_out1.125_EI1,2511,847101,TA,no_SCL,1.125,0.0,51
circle_EE_EI_original,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847101,TA,no_SCL,1.25,0.0,71
circle_EE_EI_original,followup,up3__circle,2511,847102,TA,no_SCL,1.0,0.0,22
circle_EE_EI_original,followup,follow_circle_out1.125_EI1,2511,847102,TA,no_SCL,1.125,0.0,49
circle_EE_EI_original,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847102,TA,no_SCL,1.25,0.0,53
circle_EE_EI_original,followup,follow_circle_out1_EI0.875,2511,847101,TA,no_SCL,1.0,0.0,68
circle_EE_EI_original,followup,follow_circle_out1.125_EI0.875,2511,847101,TA,no_SCL,1.125,0.0,79
circle_EE_EI_original,followup,follow_circle_out1.25_EI0.875,2511,847101,TA,no_SCL,1.25,0.0,86
circle_EE_EI_original,followup,follow_circle_out1_EI0.875,2511,847102,TA,no_SCL,1.0,0.0,57
circle_EE_EI_original,followup,follow_circle_out1.125_EI0.875,2511,847102,TA,no_SCL,1.125,0.0,66
circle_EE_EI_original,followup,follow_circle_out1.25_EI0.875,2511,847102,TA,no_SCL,1.25,0.0,69
circle_EE_EI_original,followup,up3__circle__EI_same_core_scale_0.75,2511,847101,TA,no_SCL,1.0,0.0,82
circle_EE_EI_original,followup,follow_circle_out1.125_EI0.75,2511,847101,TA,no_SCL,1.125,0.0,90
circle_EE_EI_original,followup,follow_circle_out1.25_EI0.75,2511,847101,TA,no_SCL,1.25,0.0,89
circle_EE_EI_original,followup,up3__circle__EI_same_core_scale_0.75,2511,847102,TA,no_SCL,1.0,0.0,69
circle_EE_EI_original,followup,follow_circle_out1.125_EI0.75,2511,847102,TA,no_SCL,1.125,0.0,73
circle_EE_EI_original,followup,follow_circle_out1.25_EI0.75,2511,847102,TA,no_SCL,1.25,0.0,74
circle_EE_EI_time,followup,up3__circle,2511,847101,TB,SCL_minus_ICL_lag_median_ms,1.0,37.035501159887644,105
circle_EE_EI_time,followup,follow_circle_out1.125_EI1,2511,847101,TB,SCL_minus_ICL_lag_median_ms,1.125,36.10376782417143,86
circle_EE_EI_time,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847101,TB,SCL_minus_ICL_lag_median_ms,1.25,35.67206936948969,75
circle_EE_EI_time,followup,up3__circle,2511,847102,TB,SCL_minus_ICL_lag_median_ms,1.0,36.37124400096582,105
circle_EE_EI_time,followup,follow_circle_out1.125_EI1,2511,847102,TB,SCL_minus_ICL_lag_median_ms,1.125,35.58203540649265,81
circle_EE_EI_time,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847102,TB,SCL_minus_ICL_lag_median_ms,1.25,35.44060550434733,77
circle_EE_EI_time,followup,follow_circle_out1_EI0.875,2511,847101,TB,SCL_minus_ICL_lag_median_ms,1.0,35.70454934805548,88
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.875,2511,847101,TB,SCL_minus_ICL_lag_median_ms,1.125,34.967002782126656,85
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.875,2511,847101,TB,SCL_minus_ICL_lag_median_ms,1.25,34.42197465265053,83
circle_EE_EI_time,followup,follow_circle_out1_EI0.875,2511,847102,TB,SCL_minus_ICL_lag_median_ms,1.0,35.76201741445402,89
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.875,2511,847102,TB,SCL_minus_ICL_lag_median_ms,1.125,34.835705920283544,96
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.875,2511,847102,TB,SCL_minus_ICL_lag_median_ms,1.25,33.97022581577039,93
circle_EE_EI_time,followup,up3__circle__EI_same_core_scale_0.75,2511,847101,TB,SCL_minus_ICL_lag_median_ms,1.0,34.90469718451641,87
