persistence_label,learning_rate,patient_first_mean_validation_nll,patient_first_median_validation_nll,patient_first_mean_benefit,median_best_epoch,max_seed_sd,persistence_order
p050_c075,0.01,1.4170371895251677,1.2684885826886663,0.11104187860984212,114.0,0.0001854661080009035,1
p050_c090,0.01,1.4170728794704441,1.2683721396529641,0.1110061886645658,191.0,1.0712834563790218e-05,2
p050_c075,0.003,1.4237902624837389,1.268754882056975,0.10428880565127101,194.5,1.7671117031127303e-05,1
p050_c090,0.003,1.4241133669168153,1.2687206787237388,0.10396570121819464,194.5,1.1157626227236806e-05,2
p025_c050,0.01,1.4313286032754053,1.2709209444505314,0.09675046485960448,162.5,3.028342351601788e-05,0
p025_c050,0.003,1.4367243659925741,1.2712509247197066,0.09135470214243564,194.5,0.00012744072507675443,0
