job,phase,z,kind,mode,contact,n,patient_fraction,model_fraction
fixed_m050_dyn847101,fixed,-0.5,fixed,1,ICL2,1,0.8575769084694265,1.0
fixed_m050_dyn847101,fixed,-0.5,fixed,1,ICL1,1,0.7690087352829472,1.0
fixed_zero_dyn847101,fixed,0.0,fixed,0,SCL9,5,0.6775170325510976,0.6
fixed_zero_dyn847101,fixed,0.0,fixed,0,ICL11,5,0.8239212717638152,1.0
fixed_zero_dyn847101,fixed,0.0,fixed,0,SCL8,5,0.8310370931112794,0.8
fixed_zero_dyn847101,fixed,0.0,fixed,0,ICL10,5,0.8405753217259652,0.8
fixed_zero_dyn847101,fixed,0.0,fixed,0,SCL7,5,0.8449659348978047,0.6
fixed_zero_dyn847101,fixed,0.0,fixed,0,ICL9,5,0.8514761544284632,1.0
fixed_zero_dyn847101,fixed,0.0,fixed,0,ICL8,5,0.8535957607872824,1.0
fixed_zero_dyn847101,fixed,0.0,fixed,0,SCL6,5,0.7087055261165783,0.8
fixed_zero_dyn847101,fixed,0.0,fixed,0,ICL7,5,0.6687358062074186,0.8
fixed_zero_dyn847101,fixed,0.0,fixed,0,ICL6,5,0.4834216502649508,1.0
fixed_zero_dyn847101,fixed,0.0,fixed,0,ICL5,5,0.6319454958364875,1.0
fixed_zero_dyn847101,fixed,0.0,fixed,0,ICL4,5,0.851778955336866,1.0
fixed_zero_dyn847101,fixed,0.0,fixed,0,ICL3,5,0.863890991672975,0.8
fixed_zero_dyn847101,fixed,0.0,fixed,0,ICL2,5,0.8146858440575322,0.8
fixed_zero_dyn847101,fixed,0.0,fixed,0,ICL1,5,0.7751703255109765,1.0
fixed_zero_dyn847101,fixed,0.0,fixed,1,SCL9,1,0.7913406760349412,0.0
fixed_zero_dyn847101,fixed,0.0,fixed,1,ICL11,1,0.8876566654006837,0.0
fixed_zero_dyn847101,fixed,0.0,fixed,1,SCL8,1,0.9051272312951006,0.0
fixed_zero_dyn847101,fixed,0.0,fixed,1,ICL10,1,0.8992783896695784,0.0
fixed_zero_dyn847101,fixed,0.0,fixed,1,SCL7,1,0.9323205469046715,0.0
fixed_zero_dyn847101,fixed,0.0,fixed,1,ICL9,1,0.9011773642233194,0.0
fixed_zero_dyn847101,fixed,0.0,fixed,1,ICL8,1,0.8823395366502089,1.0
fixed_zero_dyn847101,fixed,0.0,fixed,1,SCL6,1,0.8318268135206989,0.0
fixed_zero_dyn847101,fixed,0.0,fixed,1,ICL7,1,0.7187998480820357,1.0
fixed_zero_dyn847101,fixed,0.0,fixed,1,ICL6,1,0.5595898214963919,1.0
fixed_zero_dyn847101,fixed,0.0,fixed,1,ICL5,1,0.7086213444739841,1.0
fixed_zero_dyn847101,fixed,0.0,fixed,1,ICL4,1,0.9535890619065704,1.0
fixed_zero_dyn847101,fixed,0.0,fixed,1,ICL3,1,0.9640714014432207,1.0
fixed_zero_dyn847101,fixed,0.0,fixed,1,ICL2,1,0.8575769084694265,1.0
fixed_zero_dyn847101,fixed,0.0,fixed,1,ICL1,1,0.7690087352829472,1.0
fixed_zero_dyn847101,continuous,0.0,fixed,0,SCL9,25,0.6775170325510976,0.76
fixed_zero_dyn847101,continuous,0.0,fixed,0,ICL11,25,0.8239212717638152,0.68
fixed_zero_dyn847101,continuous,0.0,fixed,0,SCL8,25,0.8310370931112794,0.88
fixed_zero_dyn847101,continuous,0.0,fixed,0,ICL10,25,0.8405753217259652,0.6
fixed_zero_dyn847101,continuous,0.0,fixed,0,SCL7,25,0.8449659348978047,0.76
fixed_zero_dyn847101,continuous,0.0,fixed,0,ICL9,25,0.8514761544284632,0.72
fixed_zero_dyn847101,continuous,0.0,fixed,0,ICL8,25,0.8535957607872824,1.0
fixed_zero_dyn847101,continuous,0.0,fixed,0,SCL6,25,0.7087055261165783,0.68
fixed_zero_dyn847101,continuous,0.0,fixed,0,ICL7,25,0.6687358062074186,0.96
fixed_zero_dyn847101,continuous,0.0,fixed,0,ICL6,25,0.4834216502649508,0.96
fixed_zero_dyn847101,continuous,0.0,fixed,0,ICL5,25,0.6319454958364875,1.0
fixed_zero_dyn847101,continuous,0.0,fixed,0,ICL4,25,0.851778955336866,0.96
fixed_zero_dyn847101,continuous,0.0,fixed,0,ICL3,25,0.863890991672975,0.84
fixed_zero_dyn847101,continuous,0.0,fixed,0,ICL2,25,0.8146858440575322,0.84
fixed_zero_dyn847101,continuous,0.0,fixed,0,ICL1,25,0.7751703255109765,1.0
fixed_zero_dyn847101,continuous,0.0,fixed,1,SCL9,14,0.7913406760349412,0.5
fixed_zero_dyn847101,continuous,0.0,fixed,1,ICL11,14,0.8876566654006837,0.35714285714285715
fixed_zero_dyn847101,continuous,0.0,fixed,1,SCL8,14,0.9051272312951006,0.42857142857142855
fixed_zero_dyn847101,continuous,0.0,fixed,1,ICL10,14,0.8992783896695784,0.14285714285714285
fixed_zero_dyn847101,continuous,0.0,fixed,1,SCL7,14,0.9323205469046715,0.42857142857142855
fixed_zero_dyn847101,continuous,0.0,fixed,1,ICL9,14,0.9011773642233194,0.42857142857142855
fixed_zero_dyn847101,continuous,0.0,fixed,1,ICL8,14,0.8823395366502089,1.0
fixed_zero_dyn847101,continuous,0.0,fixed,1,SCL6,14,0.8318268135206989,0.5714285714285714
fixed_zero_dyn847101,continuous,0.0,fixed,1,ICL7,14,0.7187998480820357,0.9285714285714286
fixed_zero_dyn847101,continuous,0.0,fixed,1,ICL6,14,0.5595898214963919,0.8571428571428571
fixed_zero_dyn847101,continuous,0.0,fixed,1,ICL5,14,0.7086213444739841,1.0
fixed_zero_dyn847101,continuous,0.0,fixed,1,ICL4,14,0.9535890619065704,1.0
fixed_zero_dyn847101,continuous,0.0,fixed,1,ICL3,14,0.9640714014432207,1.0
fixed_zero_dyn847101,continuous,0.0,fixed,1,ICL2,14,0.8575769084694265,1.0
fixed_zero_dyn847101,continuous,0.0,fixed,1,ICL1,14,0.7690087352829472,1.0
fixed_p050_dyn847101,fixed,0.5,fixed,0,SCL9,2,0.6775170325510976,0.5
fixed_p050_dyn847101,fixed,0.5,fixed,0,ICL11,2,0.8239212717638152,1.0
fixed_p050_dyn847101,fixed,0.5,fixed,0,SCL8,2,0.8310370931112794,0.5
fixed_p050_dyn847101,fixed,0.5,fixed,0,ICL10,2,0.8405753217259652,1.0
fixed_p050_dyn847101,fixed,0.5,fixed,0,SCL7,2,0.8449659348978047,1.0
fixed_p050_dyn847101,fixed,0.5,fixed,0,ICL9,2,0.8514761544284632,1.0
fixed_p050_dyn847101,fixed,0.5,fixed,0,ICL8,2,0.8535957607872824,1.0
fixed_p050_dyn847101,fixed,0.5,fixed,0,SCL6,2,0.7087055261165783,0.5
fixed_p050_dyn847101,fixed,0.5,fixed,0,ICL7,2,0.6687358062074186,1.0
fixed_p050_dyn847101,fixed,0.5,fixed,0,ICL6,2,0.4834216502649508,1.0
fixed_p050_dyn847101,fixed,0.5,fixed,0,ICL5,2,0.6319454958364875,1.0
fixed_p050_dyn847101,fixed,0.5,fixed,0,ICL4,2,0.851778955336866,1.0
fixed_p050_dyn847101,fixed,0.5,fixed,0,ICL3,2,0.863890991672975,1.0
fixed_p050_dyn847101,fixed,0.5,fixed,0,ICL2,2,0.8146858440575322,1.0
fixed_p050_dyn847101,fixed,0.5,fixed,0,ICL1,2,0.7751703255109765,1.0
fixed_p050_dyn847101,fixed,0.5,fixed,1,SCL9,0,0.7913406760349412,
fixed_p050_dyn847101,fixed,0.5,fixed,1,ICL11,0,0.8876566654006837,
fixed_p050_dyn847101,fixed,0.5,fixed,1,SCL8,0,0.9051272312951006,
fixed_p050_dyn847101,fixed,0.5,fixed,1,ICL10,0,0.8992783896695784,
fixed_p050_dyn847101,fixed,0.5,fixed,1,SCL7,0,0.9323205469046715,
fixed_p050_dyn847101,fixed,0.5,fixed,1,ICL9,0,0.9011773642233194,
fixed_p050_dyn847101,fixed,0.5,fixed,1,ICL8,0,0.8823395366502089,
fixed_p050_dyn847101,fixed,0.5,fixed,1,SCL6,0,0.8318268135206989,
fixed_p050_dyn847101,fixed,0.5,fixed,1,ICL7,0,0.7187998480820357,
fixed_p050_dyn847101,fixed,0.5,fixed,1,ICL6,0,0.5595898214963919,
fixed_p050_dyn847101,fixed,0.5,fixed,1,ICL5,0,0.7086213444739841,
fixed_p050_dyn847101,fixed,0.5,fixed,1,ICL4,0,0.9535890619065704,
fixed_p050_dyn847101,fixed,0.5,fixed,1,ICL3,0,0.9640714014432207,
fixed_p050_dyn847101,fixed,0.5,fixed,1,ICL2,0,0.8575769084694265,
fixed_p050_dyn847101,fixed,0.5,fixed,1,ICL1,0,0.7690087352829472,
fixed_p100_dyn847101,fixed,1.0,fixed,0,SCL9,1,0.6775170325510976,0.0
fixed_p100_dyn847101,fixed,1.0,fixed,0,ICL11,1,0.8239212717638152,1.0
fixed_p100_dyn847101,fixed,1.0,fixed,0,SCL8,1,0.8310370931112794,0.0
fixed_p100_dyn847101,fixed,1.0,fixed,0,ICL10,1,0.8405753217259652,1.0
fixed_p100_dyn847101,fixed,1.0,fixed,0,SCL7,1,0.8449659348978047,1.0
fixed_p100_dyn847101,fixed,1.0,fixed,0,ICL9,1,0.8514761544284632,1.0
fixed_p100_dyn847101,fixed,1.0,fixed,0,ICL8,1,0.8535957607872824,1.0
fixed_p100_dyn847101,fixed,1.0,fixed,0,SCL6,1,0.7087055261165783,1.0
fixed_p100_dyn847101,fixed,1.0,fixed,0,ICL7,1,0.6687358062074186,1.0
fixed_p100_dyn847101,fixed,1.0,fixed,0,ICL6,1,0.4834216502649508,1.0
fixed_p100_dyn847101,fixed,1.0,fixed,0,ICL5,1,0.6319454958364875,1.0
fixed_p100_dyn847101,fixed,1.0,fixed,0,ICL4,1,0.851778955336866,1.0
fixed_p100_dyn847101,fixed,1.0,fixed,0,ICL3,1,0.863890991672975,1.0
fixed_p100_dyn847101,fixed,1.0,fixed,0,ICL2,1,0.8146858440575322,1.0
fixed_p100_dyn847101,fixed,1.0,fixed,0,ICL1,1,0.7751703255109765,1.0
fixed_p100_dyn847101,fixed,1.0,fixed,1,SCL9,0,0.7913406760349412,
fixed_p100_dyn847101,fixed,1.0,fixed,1,ICL11,0,0.8876566654006837,
fixed_p100_dyn847101,fixed,1.0,fixed,1,SCL8,0,0.9051272312951006,
fixed_p100_dyn847101,fixed,1.0,fixed,1,ICL10,0,0.8992783896695784,
fixed_p100_dyn847101,fixed,1.0,fixed,1,SCL7,0,0.9323205469046715,
fixed_p100_dyn847101,fixed,1.0,fixed,1,ICL9,0,0.9011773642233194,
fixed_p100_dyn847101,fixed,1.0,fixed,1,ICL8,0,0.8823395366502089,
fixed_p100_dyn847101,fixed,1.0,fixed,1,SCL6,0,0.8318268135206989,
fixed_p100_dyn847101,fixed,1.0,fixed,1,ICL7,0,0.7187998480820357,
fixed_p100_dyn847101,fixed,1.0,fixed,1,ICL6,0,0.5595898214963919,
fixed_p100_dyn847101,fixed,1.0,fixed,1,ICL5,0,0.7086213444739841,
fixed_p100_dyn847101,fixed,1.0,fixed,1,ICL4,0,0.9535890619065704,
