name,z_source_s,history_s,future,depletion,mean_z,mean_rate_hz,min_rate_hz,max_rate_hz
z8000_h8000_W1,8.0,8.0,W1,0.20146039727098153,0.7985396027290185,29.6190234375,0.0,214.634375
z8000_h8000_W2,8.0,8.0,W2,0.20146039727098153,0.7985396027290185,30.178734375000005,0.0,217.68749999999997
z8000_h10370_W1,8.0,10.37,W1,0.20146039727098153,0.7985396027290185,29.413374999999995,0.0,208.37812499999998
z8000_h10370_W2,8.0,10.37,W2,0.20146039727098153,0.7985396027290185,31.500601562499995,0.0,246.47187499999998
z9000_h8000_W1,9.0,8.0,W1,0.21646602103961032,0.7835339789603897,41.78671093749999,0.0,183.046875
z9000_h8000_W2,9.0,8.0,W2,0.21646602103961032,0.7835339789603897,43.686234375000005,0.0,221.784375
z9000_h10370_W1,9.0,10.37,W1,0.21646602103961032,0.7835339789603897,41.893265625000005,0.0,255.425
z9000_h10370_W2,9.0,10.37,W2,0.21646602103961032,0.7835339789603897,30.5554453125,0.0,241.65625
z9300_h8000_W1,9.3,8.0,W1,0.22333473704327822,0.7766652629567218,57.3605390625,0.0,222.00000000000003
z9300_h8000_W2,9.3,8.0,W2,0.22333473704327822,0.7766652629567218,55.0535703125,0.0,201.403125
z9300_h10370_W1,9.3,10.37,W1,0.22333473704327822,0.7766652629567218,63.3846875,0.0,218.940625
z9300_h10370_W2,9.3,10.37,W2,0.22333473704327822,0.7766652629567218,63.611796875,0.00625,161.25
z9420_h8000_W1,9.42,8.0,W1,0.22884476056519154,0.7711552394348085,84.7173359375,0.0,219.334375
z9420_h8000_W2,9.42,8.0,W2,0.22884476056519154,0.7711552394348085,91.30265625,0.4,231.05625
z9420_h10370_W1,9.42,10.37,W1,0.22884476056519154,0.7711552394348085,104.42007031249999,42.481249999999996,189.1875
z9420_h10370_W2,9.42,10.37,W2,0.22884476056519154,0.7711552394348085,98.913875,26.3125,209.853125
z9870_h8000_W1,9.87,8.0,W1,0.2563444253447549,0.7436555746552451,212.82455468749998,201.709375,279.140625
z9870_h8000_W2,9.87,8.0,W2,0.2563444253447549,0.7436555746552451,213.07780468750002,200.85000000000002,283.6375
z9870_h10370_W1,9.87,10.37,W1,0.2563444253447549,0.7436555746552451,213.82126562500002,202.45000000000002,286.903125
z9870_h10370_W2,9.87,10.37,W2,0.2563444253447549,0.7436555746552451,213.6023203125,202.421875,287.51875
z10370_h8000_W1,10.37,8.0,W1,0.30871178728576065,0.6912882127142393,307.0815234375,299.11875,355.465625
z10370_h8000_W2,10.37,8.0,W2,0.30871178728576065,0.6912882127142393,307.6203359375,298.28125,353.84375
z10370_h10370_W1,10.37,10.37,W1,0.30871178728576065,0.6912882127142393,307.0499375,299.878125,351.43125
z10370_h10370_W2,10.37,10.37,W2,0.30871178728576065,0.6912882127142393,307.0416328125,297.61875,356.43125000000003
