candidate_nll,comparison,gain,horizon,reference_nll,view
2.520131309827169,P_marks_state_over_P_stats_state,-0.012825568517049302,1,2.5073057413101196,count
2.520131309827169,P_marks_state_over_marked_history,0.01993981997172023,1,2.540071129798889,count
3.6991239956447055,P_marks_state_over_P_stats_state,0.0036729403904507407,1,3.7027969360351562,spatial
3.6991239956447055,P_marks_state_over_marked_history,0.11237968717302627,1,3.8115036828177318,spatial
1.2049324972587718,P_marks_state_over_P_stats_state,-0.00535455595912504,1,1.1995779412996468,morphology
1.2049324972587718,P_marks_state_over_marked_history,0.000868561207434837,1,1.2058010584662067,morphology
0.9522898367473057,P_marks_state_over_P_stats_state,-0.02544779436928879,1,0.9268420423780169,load
0.9522898367473057,P_marks_state_over_marked_history,-0.03423384257725304,1,0.9180559941700527,load
2.5128934383392334,P_marks_state_over_P_stats_state,0.006899476051330566,5,2.519792914390564,count
2.5128934383392334,P_marks_state_over_marked_history,0.034479061762491714,5,2.547372500101725,count
3.700233289173671,P_marks_state_over_P_stats_state,0.000707047326224064,5,3.700940336499895,spatial
3.700233289173671,P_marks_state_over_marked_history,0.11609571320669998,5,3.816329002380371,spatial
1.205814554909749,P_marks_state_over_P_stats_state,-0.0054326866105287586,5,1.2003818682992202,morphology
1.205814554909749,P_marks_state_over_marked_history,-0.000915772733632636,5,1.2048987821761163,morphology
0.9685253756386893,P_marks_state_over_P_stats_state,-0.019235100064958877,5,0.9492902755737305,load
0.9685253756386893,P_marks_state_over_marked_history,-0.042719253471919516,5,0.9258061221667698,load
2.5132030646006265,P_marks_state_over_P_stats_state,0.008991797765096177,30,2.5221948623657227,count
2.5132030646006265,P_marks_state_over_marked_history,0.027752240498860825,30,2.5409553050994873,count
3.6783089637756348,P_marks_state_over_P_stats_state,0.011109692709786678,30,3.6894186564854214,spatial
3.6783089637756348,P_marks_state_over_marked_history,0.11161484037126801,30,3.7899238041469028,spatial
1.2093426591006868,P_marks_state_over_P_stats_state,-0.005884479128594133,30,1.2034581799720927,morphology
1.2093426591006868,P_marks_state_over_marked_history,-0.003924423723425274,30,1.2054182353772616,morphology
0.948365603174482,P_marks_state_over_P_stats_state,-0.012651937348502007,30,0.93571366582598,load
0.948365603174482,P_marks_state_over_marked_history,-0.030098991734640923,30,0.9182666114398411,load
2.5628352846418108,P_marks_state_over_P_stats_state,0.024548803056989588,120,2.5873840876988004,count
2.5628352846418108,P_marks_state_over_marked_history,0.016867228916713106,120,2.579702513558524,count
3.621061215033898,P_marks_state_over_P_stats_state,0.02308368682861328,120,3.644144901862511,spatial
3.621061215033898,P_marks_state_over_marked_history,0.050653567680945866,120,3.6717147827148438,spatial
1.2074532103694342,P_marks_state_over_P_stats_state,-0.003734073348034883,120,1.2037191370213993,morphology
1.2074532103694342,P_marks_state_over_marked_history,0.003823323966630987,120,1.2112765343360652,morphology
0.9284695111788236,P_marks_state_over_P_stats_state,-0.010839498960054761,120,0.9176300122187688,load
0.9284695111788236,P_marks_state_over_marked_history,-0.01416077980628383,120,0.9143087313725398,load
