epoch,iso,gpu,util_pct,memory_used_mib,memory_total_mib,temp_c,power_w
1788719821,2026-09-07T02:37:01+08:00,1,96,1669,24576,64,190.77
1788719851,2026-09-07T02:37:31+08:00,0,98,1679,24576,59,189.87
1788719851,2026-09-07T02:37:31+08:00,1,96,1669,24576,64,190.44
1788719881,2026-09-07T02:38:01+08:00,0,96,1679,24576,59,188.93
1788719881,2026-09-07T02:38:01+08:00,1,96,1669,24576,64,192.13
1788719911,2026-09-07T02:38:31+08:00,0,98,1679,24576,59,188.22
1788719911,2026-09-07T02:38:31+08:00,1,97,1669,24576,64,189.48
1788719941,2026-09-07T02:39:01+08:00,0,56,1679,24576,58,188.34
1788719941,2026-09-07T02:39:01+08:00,1,92,1669,24576,63,191.31
1788719971,2026-09-07T02:39:31+08:00,0,97,1679,24576,58,188.87
1788719971,2026-09-07T02:39:31+08:00,1,93,1669,24576,63,188.57
1788720001,2026-09-07T02:40:01+08:00,0,77,1679,24576,58,188.84
1788720001,2026-09-07T02:40:01+08:00,1,95,1669,24576,63,190.64
1788720031,2026-09-07T02:40:31+08:00,0,88,1679,24576,58,185.34
1788720031,2026-09-07T02:40:31+08:00,1,95,1669,24576,63,189.55
1788720061,2026-09-07T02:41:01+08:00,0,98,1679,24576,58,187.55
1788720061,2026-09-07T02:41:01+08:00,1,94,1669,24576,63,189.84
1788720091,2026-09-07T02:41:31+08:00,0,98,1681,24576,58,187.39
1788720091,2026-09-07T02:41:31+08:00,1,85,1669,24576,63,189.93
1788720122,2026-09-07T02:42:02+08:00,0,98,1681,24576,58,187.26
1788720122,2026-09-07T02:42:02+08:00,1,97,1669,24576,63,189.95
1788720152,2026-09-07T02:42:32+08:00,0,91,1681,24576,57,187.47
1788720152,2026-09-07T02:42:32+08:00,1,94,1669,24576,63,189.21
1788720182,2026-09-07T02:43:02+08:00,0,98,1681,24576,58,186.75
1788720182,2026-09-07T02:43:02+08:00,1,94,1669,24576,63,187.80
1788720212,2026-09-07T02:43:32+08:00,0,98,1681,24576,58,188.96
1788720212,2026-09-07T02:43:32+08:00,1,96,1669,24576,63,189.36
1788720242,2026-09-07T02:44:02+08:00,0,98,1681,24576,58,186.51
1788720242,2026-09-07T02:44:02+08:00,1,96,1669,24576,63,189.74
1788720272,2026-09-07T02:44:32+08:00,0,72,1681,24576,58,188.25
1788720272,2026-09-07T02:44:32+08:00,1,95,1669,24576,63,189.28
1788720302,2026-09-07T02:45:02+08:00,0,98,1681,24576,58,188.36
1788720302,2026-09-07T02:45:02+08:00,1,72,1669,24576,62,189.44
1788720332,2026-09-07T02:45:32+08:00,0,84,1681,24576,58,187.22
1788720332,2026-09-07T02:45:32+08:00,1,9,847,24576,58,134.02
1788720362,2026-09-07T02:46:02+08:00,0,64,1681,24576,58,187.12
1788720362,2026-09-07T02:46:02+08:00,1,16,847,24576,56,133.05
1788720392,2026-09-07T02:46:32+08:00,0,86,1681,24576,58,189.35
1788720392,2026-09-07T02:46:32+08:00,1,11,847,24576,55,132.32
1788720422,2026-09-07T02:47:02+08:00,0,97,1681,24576,58,188.44
1788720422,2026-09-07T02:47:02+08:00,1,93,1631,24576,59,187.25
1788720453,2026-09-07T02:47:33+08:00,0,98,1681,24576,58,188.25
1788720453,2026-09-07T02:47:33+08:00,1,93,1635,24576,61,188.58
1788720483,2026-09-07T02:48:03+08:00,0,98,1681,24576,59,187.25
1788720483,2026-09-07T02:48:03+08:00,1,91,1635,24576,62,188.40
1788720513,2026-09-07T02:48:33+08:00,0,97,1681,24576,59,189.81
1788720513,2026-09-07T02:48:33+08:00,1,94,1639,24576,63,189.46
1788720543,2026-09-07T02:49:03+08:00,0,98,1681,24576,59,188.51
1788720543,2026-09-07T02:49:03+08:00,1,93,1639,24576,63,190.31
1788720573,2026-09-07T02:49:33+08:00,0,96,1681,24576,59,188.40
1788720573,2026-09-07T02:49:33+08:00,1,94,1639,24576,64,191.95
1788720603,2026-09-07T02:50:03+08:00,0,98,1681,24576,59,184.20
1788720603,2026-09-07T02:50:03+08:00,1,93,1639,24576,64,192.42
1788720633,2026-09-07T02:50:33+08:00,0,88,1681,24576,59,187.77
1788720633,2026-09-07T02:50:33+08:00,1,96,1639,24576,64,193.35
1788720663,2026-09-07T02:51:03+08:00,0,85,1681,24576,59,187.56
