adapter,arm,exact_K_set_score,executed_steps,inputs,protocol,run,score,seed,selected_step,stage,status
trait_30min,state,2.376976490020752,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260906,1.5132296085357666,20260906,0,outer,COMPLETE
trait_5min,state,2.376976490020752,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260906,1.5132296085357666,20260906,0,outer,COMPLETE
history_120min,state,2.3767483234405518,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260907,1.5233708620071411,20260907,0,outer,COMPLETE
history_1min,state,2.3734755516052246,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260907,1.509584903717041,20260907,0,outer,COMPLETE
history_30min,state,2.376976490020752,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260907,1.5132296085357666,20260907,0,outer,COMPLETE
history_5min,state,2.376976490020752,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260907,1.5132296085357666,20260907,0,outer,COMPLETE
state_120min,state,2.3767483234405518,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260907,1.5233708620071411,20260907,0,outer,COMPLETE
state_1min,state,2.3734755516052246,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260907,1.509584903717041,20260907,0,outer,COMPLETE
state_30min,state,2.376976490020752,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260907,1.5132296085357666,20260907,0,outer,COMPLETE
state_5min,state,2.376976490020752,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260907,1.5132296085357666,20260907,0,outer,COMPLETE
state_history_120min,state,2.3767483234405518,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260907,1.5233708620071411,20260907,0,outer,COMPLETE
state_history_1min,state,2.3734755516052246,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260907,1.509584903717041,20260907,0,outer,COMPLETE
state_history_30min,state,2.376976490020752,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260907,1.5132296085357666,20260907,0,outer,COMPLETE
state_history_5min,state,2.376976490020752,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260907,1.5132296085357666,20260907,0,outer,COMPLETE
trait_120min,state,2.3767483234405518,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260907,1.5233708620071411,20260907,0,outer,COMPLETE
trait_1min,state,2.3734755516052246,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260907,1.509584903717041,20260907,0,outer,COMPLETE
trait_30min,state,2.376976490020752,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260907,1.5132296085357666,20260907,0,outer,COMPLETE
trait_5min,state,2.376976490020752,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260907,1.5132296085357666,20260907,0,outer,COMPLETE
history_120min,state,2.3767483234405518,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260908,1.5233708620071411,20260908,0,outer,COMPLETE
history_1min,state,2.3734755516052246,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260908,1.509584903717041,20260908,0,outer,COMPLETE
history_30min,state,2.376976490020752,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260908,1.5132296085357666,20260908,0,outer,COMPLETE
history_5min,state,2.376976490020752,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260908,1.5132296085357666,20260908,0,outer,COMPLETE
state_120min,state,2.3767483234405518,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260908,1.5233708620071411,20260908,0,outer,COMPLETE
state_1min,state,2.3734755516052246,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260908,1.509584903717041,20260908,0,outer,COMPLETE
state_30min,state,2.376976490020752,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260908,1.5132296085357666,20260908,0,outer,COMPLETE
state_5min,state,2.376976490020752,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260908,1.5132296085357666,20260908,0,outer,COMPLETE
state_history_120min,state,2.3767483234405518,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260908,1.5233708620071411,20260908,0,outer,COMPLETE
state_history_1min,state,2.3734755516052246,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260908,1.509584903717041,20260908,0,outer,COMPLETE
state_history_30min,state,2.376976490020752,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260908,1.5132296085357666,20260908,0,outer,COMPLETE
state_history_5min,state,2.376976490020752,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260908,1.5132296085357666,20260908,0,outer,COMPLETE
trait_120min,state,2.3767483234405518,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260908,1.5233708620071411,20260908,0,outer,COMPLETE
trait_1min,state,2.3734755516052246,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260908,1.509584903717041,20260908,0,outer,COMPLETE
trait_30min,state,2.376976490020752,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260908,1.5132296085357666,20260908,0,outer,COMPLETE
trait_5min,state,2.376976490020752,120,P_stats,S-E,epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260908,1.5132296085357666,20260908,0,outer,COMPLETE
history_120min,state,2.300908327102661,140,P_marks,S-ID,epilepsiae_1125__S-ID__sid__P_marks__I-L-G1__state__persistent__seed20260906,1.656930685043335,20260906,20,sid,COMPLETE
history_1min,state,2.354323625564575,140,P_marks,S-ID,epilepsiae_1125__S-ID__sid__P_marks__I-L-G1__state__persistent__seed20260906,1.713944911956787,20260906,20,sid,COMPLETE
history_30min,state,2.3860740661621094,140,P_marks,S-ID,epilepsiae_1125__S-ID__sid__P_marks__I-L-G1__state__persistent__seed20260906,1.7651443481445312,20260906,20,sid,COMPLETE
history_5min,state,2.355642795562744,140,P_marks,S-ID,epilepsiae_1125__S-ID__sid__P_marks__I-L-G1__state__persistent__seed20260906,1.7160946130752563,20260906,20,sid,COMPLETE
state_120min,state,2.2253804206848145,120,P_marks,S-ID,epilepsiae_1125__S-ID__sid__P_marks__I-L-G1__state__persistent__seed20260906,1.6058284044265747,20260906,0,sid,COMPLETE
state_1min,state,2.24580454826355,120,P_marks,S-ID,epilepsiae_1125__S-ID__sid__P_marks__I-L-G1__state__persistent__seed20260906,1.6097601652145386,20260906,0,sid,COMPLETE
state_30min,state,2.24580454826355,120,P_marks,S-ID,epilepsiae_1125__S-ID__sid__P_marks__I-L-G1__state__persistent__seed20260906,1.6097601652145386,20260906,0,sid,COMPLETE
state_5min,state,2.24580454826355,120,P_marks,S-ID,epilepsiae_1125__S-ID__sid__P_marks__I-L-G1__state__persistent__seed20260906,1.6097601652145386,20260906,0,sid,COMPLETE
state_history_120min,state,2.2253804206848145,120,P_marks,S-ID,epilepsiae_1125__S-ID__sid__P_marks__I-L-G1__state__persistent__seed20260906,1.6058284044265747,20260906,0,sid,COMPLETE
state_history_1min,state,2.24580454826355,120,P_marks,S-ID,epilepsiae_1125__S-ID__sid__P_marks__I-L-G1__state__persistent__seed20260906,1.6097601652145386,20260906,0,sid,COMPLETE
state_history_30min,state,2.24580454826355,120,P_marks,S-ID,epilepsiae_1125__S-ID__sid__P_marks__I-L-G1__state__persistent__seed20260906,1.6097601652145386,20260906,0,sid,COMPLETE
state_history_5min,state,2.24580454826355,120,P_marks,S-ID,epilepsiae_1125__S-ID__sid__P_marks__I-L-G1__state__persistent__seed20260906,1.6097601652145386,20260906,0,sid,COMPLETE
trait_120min,state,2.27189040184021,140,P_marks,S-ID,epilepsiae_1125__S-ID__sid__P_marks__I-L-G1__state__persistent__seed20260906,1.6477991342544556,20260906,20,sid,COMPLETE
trait_1min,state,2.294922351837158,140,P_marks,S-ID,epilepsiae_1125__S-ID__sid__P_marks__I-L-G1__state__persistent__seed20260906,1.6559298038482666,20260906,20,sid,COMPLETE
trait_30min,state,2.294922351837158,140,P_marks,S-ID,epilepsiae_1125__S-ID__sid__P_marks__I-L-G1__state__persistent__seed20260906,1.6559298038482666,20260906,20,sid,COMPLETE
trait_5min,state,2.294922351837158,140,P_marks,S-ID,epilepsiae_1125__S-ID__sid__P_marks__I-L-G1__state__persistent__seed20260906,1.6559298038482666,20260906,20,sid,COMPLETE
history_120min,state,2.300908327102661,140,P_stats,S-ID,epilepsiae_1125__S-ID__sid__P_stats__I-L-G1__state__persistent__seed20260906,1.656930685043335,20260906,20,sid,COMPLETE
history_1min,state,2.354323625564575,140,P_stats,S-ID,epilepsiae_1125__S-ID__sid__P_stats__I-L-G1__state__persistent__seed20260906,1.713944911956787,20260906,20,sid,COMPLETE
history_30min,state,2.3860740661621094,140,P_stats,S-ID,epilepsiae_1125__S-ID__sid__P_stats__I-L-G1__state__persistent__seed20260906,1.7651443481445312,20260906,20,sid,COMPLETE
history_5min,state,2.355642795562744,140,P_stats,S-ID,epilepsiae_1125__S-ID__sid__P_stats__I-L-G1__state__persistent__seed20260906,1.7160946130752563,20260906,20,sid,COMPLETE
state_120min,state,2.2253804206848145,120,P_stats,S-ID,epilepsiae_1125__S-ID__sid__P_stats__I-L-G1__state__persistent__seed20260906,1.6058284044265747,20260906,0,sid,COMPLETE
state_1min,state,2.24580454826355,120,P_stats,S-ID,epilepsiae_1125__S-ID__sid__P_stats__I-L-G1__state__persistent__seed20260906,1.6097601652145386,20260906,0,sid,COMPLETE
state_30min,state,2.24580454826355,120,P_stats,S-ID,epilepsiae_1125__S-ID__sid__P_stats__I-L-G1__state__persistent__seed20260906,1.6097601652145386,20260906,0,sid,COMPLETE
state_5min,state,2.24580454826355,120,P_stats,S-ID,epilepsiae_1125__S-ID__sid__P_stats__I-L-G1__state__persistent__seed20260906,1.6097601652145386,20260906,0,sid,COMPLETE
state_history_120min,state,2.2253804206848145,120,P_stats,S-ID,epilepsiae_1125__S-ID__sid__P_stats__I-L-G1__state__persistent__seed20260906,1.6058284044265747,20260906,0,sid,COMPLETE
state_history_1min,state,2.24580454826355,120,P_stats,S-ID,epilepsiae_1125__S-ID__sid__P_stats__I-L-G1__state__persistent__seed20260906,1.6097601652145386,20260906,0,sid,COMPLETE
state_history_30min,state,2.24580454826355,120,P_stats,S-ID,epilepsiae_1125__S-ID__sid__P_stats__I-L-G1__state__persistent__seed20260906,1.6097601652145386,20260906,0,sid,COMPLETE
state_history_5min,state,2.24580454826355,120,P_stats,S-ID,epilepsiae_1125__S-ID__sid__P_stats__I-L-G1__state__persistent__seed20260906,1.6097601652145386,20260906,0,sid,COMPLETE
trait_120min,state,2.27189040184021,140,P_stats,S-ID,epilepsiae_1125__S-ID__sid__P_stats__I-L-G1__state__persistent__seed20260906,1.6477991342544556,20260906,20,sid,COMPLETE
trait_1min,state,2.294922351837158,140,P_stats,S-ID,epilepsiae_1125__S-ID__sid__P_stats__I-L-G1__state__persistent__seed20260906,1.6559298038482666,20260906,20,sid,COMPLETE
trait_30min,state,2.294922351837158,140,P_stats,S-ID,epilepsiae_1125__S-ID__sid__P_stats__I-L-G1__state__persistent__seed20260906,1.6559298038482666,20260906,20,sid,COMPLETE
trait_5min,state,2.294922351837158,140,P_stats,S-ID,epilepsiae_1125__S-ID__sid__P_stats__I-L-G1__state__persistent__seed20260906,1.6559298038482666,20260906,20,sid,COMPLETE
