comparison,descriptive_hour_block_ci_high,descriptive_hour_block_ci_low,gain,horizon,n_hour_blocks,n_targets,protocol,seed,units,view
P_marks_state_over_P_stats_state,-1.9795346795882283,-5.458502089281876,-3.700985303291908,120,61,117,S-E,20260906,117.0,count
P_marks_state_over_marked_history,-2.0205048764757856,-5.755085545370033,-3.839846574852609,120,61,117,S-E,20260906,117.0,count
P_marks_state_over_fixed_marked_history,-2.0597318324393084,-6.130717920299527,-3.954154906109867,120,61,117,S-E,20260906,117.0,count
P_marks_state_over_constant_state,-1.9049541459943982,-5.966682608699662,-3.8316092735681777,120,61,117,S-E,20260906,117.0,count
P_marks_state_over_P_stats_state,-1.3121976328677818,-2.885542720442261,-2.0820364991172413,120,40,61,S-E,20260906,61.0,spatial
P_marks_state_over_marked_history,-2.3309820376439605,-5.402276579968734,-3.7687412031361314,120,40,61,S-E,20260906,61.0,spatial
P_marks_state_over_fixed_marked_history,-2.089498924057626,-5.072112451945913,-3.525601635213758,120,40,61,S-E,20260906,61.0,spatial
P_marks_state_over_constant_state,-1.9613171834884022,-4.805904060064769,-3.3003613421174345,120,40,61,S-E,20260906,61.0,spatial
P_marks_state_over_P_stats_state,0.090824994755222,-0.15799179630019738,-0.046073407568830126,120,40,61,S-E,20260906,5264.0,morphology
P_marks_state_over_marked_history,-0.3098372044331175,-0.6011678839855206,-0.44866020972967874,120,40,61,S-E,20260906,5264.0,morphology
P_marks_state_over_fixed_marked_history,-0.30102442590340095,-0.5728131972535119,-0.4356068283953565,120,40,61,S-E,20260906,5264.0,morphology
P_marks_state_over_constant_state,-0.28778520230950366,-0.5468190639184279,-0.41288786456215343,120,40,61,S-E,20260906,5264.0,morphology
P_marks_state_over_P_stats_state,-1.3468406527273125,-2.6980376762057108,-2.004156859194646,120,40,61,S-E,20260906,61.0,load
P_marks_state_over_marked_history,-2.04535198042851,-3.969122511991384,-2.9645973209474907,120,40,61,S-E,20260906,61.0,load
P_marks_state_over_fixed_marked_history,-2.141358445183287,-4.2085354560861985,-3.1312425478560026,120,40,61,S-E,20260906,61.0,load
P_marks_state_over_constant_state,-2.214456952435392,-4.367138409419138,-3.3240519718068544,120,40,61,S-E,20260906,61.0,load
P_marks_state_over_P_stats_state,-4.39526159861214,-10.493136773362973,-7.38807568359375,1,65,125,S-E,20260907,125.0,count
P_marks_state_over_marked_history,-4.446648150628198,-10.905285283289556,-7.51397447681427,1,65,125,S-E,20260907,125.0,count
P_marks_state_over_fixed_marked_history,-4.433597782081131,-10.608888135098669,-7.373153767108917,1,65,125,S-E,20260907,125.0,count
P_marks_state_over_constant_state,-4.124337160312944,-10.643758679490402,-7.264795475006103,1,65,125,S-E,20260907,125.0,count
P_marks_state_over_P_stats_state,-1.4726282451738473,-3.0538538710637524,-2.1900729201734066,1,42,64,S-E,20260907,64.0,spatial
P_marks_state_over_marked_history,-1.203090054858477,-3.161143692761127,-2.099799819290638,1,42,64,S-E,20260907,64.0,spatial
P_marks_state_over_fixed_marked_history,-1.244015828121954,-3.1704562530402214,-2.1472719088196754,1,42,64,S-E,20260907,64.0,spatial
P_marks_state_over_constant_state,-0.8266619409575608,-2.6894575600998074,-1.7006147969514132,1,42,64,S-E,20260907,64.0,spatial
P_marks_state_over_P_stats_state,-0.1857728220176388,-0.36727937909727587,-0.26869150161743166,1,42,64,S-E,20260907,5750.0,morphology
P_marks_state_over_marked_history,-0.2222355438143147,-0.448671892368272,-0.3282280328170113,1,42,64,S-E,20260907,5750.0,morphology
P_marks_state_over_fixed_marked_history,-0.21574609932336675,-0.439261946571097,-0.32264809218696927,1,42,64,S-E,20260907,5750.0,morphology
P_marks_state_over_constant_state,-0.19506560086436195,-0.41250010905554385,-0.2971868193253227,1,42,64,S-E,20260907,5750.0,morphology
P_marks_state_over_P_stats_state,-1.5628385889984258,-2.547324062996999,-2.037571109831333,1,42,64,S-E,20260907,64.0,load
P_marks_state_over_marked_history,-1.9469070130419122,-3.2135709800880083,-2.5550352772697806,1,42,64,S-E,20260907,64.0,load
P_marks_state_over_fixed_marked_history,-1.714496988041805,-2.9491833070226208,-2.3235691944137216,1,42,64,S-E,20260907,64.0,load
P_marks_state_over_constant_state,-2.058152950062202,-3.3587898777820397,-2.718247710261494,1,42,64,S-E,20260907,64.0,load
P_marks_state_over_P_stats_state,-4.054090249447595,-10.050757080406912,-6.85700047977509,5,64,124,S-E,20260907,124.0,count
P_marks_state_over_marked_history,-3.872358579672594,-10.138613117497963,-6.874147514181752,5,64,124,S-E,20260907,124.0,count
P_marks_state_over_fixed_marked_history,-3.727533150239597,-9.317877753284431,-6.432586387040153,5,64,124,S-E,20260907,124.0,count
P_marks_state_over_constant_state,-3.700440149126516,-9.988872824159879,-6.747315685595235,5,64,124,S-E,20260907,124.0,count
P_marks_state_over_P_stats_state,-1.3345548375792466,-2.8206978170141097,-2.011831287353758,5,41,63,S-E,20260907,63.0,spatial
P_marks_state_over_marked_history,-1.1002680767666213,-2.8597541424945696,-1.928708246776036,5,41,63,S-E,20260907,63.0,spatial
P_marks_state_over_fixed_marked_history,-1.1877358245533527,-3.0277963034814452,-2.032646207582383,5,41,63,S-E,20260907,63.0,spatial
P_marks_state_over_constant_state,-0.661947871834498,-2.4566894379594637,-1.4957352573909457,5,41,63,S-E,20260907,63.0,spatial
P_marks_state_over_P_stats_state,-0.1693582232660892,-0.3467201890507739,-0.2482455839552931,5,41,63,S-E,20260907,5633.0,morphology
P_marks_state_over_marked_history,-0.1967432994233928,-0.4130240458733635,-0.3011952088185193,5,41,63,S-E,20260907,5633.0,morphology
P_marks_state_over_fixed_marked_history,-0.18866128543890934,-0.4085859184163891,-0.29235790746368184,5,41,63,S-E,20260907,5633.0,morphology
P_marks_state_over_constant_state,-0.17072768119944745,-0.38533831443333866,-0.27227666368286413,5,41,63,S-E,20260907,5633.0,morphology
P_marks_state_over_P_stats_state,-1.4742518031200316,-2.489293973440956,-1.9840083273630293,5,41,63,S-E,20260907,63.0,load
P_marks_state_over_marked_history,-1.8111079261616128,-3.0462646800302196,-2.444662302259415,5,41,63,S-E,20260907,63.0,load
P_marks_state_over_fixed_marked_history,-1.533181101665657,-2.686953510713778,-2.0926243303314087,5,41,63,S-E,20260907,63.0,load
P_marks_state_over_constant_state,-1.9539881143069857,-3.312743705087009,-2.624204562296943,5,41,63,S-E,20260907,63.0,load
P_marks_state_over_P_stats_state,-3.994778911158689,-9.78634640670513,-6.898535342720466,30,63,123,S-E,20260907,123.0,count
P_marks_state_over_marked_history,-3.823436278036464,-9.950551020740532,-6.917794750957954,30,63,123,S-E,20260907,123.0,count
P_marks_state_over_fixed_marked_history,-3.797891746834212,-9.352580586760755,-6.466798096895218,30,63,123,S-E,20260907,123.0,count
P_marks_state_over_constant_state,-3.775430630786766,-10.16311455788996,-6.790374259638592,30,63,123,S-E,20260907,123.0,count
P_marks_state_over_P_stats_state,-1.274786735147543,-2.791935387831746,-2.006132716224307,30,41,63,S-E,20260907,63.0,spatial
P_marks_state_over_marked_history,-1.0522167320858704,-2.8501932636426206,-1.9266802053602914,30,41,63,S-E,20260907,63.0,spatial
P_marks_state_over_fixed_marked_history,-1.187797473956208,-3.0060697130833645,-2.0305952590609353,30,41,63,S-E,20260907,63.0,spatial
P_marks_state_over_constant_state,-0.6293525961030164,-2.4400085972419934,-1.4920887398341345,30,41,63,S-E,20260907,63.0,spatial
P_marks_state_over_P_stats_state,-0.16432005721787254,-0.339320973157449,-0.24707577890091037,30,41,63,S-E,20260907,5633.0,morphology
P_marks_state_over_marked_history,-0.19591737430358297,-0.4218370423571263,-0.2993629343150332,30,41,63,S-E,20260907,5633.0,morphology
P_marks_state_over_fixed_marked_history,-0.18886193433198925,-0.4042843319914726,-0.29032999580799107,30,41,63,S-E,20260907,5633.0,morphology
P_marks_state_over_constant_state,-0.17161304688942194,-0.37530429184078623,-0.2705049485989284,30,41,63,S-E,20260907,5633.0,morphology
