comparison,descriptive_hour_block_ci_high,descriptive_hour_block_ci_low,gain,horizon,n_hour_blocks,n_targets,protocol,seed,units,view
P_marks_state_over_marked_history,0.1307403340935707,-0.08720680202047029,0.027752210696538288,30,24,24,S-ID,20260906,24.0,count
P_marks_state_over_P_stats_state,0.14628785337720585,-0.09414865119116647,0.011109488351004464,30,14,14,S-ID,20260906,14.0,spatial
P_marks_state_over_marked_history,0.3645793352808271,-0.10411923953465053,0.11161480631147112,30,14,14,S-ID,20260906,14.0,spatial
P_marks_state_over_P_stats_state,0.007994076417473553,-0.023846974547485786,-0.005884485635143971,30,14,14,S-ID,20260906,1026.0,morphology
P_marks_state_over_marked_history,0.02581758957709833,-0.028537172788329908,-0.003924410710325483,30,14,14,S-ID,20260906,1026.0,morphology
P_marks_state_over_P_stats_state,0.03963399018560136,-0.07318525314331055,-0.012651903288705009,30,14,14,S-ID,20260906,14.0,load
P_marks_state_over_marked_history,0.0699585146137646,-0.13483065483825546,-0.030098983219691684,30,14,14,S-ID,20260906,14.0,load
P_marks_state_over_P_stats_state,0.08181540398370651,-0.033780869983491446,0.02454883711678641,120,21,21,S-ID,20260906,21.0,count
P_marks_state_over_marked_history,0.07506296549524576,-0.03778752684593201,0.016867194856916155,120,21,21,S-ID,20260906,21.0,count
P_marks_state_over_P_stats_state,0.17960116404753465,-0.0901260128388038,0.02308372350839468,120,13,13,S-ID,20260906,13.0,spatial
P_marks_state_over_marked_history,0.2430438390144935,-0.09501151282053727,0.050653705230126016,120,13,13,S-ID,20260906,13.0,spatial
P_marks_state_over_P_stats_state,0.010081375537346622,-0.023638038996953083,-0.003734031793598516,120,13,13,S-ID,20260906,918.0,morphology
P_marks_state_over_marked_history,0.034467918683746435,-0.013483288095708479,0.0038233904537292346,120,13,13,S-ID,20260906,918.0,morphology
P_marks_state_over_P_stats_state,0.04870431285638075,-0.06707045298356276,-0.010839462280273438,120,13,13,S-ID,20260906,13.0,load
P_marks_state_over_marked_history,0.06469326489246806,-0.10052629330983529,-0.014160779806283804,120,13,13,S-ID,20260906,13.0,load
