subject,dataset,condition,seed,n_events,n_contacts,whole_participation_mae,whole_rank_wasserstein,whole_precedence_mae,whole_precedence_correlation,whole_participant_count_mean_error,whole_event_length_mean_error,suffix_participation_mae,suffix_rank_wasserstein,suffix_precedence_mae,suffix_precedence_correlation,suffix_participant_count_mean_error,suffix_event_length_mean_error,event_length_wasserstein,stop_hazard_mae,sink_distribution_mae,source_sink_distance_wasserstein,generated_zero_suffix_fraction,mode_prevalence_error,mode_margin_error,template_error,template_correlation,transition_mae,transition_correlation,signed_axis_wasserstein,axis_concentration_error,axis_side_prevalence_error,generated_axis_concentration,generated_axis_positive_fraction,generated_direction_support,mode_readback_reliable,axis_readback_reliable,axis_side_support,global_readback_eligible,suffix_participation_mae__within_empirical,suffix_rank_wasserstein__within_empirical,suffix_precedence_mae__within_empirical,n_local_endpoints_within_empirical,template_within_empirical,axis_within_empirical
epilepsiae_1073,epilepsiae,constant_stop,20260726.0,27655.0,6.0,0.2484360875067799,0.0887999891475279,0.1170359817099688,0.32406887545432,-0.0419815584885192,-0.0419815584885192,0.24843608750678,0.0998149970248999,0.1165185546782807,-0.178708560013038,-0.0419815584885192,-0.0419815584885192,0.2020249502802386,0.3156891363466265,0.1111673597300066,,0.2277707467004158,0.31386729343699143,0.0015698941158691637,0.17142857142857137,0.8285714285714286,0.11143285168465494,0.21784098254686485,,,,,,False,True,False,False,False,False,True,True,2,True,False
epilepsiae_1073,epilepsiae,full_constructive,20260726.0,27655.0,6.0,0.2629964442837341,0.0855432953403519,0.1141814322602624,0.3515582494592836,0.899837280781052,0.899837280781052,0.2629964442837342,0.08958667455574,0.112776755628171,-0.1878232119039201,0.899837280781052,0.899837280781052,0.1499728801301753,0.1694120801441217,0.1061773036822756,,0.0,0.22024950280238648,0.018113175412034166,0.17142857142857137,0.8285714285714286,0.11231248858829046,0.25895281189398833,,,,,,False,True,False,False,False,False,True,True,2,True,False
epilepsiae_1073,epilepsiae,history_h1,20260726.0,27655.0,6.0,0.2597541131802567,0.0848126337609181,0.1140148023884373,0.3507547473816425,0.899837280781052,0.899837280781052,0.2597541131802567,0.0888878345407508,0.1103816605755851,-0.170706536802014,0.899837280781052,0.899837280781052,0.1499728801301753,0.1694120801441217,0.1057072259386488,,0.0,0.21829687217501353,0.018386120112320686,0.17142857142857137,0.8285714285714286,0.11113628109299196,0.24188752424046542,,,,,,False,True,False,False,False,False,True,True,2,True,False
epilepsiae_1073,epilepsiae,history_h2,20260726.0,27655.0,6.0,0.2623696739588983,0.085371971820878,0.1140076229363976,0.3522954285897073,0.899837280781052,0.899837280781052,0.2623696739588983,0.0895133897232255,0.1124290370856255,-0.1856701312644298,0.899837280781052,0.899837280781052,0.1499728801301753,0.1694120801441217,0.1059965045501114,,0.0,0.2200325438437895,0.018286001334737956,0.17142857142857137,0.8285714285714286,0.1122704467358411,0.248093083387201,,,,,,False,True,False,False,False,False,True,True,2,True,False
epilepsiae_1073,epilepsiae,no_termination,20260726.0,27655.0,6.0,0.4137889471463871,0.1048995871714871,0.1116713573244608,0.300749195928264,2.482733682878322,2.482733682878322,0.4137889471463871,0.1335738268572436,0.1246279947831438,-0.164870555678737,2.482733682878322,2.482733682878322,0.4137889471463871,0.3519502552668882,0.1234978605436027,,0.0,0.23427951545832576,0.03537988997013142,0.19999999999999996,0.8,0.11145920520821101,0.17543632837750484,,,,,,False,True,False,False,False,False,True,True,2,True,False
epilepsiae_1073,epilepsiae,static_only,20260726.0,27655.0,6.0,0.2534140902790333,0.0845526372780805,0.1138055336121858,0.3354958727892562,0.899837280781052,0.899837280781052,0.2534140902790333,0.086803966945254,0.1011418419058908,-0.13693183713433,0.899837280781052,0.899837280781052,0.1499728801301753,0.1694120801441217,0.1069366600373651,,0.0,0.22426324353643096,0.018040331366866058,0.17142857142857137,0.8285714285714286,0.10845952660945889,0.23232062055591463,,,,,,False,True,False,False,False,False,True,True,2,True,False
epilepsiae_1073,epilepsiae,static_shuffle,20260726.0,27655.0,6.0,0.2639968661483758,0.0864224417877114,0.1124849260607281,0.3415251149011179,0.899837280781052,0.899837280781052,0.2639968661483758,0.0928902496082419,0.1234459597495853,-0.3464047776651818,0.899837280781052,0.899837280781052,0.1499728801301753,0.1694120801441217,0.1061773036822756,,0.0,0.22100885915747598,0.01760540168786079,0.17142857142857137,0.8285714285714286,0.11231248858829046,0.2403361344537815,,,,,,False,True,False,False,False,False,True,True,2,True,False
epilepsiae_1077,epilepsiae,constant_stop,20260726.0,6476.0,6.0,0.1464123944821906,0.1006246041704331,0.1953296308917783,0.5144691716823996,-0.7716182828906732,-0.7716182828906732,0.1464123944821906,0.1815243236837765,0.2861343231279573,0.0289431222456531,-0.7716182828906732,-0.7716182828906732,0.1749022030059707,0.2313164780628977,0.0932674490426189,0.2487384271975029,0.2682211241507103,0.24150710315009266,0.11339828514667472,0.22857142857142854,0.7714285714285715,0.08593289361516815,0.6623141564318034,0.06785290108422014,0.04650040270418565,0.04287527268049374,0.8449670811679503,0.27326440177252587,True,True,True,True,True,False,False,False,0,False,False
epilepsiae_1077,epilepsiae,full_constructive,20260726.0,6476.0,6.0,0.066064443071855,0.0639274197423515,0.1309305017426649,0.7927708925086596,-0.2472205064854846,-0.2472205064854846,0.066064443071855,0.1285947194569495,0.2161680703181248,0.0033993773361127,-0.2472205064854846,-0.2472205064854846,0.0412034177475808,0.0491398986709718,0.0379864113650401,0.0560855209861305,0.0001544163063619,0.044471896232242125,0.05509008544673677,0.1428571428571428,0.8571428571428572,0.0684742666397011,0.8329670329670328,0.052398618527070256,0.048663113126091284,0.0277949351451513,0.8428043707460446,0.25818406423718343,True,True,True,True,True,False,False,False,0,False,False
epilepsiae_1077,epilepsiae,history_h1,20260726.0,6476.0,6.0,0.0557185505456042,0.0628669122563877,0.1328673498895493,0.7876422678542857,-0.2472205064854846,-0.2472205064854846,0.0557185505456042,0.1372627329098161,0.2210871771454255,-0.038576866122444,-0.2472205064854846,-0.2472205064854846,0.0412034177475808,0.0491398986709718,0.0389129092032118,0.0482436867732627,0.0001544163063619,0.040148239654107465,0.0536719928881014,0.1428571428571428,0.8571428571428572,0.06666235772347885,0.8329670329670328,0.04450632240646325,0.035843080406768424,0.03350833848054352,0.8556244034653675,0.26389746757257565,True,True,True,True,True,False,False,False,0,False,False
