id,topology,noise,mode,contact,n,mean,median,variance,q05,q95
patient_FIT,,,ALL,SCL9,11888,-3.652899842082572,-2.10882568359375,130.7466874002251,-23.862594604492188,9.275634765624998
patient_FIT,,,ALL,SCL8,11888,1.8777304775461374,2.11376953125,40.846233890862315,-8.648318481445312,11.505941772460938
patient_FIT,,,ALL,SCL7,11888,0.6650476842356563,0.191986083984375,49.27366357532807,-9.1130615234375,12.530969238281243
patient_FIT,,,ALL,SCL6,11888,1.110121680300778,0.4578857421875,71.43760202180127,-10.875874328613282,15.820941162109373
patient_FIT,,,TA,SCL9,8779,-4.056560612170242,-2.318359375,126.0525061550759,-24.504388427734376,8.585131835937501
patient_FIT,,,TA,SCL8,8779,2.3825275063962814,2.5556640625,39.1075503248971,-7.956665802001953,12.010354614257816
patient_FIT,,,TA,SCL7,8779,0.1996871762699901,-0.2949371337890625,47.24918808366173,-9.4208984375,12.202539062500005
patient_FIT,,,TA,SCL6,8779,1.4743459295039705,0.7401123046875,70.09554110349436,-10.58184814453125,16.2134521484375
patient_FIT,,,TB,SCL9,3109,-2.5130677737005658,-1.50537109375,142.2867567651964,-22.480517578125,10.566339111328125
patient_FIT,,,TB,SCL8,3109,0.45231615902718797,0.84136962890625,43.01774632707497,-10.3970458984375,9.492822265625
patient_FIT,,,TB,SCL7,3109,1.9791036184365514,1.6748046875,52.668287698735455,-8.1815185546875,13.539978027343745
patient_FIT,,,TB,SCL6,3109,0.0816479962368263,-0.2725830078125,73.81818835522593,-12.07415771484375,14.536492919921873
t2511_n847401,2511.0,847401.0,ALL,SCL9,66,2.5995938226412747,4.729921821065091,71.4842909282081,-7.194542756053124,10.9554900222156
t2511_n847401,2511.0,847401.0,ALL,SCL8,66,1.0356977462131074,2.5981277050432254,6.55091945776462,-2.883894057845282,2.7351282109912063
t2511_n847401,2511.0,847401.0,ALL,SCL7,66,1.0830514945892404,-2.0338720140221085,22.269839222540963,-2.652603251821347,9.952885243968012
t2511_n847401,2511.0,847401.0,ALL,SCL6,66,-4.718343063443489,-9.398375581726214,57.258142676320865,-11.206693817778614,7.636084706425208
t2511_n847401,2511.0,847401.0,TA,SCL9,26,-5.936794958040782,-5.9995645298304225,3.496810370710731,-9.055104524184117,-2.0144985643601103
t2511_n847401,2511.0,847401.0,TA,SCL8,26,-1.0574013621299996,-2.2342732808965593,4.468093199028619,-3.4387009437493816,2.458017859233223
t2511_n847401,2511.0,847401.0,TA,SCL7,26,4.920637496834265,4.7556130264893,20.083435865739524,-0.9061444678804946,10.342492162964845
t2511_n847401,2511.0,847401.0,TA,SCL6,26,2.0735588233378097,2.093820995592978,36.925491398222064,-6.524999919132824,10.901671207768231
t2511_n847401,2511.0,847401.0,TB,SCL9,40,8.148246530084611,10.847061079413152,36.742013014466956,-5.979291748384162,10.987157377465792
t2511_n847401,2511.0,847401.0,TB,SCL8,40,2.396212166636127,2.659636051797861,3.2348665241233596,-0.9232512318433461,2.7895306746629984
t2511_n847401,2511.0,847401.0,TB,SCL7,40,-1.4113794068700258,-2.475350380907912,8.042628397312257,-2.663394179395277,6.392445445205542
t2511_n847401,2511.0,847401.0,TB,SCL6,40,-9.133079289851333,-10.971367683938297,21.017126636506315,-11.218791278663502,0.24193657120602657
t2511_n847402,2511.0,847402.0,ALL,SCL9,73,2.637106614868322,0.7819858094735537,68.09205228794332,-7.150475432709209,11.011686779768207
t2511_n847402,2511.0,847402.0,ALL,SCL8,73,1.737655679096113,2.578726353858656,7.329979511580515,-2.8406005448749054,3.9202852341113585
t2511_n847402,2511.0,847402.0,ALL,SCL7,73,1.3086392556754318,-1.6429439280473161,25.87513782215067,-2.6701367470475814,10.71276671099822
t2511_n847402,2511.0,847402.0,ALL,SCL6,73,-5.683401549640359,-8.928631768387277,48.92706308979028,-11.164882000947546,7.468064349953783
t2511_n847402,2511.0,847402.0,TA,SCL9,27,-5.60559140636958,-5.335308905981947,1.2874791084348898,-7.220472327729294,-4.101933378710237
t2511_n847402,2511.0,847402.0,TA,SCL8,27,-0.43308636895225966,-1.8133387515117647,5.859114001388317,-2.9563675015932405,2.9819905566275335
t2511_n847402,2511.0,847402.0,TA,SCL7,27,5.1046155998184854,1.6406383440607897,23.53513021411328,0.044581028560787675,11.132143498312915
t2511_n847402,2511.0,847402.0,TA,SCL6,27,0.9340621755027819,5.3297039705794305,46.79153970995617,-8.103230410692777,7.750431322431905
t2511_n847402,2511.0,847402.0,TB,SCL9,46,7.475211975160135,10.813101024792559,43.51073955302023,-6.6629914785881965,11.044410900638468
t2511_n847402,2511.0,847402.0,TB,SCL8,46,3.0117868812114623,2.667545067881292,3.8559426224635485,2.0877272012571666,7.982904215061353
t2511_n847402,2511.0,847402.0,TB,SCL7,46,-0.9194338158867951,-2.4837190789494343,14.081855833840452,-2.6975846749664925,9.016243475809915
t2511_n847402,2511.0,847402.0,TB,SCL6,46,-9.567565040485247,-10.967162898647075,9.551706817179301,-11.186140063478888,-4.673669869031983
t2711_n847401,2711.0,847401.0,ALL,SCL9,131,1.7127537397870847,-1.1542615100224793,45.80884450812156,-5.507435437424647,11.016714214465992
t2711_n847401,2711.0,847401.0,ALL,SCL8,131,-0.3416295924079843,-1.9929419270374638,7.491981419393255,-3.6193350072644535,3.1965577977707653
t2711_n847401,2711.0,847401.0,ALL,SCL7,131,-0.896069218976632,-0.33570537412015256,3.3710585525580448,-2.883803039268969,1.0059776252119264
t2711_n847401,2711.0,847401.0,ALL,SCL6,131,-0.47505492840238506,4.332940309323021,62.279034406606335,-11.389904205062976,6.70657004972054
t2711_n847401,2711.0,847401.0,TA,SCL9,69,-3.0912688876962116,-4.1730128866074665,6.993752559472003,-5.588710484890908,2.493897281654062
t2711_n847401,2711.0,847401.0,TA,SCL8,69,-2.317718274149987,-2.119808458875923,0.748146717554283,-3.909106676625379,-1.8936885751514638
t2711_n847401,2711.0,847401.0,TA,SCL7,69,-0.07145971429949698,0.15966568847579765,2.8654576083041063,-2.7806558860986117,0.9200852572990691
t2711_n847401,2711.0,847401.0,TA,SCL6,69,5.480446876144832,5.992613587008236,3.4013829717570356,3.3831084418998216,6.805485675852105
t2711_n847401,2711.0,847401.0,TB,SCL9,62,7.059166018760431,10.788291872190712,34.67103611675641,-4.544537962241793,11.04715516734941
t2711_n847401,2711.0,847401.0,TB,SCL8,62,1.8575658759823088,3.057465550627967,5.799723226725258,-2.3598955554956773,3.3671900018931176
t2711_n847401,2711.0,847401.0,TB,SCL7,62,-1.8137797967624758,-2.7068639055796666,2.3647847402432443,-2.8884307804793936,1.3266941538218806
t2711_n847401,2711.0,847401.0,TB,SCL6,62,-7.102952097979126,-11.035343839921552,44.16539369238979,-11.45703691854833,6.03265247836971
t2711_n847402,2711.0,847402.0,ALL,SCL9,146,2.59433301887522,1.1616276075974383,50.68400713153072,-5.2260272284056555,10.99613820941022
t2711_n847402,2711.0,847402.0,ALL,SCL8,146,0.0018952871524461816,-1.9518554337209935,8.966476245196699,-3.6925358958899324,3.290022431442594
t2711_n847402,2711.0,847402.0,ALL,SCL7,146,-1.0126655519371457,-0.8868652296114305,3.142746277999725,-2.901504359944738,0.8901107061901712
t2711_n847402,2711.0,847402.0,ALL,SCL6,146,-1.583562754089969,3.698366753034861,77.66529270075816,-11.40188523093002,6.682535181509593
t2711_n847402,2711.0,847402.0,TA,SCL9,61,-3.196742398925686,-4.318004494612978,7.391635186071205,-5.3199225001299055,2.6210170955382637
t2711_n847402,2711.0,847402.0,TA,SCL8,61,-2.3717417347781193,-2.12473135593973,0.4281731742019449,-3.826392985887651,-1.922675707253802
t2711_n847402,2711.0,847402.0,TA,SCL7,61,-0.18422059804019317,0.2952465438065701,1.2907149767274908,-2.7892577743696165,0.7290068992915621
t2711_n847402,2711.0,847402.0,TA,SCL6,61,5.752704731744811,6.162520348283579,1.114022272638071,3.474956473102793,6.6930246509218705
t2711_n847402,2711.0,847402.0,TB,SCL9,85,6.7502812598852815,10.781531530086795,40.379060800802435,-4.949051313752716,11.01492464078765
t2711_n847402,2711.0,847402.0,TB,SCL8,85,1.705328914655558,3.066110880856286,8.144309871375551,-2.967595676665951,4.051130096500856
t2711_n847402,2711.0,847402.0,TB,SCL7,85,-1.607196636498488,-2.6577528754642117,3.6469644675370296,-2.9015297528210793,1.7899754484380517
