id,topology,noise,mode,centroid_order,n,denominator,fraction
patient_FIT,,,TB,SCL8>SCL6>SCL7>SCL9,77,3109,0.024766806046960438
patient_FIT,,,TB,SCL7>SCL9>SCL8>SCL6,75,3109,0.024123512383403024
patient_FIT,,,TB,SCL7>SCL9>SCL6>SCL8,71,3109,0.022836925056288194
patient_FIT,,,TB,SCL7>SCL8>SCL9>SCL6,56,3109,0.018012222579607592
patient_FIT,,,TB,SCL7>SCL8>SCL6>SCL9,71,3109,0.022836925056288194
patient_FIT,,,TB,SCL7>SCL6>SCL9>SCL8,95,3109,0.030556449018977163
patient_FIT,,,TB,SCL7>SCL6>SCL8>SCL9,108,3109,0.03473785783210035
patient_FIT,,,TB,SCL6>SCL9>SCL8>SCL7,168,3109,0.05403666773882277
patient_FIT,,,TB,SCL6>SCL9>SCL7>SCL8,171,3109,0.055001608234158894
patient_FIT,,,TB,SCL6>SCL8>SCL9>SCL7,98,3109,0.03152138951431328
patient_FIT,,,TB,SCL6>SCL8>SCL7>SCL9,110,3109,0.035381151495657764
patient_FIT,,,TB,SCL6>SCL7>SCL9>SCL8,177,3109,0.056931489224831135
patient_FIT,,,TB,SCL6>SCL7>SCL8>SCL9,224,3109,0.07204889031843037
t2511_n847401,2511.0,847401.0,ALL,SCL9>SCL8>SCL7>SCL6,13,66,0.19696969696969696
t2511_n847401,2511.0,847401.0,ALL,SCL9>SCL8>SCL6>SCL7,3,66,0.045454545454545456
t2511_n847401,2511.0,847401.0,ALL,SCL9>SCL7>SCL8>SCL6,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL9>SCL7>SCL6>SCL8,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL9>SCL6>SCL8>SCL7,12,66,0.18181818181818182
t2511_n847401,2511.0,847401.0,ALL,SCL9>SCL6>SCL7>SCL8,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL8>SCL9>SCL7>SCL6,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL8>SCL9>SCL6>SCL7,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL8>SCL7>SCL9>SCL6,2,66,0.030303030303030304
t2511_n847401,2511.0,847401.0,ALL,SCL8>SCL7>SCL6>SCL9,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL8>SCL6>SCL9>SCL7,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL8>SCL6>SCL7>SCL9,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL7>SCL9>SCL8>SCL6,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL7>SCL9>SCL6>SCL8,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL7>SCL8>SCL9>SCL6,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL7>SCL8>SCL6>SCL9,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL7>SCL6>SCL9>SCL8,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL7>SCL6>SCL8>SCL9,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL6>SCL9>SCL8>SCL7,2,66,0.030303030303030304
t2511_n847401,2511.0,847401.0,ALL,SCL6>SCL9>SCL7>SCL8,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL6>SCL8>SCL9>SCL7,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL6>SCL8>SCL7>SCL9,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL6>SCL7>SCL9>SCL8,1,66,0.015151515151515152
t2511_n847401,2511.0,847401.0,ALL,SCL6>SCL7>SCL8>SCL9,33,66,0.5
t2511_n847401,2511.0,847401.0,TA,SCL9>SCL8>SCL7>SCL6,11,26,0.4230769230769231
t2511_n847401,2511.0,847401.0,TA,SCL9>SCL8>SCL6>SCL7,2,26,0.07692307692307693
t2511_n847401,2511.0,847401.0,TA,SCL9>SCL7>SCL8>SCL6,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL9>SCL7>SCL6>SCL8,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL9>SCL6>SCL8>SCL7,9,26,0.34615384615384615
t2511_n847401,2511.0,847401.0,TA,SCL9>SCL6>SCL7>SCL8,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL8>SCL9>SCL7>SCL6,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL8>SCL9>SCL6>SCL7,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL8>SCL7>SCL9>SCL6,2,26,0.07692307692307693
t2511_n847401,2511.0,847401.0,TA,SCL8>SCL7>SCL6>SCL9,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL8>SCL6>SCL9>SCL7,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL8>SCL6>SCL7>SCL9,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL7>SCL9>SCL8>SCL6,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL7>SCL9>SCL6>SCL8,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL7>SCL8>SCL9>SCL6,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL7>SCL8>SCL6>SCL9,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL7>SCL6>SCL9>SCL8,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL7>SCL6>SCL8>SCL9,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL6>SCL9>SCL8>SCL7,2,26,0.07692307692307693
t2511_n847401,2511.0,847401.0,TA,SCL6>SCL9>SCL7>SCL8,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL6>SCL8>SCL9>SCL7,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL6>SCL8>SCL7>SCL9,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL6>SCL7>SCL9>SCL8,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL6>SCL7>SCL8>SCL9,0,26,0.0
t2511_n847401,2511.0,847401.0,TB,SCL9>SCL8>SCL7>SCL6,2,40,0.05
t2511_n847401,2511.0,847401.0,TB,SCL9>SCL8>SCL6>SCL7,1,40,0.025
t2511_n847401,2511.0,847401.0,TB,SCL9>SCL7>SCL8>SCL6,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,SCL9>SCL7>SCL6>SCL8,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,SCL9>SCL6>SCL8>SCL7,3,40,0.075
t2511_n847401,2511.0,847401.0,TB,SCL9>SCL6>SCL7>SCL8,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,SCL8>SCL9>SCL7>SCL6,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,SCL8>SCL9>SCL6>SCL7,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,SCL8>SCL7>SCL9>SCL6,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,SCL8>SCL7>SCL6>SCL9,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,SCL8>SCL6>SCL9>SCL7,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,SCL8>SCL6>SCL7>SCL9,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,SCL7>SCL9>SCL8>SCL6,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,SCL7>SCL9>SCL6>SCL8,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,SCL7>SCL8>SCL9>SCL6,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,SCL7>SCL8>SCL6>SCL9,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,SCL7>SCL6>SCL9>SCL8,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,SCL7>SCL6>SCL8>SCL9,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,SCL6>SCL9>SCL8>SCL7,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,SCL6>SCL9>SCL7>SCL8,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,SCL6>SCL8>SCL9>SCL7,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,SCL6>SCL8>SCL7>SCL9,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,SCL6>SCL7>SCL9>SCL8,1,40,0.025
t2511_n847401,2511.0,847401.0,TB,SCL6>SCL7>SCL8>SCL9,33,40,0.825
t2511_n847402,2511.0,847402.0,ALL,SCL9>SCL8>SCL7>SCL6,14,73,0.1917808219178082
t2511_n847402,2511.0,847402.0,ALL,SCL9>SCL8>SCL6>SCL7,1,73,0.0136986301369863
t2511_n847402,2511.0,847402.0,ALL,SCL9>SCL7>SCL8>SCL6,0,73,0.0
t2511_n847402,2511.0,847402.0,ALL,SCL9>SCL7>SCL6>SCL8,0,73,0.0
t2511_n847402,2511.0,847402.0,ALL,SCL9>SCL6>SCL8>SCL7,10,73,0.136986301369863
t2511_n847402,2511.0,847402.0,ALL,SCL9>SCL6>SCL7>SCL8,0,73,0.0
t2511_n847402,2511.0,847402.0,ALL,SCL8>SCL9>SCL7>SCL6,0,73,0.0
t2511_n847402,2511.0,847402.0,ALL,SCL8>SCL9>SCL6>SCL7,0,73,0.0
t2511_n847402,2511.0,847402.0,ALL,SCL8>SCL7>SCL9>SCL6,0,73,0.0
t2511_n847402,2511.0,847402.0,ALL,SCL8>SCL7>SCL6>SCL9,0,73,0.0
t2511_n847402,2511.0,847402.0,ALL,SCL8>SCL6>SCL9>SCL7,0,73,0.0
t2511_n847402,2511.0,847402.0,ALL,SCL8>SCL6>SCL7>SCL9,0,73,0.0
t2511_n847402,2511.0,847402.0,ALL,SCL7>SCL9>SCL8>SCL6,0,73,0.0
t2511_n847402,2511.0,847402.0,ALL,SCL7>SCL9>SCL6>SCL8,0,73,0.0
t2511_n847402,2511.0,847402.0,ALL,SCL7>SCL8>SCL9>SCL6,0,73,0.0
t2511_n847402,2511.0,847402.0,ALL,SCL7>SCL8>SCL6>SCL9,0,73,0.0
t2511_n847402,2511.0,847402.0,ALL,SCL7>SCL6>SCL9>SCL8,0,73,0.0
t2511_n847402,2511.0,847402.0,ALL,SCL7>SCL6>SCL8>SCL9,0,73,0.0
t2511_n847402,2511.0,847402.0,ALL,SCL6>SCL9>SCL8>SCL7,8,73,0.1095890410958904
t2511_n847402,2511.0,847402.0,ALL,SCL6>SCL9>SCL7>SCL8,3,73,0.0410958904109589
t2511_n847402,2511.0,847402.0,ALL,SCL6>SCL8>SCL9>SCL7,0,73,0.0
t2511_n847402,2511.0,847402.0,ALL,SCL6>SCL8>SCL7>SCL9,0,73,0.0
t2511_n847402,2511.0,847402.0,ALL,SCL6>SCL7>SCL9>SCL8,1,73,0.0136986301369863
t2511_n847402,2511.0,847402.0,ALL,SCL6>SCL7>SCL8>SCL9,36,73,0.4931506849315068
t2511_n847402,2511.0,847402.0,TA,SCL9>SCL8>SCL7>SCL6,14,27,0.5185185185185185
