id,topology,noise,mode,i,j,covariance_ms2
t2711_n847401,2711.0,847401.0,TB,0,2,16.31005753100695
t2711_n847401,2711.0,847401.0,TB,1,0,11.389730819292344
t2711_n847401,2711.0,847401.0,TB,1,1,12.127781849624284
t2711_n847401,2711.0,847401.0,TB,1,2,18.259607792253078
t2711_n847401,2711.0,847401.0,TB,2,0,16.31005753100695
t2711_n847401,2711.0,847401.0,TB,2,1,18.259607792253078
t2711_n847401,2711.0,847401.0,TB,2,2,30.77194478878693
t2711_n847402,2711.0,847402.0,ALL,0,0,24.06661896912456
t2711_n847402,2711.0,847402.0,ALL,0,1,15.883786945472817
t2711_n847402,2711.0,847402.0,ALL,0,2,27.600868912601914
t2711_n847402,2711.0,847402.0,ALL,1,0,15.883786945472817
t2711_n847402,2711.0,847402.0,ALL,1,1,15.406792217121927
t2711_n847402,2711.0,847402.0,ALL,1,2,27.531246879871194
t2711_n847402,2711.0,847402.0,ALL,2,0,27.600868912601914
t2711_n847402,2711.0,847402.0,ALL,2,1,27.531246879871194
t2711_n847402,2711.0,847402.0,ALL,2,2,66.3817301731667
t2711_n847402,2711.0,847402.0,TA,0,0,10.908222416448023
t2711_n847402,2711.0,847402.0,TA,0,1,1.7055462106933297
t2711_n847402,2711.0,847402.0,TA,0,2,-0.3923908141002983
t2711_n847402,2711.0,847402.0,TA,1,0,1.7055462106933297
t2711_n847402,2711.0,847402.0,TA,1,1,0.4950052420392099
t2711_n847402,2711.0,847402.0,TA,1,2,-0.019537394358779752
t2711_n847402,2711.0,847402.0,TA,2,0,-0.3923908141002983
t2711_n847402,2711.0,847402.0,TA,2,1,-0.019537394358779752
t2711_n847402,2711.0,847402.0,TA,2,2,0.07808019463877658
t2711_n847402,2711.0,847402.0,TB,0,0,19.184452797237412
t2711_n847402,2711.0,847402.0,TB,0,1,12.550666903628406
t2711_n847402,2711.0,847402.0,TB,0,2,20.18371525436842
t2711_n847402,2711.0,847402.0,TB,1,0,12.550666903628406
t2711_n847402,2711.0,847402.0,TB,1,1,13.452106365051117
t2711_n847402,2711.0,847402.0,TB,1,2,21.54535771131277
t2711_n847402,2711.0,847402.0,TB,2,0,20.18371525436842
t2711_n847402,2711.0,847402.0,TB,2,1,21.54535771131277
t2711_n847402,2711.0,847402.0,TB,2,2,61.70474696259367
t2712_n847401,2712.0,847401.0,ALL,0,0,9.44844409649752
t2712_n847401,2712.0,847401.0,ALL,0,1,8.742302862855722
t2712_n847401,2712.0,847401.0,ALL,0,2,15.107137552506202
t2712_n847401,2712.0,847401.0,ALL,1,0,8.742302862855722
t2712_n847401,2712.0,847401.0,ALL,1,1,10.051707316645857
t2712_n847401,2712.0,847401.0,ALL,1,2,16.5285016143963
t2712_n847401,2712.0,847401.0,ALL,2,0,15.107137552506202
t2712_n847401,2712.0,847401.0,ALL,2,1,16.5285016143963
t2712_n847401,2712.0,847401.0,ALL,2,2,27.99695559261243
t2712_n847401,2712.0,847401.0,TA,0,0,0.18308337325658375
t2712_n847401,2712.0,847401.0,TA,0,1,0.04036275837056891
t2712_n847401,2712.0,847401.0,TA,0,2,0.013175651579884547
t2712_n847401,2712.0,847401.0,TA,1,0,0.04036275837056891
t2712_n847401,2712.0,847401.0,TA,1,1,0.15064449863881027
t2712_n847401,2712.0,847401.0,TA,1,2,0.008515196038388998
t2712_n847401,2712.0,847401.0,TA,2,0,0.013175651579884547
t2712_n847401,2712.0,847401.0,TA,2,1,0.008515196038388998
t2712_n847401,2712.0,847401.0,TA,2,2,0.03113410386026755
t2712_n847401,2712.0,847401.0,TB,0,0,4.022480919165556
t2712_n847401,2712.0,847401.0,TB,0,1,2.4793419951549307
t2712_n847401,2712.0,847401.0,TB,0,2,4.600171287264683
t2712_n847401,2712.0,847401.0,TB,1,0,2.4793419951549307
t2712_n847401,2712.0,847401.0,TB,1,1,3.0748670988101976
t2712_n847401,2712.0,847401.0,TB,1,2,4.744403614084286
t2712_n847401,2712.0,847401.0,TB,2,0,4.600171287264683
t2712_n847401,2712.0,847401.0,TB,2,1,4.744403614084286
t2712_n847401,2712.0,847401.0,TB,2,2,8.148681202497093
t2712_n847402,2712.0,847402.0,ALL,0,0,3.204339306803542
t2712_n847402,2712.0,847402.0,ALL,0,1,3.436873413505733
t2712_n847402,2712.0,847402.0,ALL,0,2,5.707104190579711
t2712_n847402,2712.0,847402.0,ALL,1,0,3.436873413505733
t2712_n847402,2712.0,847402.0,ALL,1,1,4.178317442854897
t2712_n847402,2712.0,847402.0,ALL,1,2,6.741613128678016
t2712_n847402,2712.0,847402.0,ALL,2,0,5.707104190579711
t2712_n847402,2712.0,847402.0,ALL,2,1,6.741613128678016
t2712_n847402,2712.0,847402.0,ALL,2,2,11.18501986328432
t2712_n847402,2712.0,847402.0,TB,0,0,2.4734073584144123
t2712_n847402,2712.0,847402.0,TB,0,1,2.6261998208526895
t2712_n847402,2712.0,847402.0,TB,0,2,4.31439847959112
t2712_n847402,2712.0,847402.0,TB,1,0,2.6261998208526895
t2712_n847402,2712.0,847402.0,TB,1,1,3.2857300585744986
t2712_n847402,2712.0,847402.0,TB,1,2,5.205312572412619
t2712_n847402,2712.0,847402.0,TB,2,0,4.31439847959112
t2712_n847402,2712.0,847402.0,TB,2,1,5.205312572412619
t2712_n847402,2712.0,847402.0,TB,2,2,8.545423208012178
