id,topology,noise,mode,scope,earlier_test,later_test,p_i_before_j,n,mean,median,variance,q05,q95
patient_FIT,,,ALL,pairwise_coparticipating,SCL9,SCL8,0.6945533464015682,14284,5.276488023190163,4.1700439453125,227.0595440684511,-12.492651367187499,29.788476562499994
patient_FIT,,,ALL,complete4,SCL9,SCL8,0.7097913862718708,11888,5.530630319628709,4.24267578125,191.44103957351317,-10.4140625,28.650415039062498
patient_FIT,,,ALL,pairwise_coparticipating,SCL9,SCL7,0.5919841382240476,14122,4.599149296091596,2.6060791015625,350.3194078216325,-17.490429687499997,37.27030029296874
patient_FIT,,,ALL,complete4,SCL9,SCL7,0.5834454912516823,11888,4.317947526318228,2.2138671875,286.49061451893476,-15.85390625,34.53984374999999
patient_FIT,,,ALL,pairwise_coparticipating,SCL9,SCL6,0.5901626211647841,12483,4.998317341406089,2.703125,371.21383172299204,-18.25439453125,39.430383300781244
patient_FIT,,,ALL,complete4,SCL9,SCL6,0.5861372812920592,11888,4.76302152238335,2.50244140625,337.3592823966693,-17.7239013671875,38.06232910156249
patient_FIT,,,ALL,pairwise_coparticipating,SCL8,SCL7,0.43666525654197136,16547,-0.8236625947109081,-1.54296875,145.61926723746572,-18.40858154296875,19.534667968749993
patient_FIT,,,ALL,complete4,SCL8,SCL7,0.4176059892328398,11888,-1.2126827933104811,-1.868408203125,113.23049848499731,-16.71279296875,16.89487304687499
patient_FIT,,,ALL,pairwise_coparticipating,SCL8,SCL6,0.452800169707255,14142,-0.290959027915742,-1.3448486328125,173.77917612911932,-18.87109375,22.506903076171852
patient_FIT,,,ALL,complete4,SCL8,SCL6,0.43661675639300135,11888,-0.7676087972453594,-1.7037353515625,151.0175843931555,-18.429345703125,20.369042968749998
patient_FIT,,,ALL,pairwise_coparticipating,SCL7,SCL6,0.5201513911620295,14664,0.6381053979190009,0.41552734375,104.02598568860887,-14.765625,16.88964843749997
patient_FIT,,,ALL,complete4,SCL7,SCL6,0.5123233512786003,11888,0.4450739960651218,0.251007080078125,89.677728185597,-14.221875,15.63603515625
patient_FIT,,,TA,pairwise_coparticipating,SCL9,SCL8,0.7354486861675756,10085,6.536169443050114,4.9375,203.25137642066647,-9.546875,30.90302734375
patient_FIT,,,TA,complete4,SCL9,SCL8,0.7417701332725823,8779,6.439088118566524,4.8984375,178.96803337288404,-8.644780731201172,29.495507812500026
patient_FIT,,,TA,pairwise_coparticipating,SCL9,SCL7,0.5842204755745697,10051,4.722831199660418,2.35546875,327.8538202165226,-16.97406005859375,37.5703125
patient_FIT,,,TA,complete4,SCL9,SCL7,0.5725025629342749,8779,4.256247788440232,1.92578125,278.4095460092557,-15.720703124999998,34.45717773437504
