subject,dataset,mode,condition,objective,seed,cycles,updates_per_patient,offset_cycles,hidden_size,learning_rate,optimizer,weight_decay,n_contacts,n_train_events,n_eval_events,n_parameters,rollout_condition,likelihood_n_events,likelihood_n_decisions,likelihood_n_nonterminal_decisions,likelihood_event_total_nll,likelihood_contact_choice_nll,likelihood_stop_contribution_nll,whole_participation_mae,whole_rank_wasserstein,whole_precedence_mae,whole_precedence_correlation,whole_participant_count_mean_error,whole_event_length_mean_error,suffix_participation_mae,suffix_rank_wasserstein,suffix_precedence_mae,suffix_precedence_correlation,suffix_participant_count_mean_error,suffix_event_length_mean_error,transition_mae,transition_correlation,event_length_wasserstein,stop_hazard_mae,generated_zero_suffix_fraction,uniforms_sha256
epilepsiae_1073,epilepsiae,formal,best_rollout_aware,scheduled_sampling,20260725,7,32,8,32,0.0003,adamw,0.0,6,110620,27655,5870,none,27655,124925,97270,1.3563638925552368,1.421533703804016,0.2599663138389587,,,,,,,,,,,,,,,,,,
epilepsiae_1073,epilepsiae,formal,best_rollout_aware,scheduled_sampling,20260725,7,32,8,32,0.0003,adamw,0.0,6,110620,27655,5870,full_constructive,27655,124925,97270,1.3563638925552368,1.421533703804016,0.2599663138389587,0.1737901524739348,0.1010021727705433,0.1542846722388061,-0.0387805817702063,0.899837280781052,0.899837280781052,0.1737901524739347,0.1191724069260493,0.1571863143325861,-0.3175726868469236,0.899837280781052,0.899837280781052,0.0807154119189475,0.6951519069166128,0.1499728801301753,0.1694120801441217,0.0,b5706912ccf312757657dae0e9a5ea022dc5f244ca583b32037f4fa4952900a4
epilepsiae_1073,epilepsiae,formal,best_rollout_aware,scheduled_sampling,20260725,7,32,8,32,0.0003,adamw,0.0,6,110620,27655,5870,static_only,27655,124925,97270,1.3563638925552368,1.421533703804016,0.2599663138389587,0.2541734466341229,0.0846783046171479,0.1145011439951852,0.3279006592207416,0.899837280781052,0.899837280781052,0.2541734466341228,0.0858997908681862,0.1008070513271694,-0.1224011564880729,0.899837280781052,0.899837280781052,0.1085169361504876,0.2323206205559146,0.1499728801301753,0.1694120801441217,0.0,b5706912ccf312757657dae0e9a5ea022dc5f244ca583b32037f4fa4952900a4
epilepsiae_1073,epilepsiae,formal,best_rollout_aware,scheduled_sampling,20260725,7,32,8,32,0.0003,adamw,0.0,6,110620,27655,5870,native_model,27655,124925,97270,1.3563638925552368,1.421533703804016,0.2599663138389587,0.2153498463207377,0.0579813180766915,0.0738569121538245,0.7497021320618387,0.5857530283854637,0.5857530283854637,0.2153498463207376,0.0816733752933788,0.1053429025155988,0.5034558667721536,0.5857530283854637,0.5857530283854637,0.0922818936924553,0.6237879767291532,0.1190441752546254,0.1054261488373776,0.0074850840715964,b5706912ccf312757657dae0e9a5ea022dc5f244ca583b32037f4fa4952900a4
epilepsiae_1077,epilepsiae,formal,best_rollout_aware,scheduled_sampling,20260725,7,32,8,32,0.0003,adamw,0.0,6,25900,6476,5870,none,6476,31652,25176,1.2582255601882937,1.2063548564910889,0.3108579814434051,,,,,,,,,,,,,,,,,,
epilepsiae_1077,epilepsiae,formal,best_rollout_aware,scheduled_sampling,20260725,7,32,8,32,0.0003,adamw,0.0,6,25900,6476,5870,full_constructive,6476,31652,25176,1.2582255601882937,1.2063548564910889,0.3108579814434051,0.1159923821288861,0.0688358220666881,0.137632142111208,0.7695442775493528,-0.2422791846819021,-0.2422791846819021,0.1159923821288861,0.1495627372289069,0.2684868157760953,-0.1772908751744867,-0.2422791846819021,-0.2422791846819021,0.0622352663668705,0.7936651583710407,0.0403798641136504,0.0478130435449138,0.0003088326127239,9f92539731ac422667f7792d25eae3564d3eace6903739323163a7e63566d7c8
epilepsiae_1077,epilepsiae,formal,best_rollout_aware,scheduled_sampling,20260725,7,32,8,32,0.0003,adamw,0.0,6,25900,6476,5870,static_only,6476,31652,25176,1.2582255601882937,1.2063548564910889,0.3108579814434051,0.0563876878731727,0.070823471194954,0.1401570921489008,0.7426854185354038,-0.2422791846819021,-0.2422791846819021,0.0563876878731727,0.1475244994030799,0.2200403139446946,-0.0476820177152378,-0.2422791846819021,-0.2422791846819021,0.082480695241751,0.7559146735617323,0.0403798641136504,0.0478130435449138,0.0003088326127239,9f92539731ac422667f7792d25eae3564d3eace6903739323163a7e63566d7c8
epilepsiae_1077,epilepsiae,formal,best_rollout_aware,scheduled_sampling,20260725,7,32,8,32,0.0003,adamw,0.0,6,25900,6476,5870,native_model,6476,31652,25176,1.2582255601882937,1.2063548564910889,0.3108579814434051,0.0923666872555075,0.0446903311088382,0.0945323069139981,0.9240414424222264,0.3932983323038916,0.3932983323038916,0.0923666872555075,0.0797030168320558,0.1348159565526231,0.7413946540377137,0.3932983323038912,0.3932983323038912,0.0500040972191789,0.8678733031674206,0.0811972410953263,0.0698171325005859,0.00633106856084,9f92539731ac422667f7792d25eae3564d3eace6903739323163a7e63566d7c8
epilepsiae_1084,epilepsiae,formal,best_rollout_aware,scheduled_sampling,20260725,7,32,8,32,0.0003,adamw,0.0,11,5854,1464,5870,none,1464,11861,10397,1.7531198263168335,1.7882766723632812,0.1909692883491516,,,,,,,,,,,,,,,,,,
epilepsiae_1084,epilepsiae,formal,best_rollout_aware,scheduled_sampling,20260725,7,32,8,32,0.0003,adamw,0.0,11,5854,1464,5870,full_constructive,1464,11861,10397,1.7531198263168335,1.7882766723632812,0.1909692883491516,0.0938897168405365,0.115450701121137,0.1887205085341358,0.0502069453665755,0.5027322404371581,0.5027322404371581,0.0938897168405365,0.1684924071591699,0.2730024661308948,-0.4453883981434424,0.5027322404371581,0.5027322404371581,0.0323327404546007,0.8109171275783518,0.0461997019374068,0.0769885528587089,0.0006830601092896,4593932335f4253e3fad31876fc07acb4340866dd4afae13caefd7a6f8523c77
