config_key,coverage_cycle,n_patients,n_seeds,patient_median_contact_choice_nll,patient_mean_contact_choice_nll,patient_sd_contact_choice_nll,patient_se_contact_choice_nll,patient_median_total_nll,patient_median_stop_nll,patient_median_train_validation_gap,seed_patient_median_sd,seed_patient_median_values,cfg_updates_per_patient,cfg_hidden_size,cfg_learning_rate,cfg_optimizer,cfg_weight_decay,cfg_batch_size,cfg_objective,optimizer_steps_in_cycle,gradient_clip_fraction,parameter_update_norm_median,runtime_seconds,optimizer_steps_total
u32_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,1,34,3,1.7815168301264448,1.953104360430848,0.5220597493181552,0.08953250836791646,1.8158093492190042,0.24846951166788736,-0.017117659250895135,0.007991866242560862,"[1.797838866710663, 1.8088724613189702, 1.7933404445648193]",32,32,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.1951593137254902,0.028462067246437073,1145.5664213498433,1088
u32_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,2,34,3,1.8067061305046082,1.9058069715312886,0.5152077277044542,0.08835739635580085,1.7986485560735068,0.22401507943868632,-0.017646451791127483,0.009391950038748863,"[1.7905558347702026, 1.79812628030777, 1.8092287182807922]",32,32,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.14368872549019607,0.026132869223753612,1145.5664213498433,2176
u32_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,3,34,3,1.7340270678202312,1.861356251380023,0.51476162361997,0.08828089013648552,1.72893230120341,0.21742038925488788,-0.016198813915252665,0.015621135102699128,"[1.7466424107551575, 1.7160165905952454, 1.7259812355041504]",32,32,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.08823529411764706,0.025704757310450077,1145.5664213498433,3264
u32_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,4,34,3,1.7237842082977295,1.8596223288891363,0.5042015007010304,0.0864698439969564,1.7640209992726643,0.24974644432465237,-0.015409549077351833,0.013630392649112207,"[1.7098628282546997, 1.735601782798767, 1.7305099964141846]",32,32,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.06004901960784314,0.025734538522859413,1145.5664213498433,4352
u32_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,5,34,3,1.7193319598833718,1.8449333613994074,0.5038932800204333,0.08641698458632233,1.712807297706604,0.21914605051279068,-0.018944183985392216,0.022484635778798407,"[1.6931267380714417, 1.7211403250694275, 1.7375983595848083]",32,32,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.044730392156862746,0.025934405003984768,1145.5664213498433,5440
u32_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,6,34,3,1.7183855772018433,1.8309483306080685,0.49829028787126,0.08545607936017452,1.7171533306439717,0.21385903656482697,-0.012254794438679967,0.03589180218969661,"[1.7612666487693787, 1.7105966806411743, 1.691896677017212]",32,32,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.03676470588235294,0.026135034238298733,1145.5664213498433,6528
u32_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,7,34,3,1.7070452570915222,1.819144830984228,0.49123257950994687,0.08424569236186086,1.7096508542696633,0.21612737327814102,-0.016081690788269015,0.005476798501042298,"[1.7025660276412964, 1.7131510972976685, 1.7054186463356018]",32,32,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.03216911764705882,0.026576456613838673,1145.5664213498433,7616
u32_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,8,34,3,1.7058302164077759,1.819749835659476,0.48715482326048754,0.08354636293452256,1.7102064490318298,0.2069285611311594,-0.015089571475982631,0.012468881971998752,"[1.7195114493370056, 1.6951048970222473, 1.7028743028640747]",32,32,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.030637254901960786,0.02645972929894924,1145.5664213498433,8704
u32_h64_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,1,34,3,1.827854037284851,1.9719014039226608,0.5339651911866712,0.09157427480386333,1.8632208506266277,0.2517713258663813,-0.014410754044850618,0.050708258442219704,"[1.7781586050987244, 1.824490487575531, 1.8794526457786562]",32,64,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.21752450980392157,0.03251460256675879,1070.857359011968,1088
u32_h64_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,2,34,3,1.8169741233189902,1.9158050219217937,0.5091852705543499,0.08732455347547657,1.7935165762901306,0.22326210141181946,-0.020472745100657115,0.03763699605706531,"[1.799893081188202, 1.8574174642562866, 1.7866095900535583]",32,64,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.15808823529411764,0.031817580262819924,1070.857359011968,2176
u32_h64_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,3,34,3,1.783300797144572,1.8745519133175121,0.5207892958892688,0.08931462740237299,1.737880071004232,0.2142702663938204,-0.015990555286407433,0.02451807445683352,"[1.7524293065071106, 1.7985289096832275, 1.7610040307044983]",32,64,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.10784313725490197,0.032116725419958435,1070.857359011968,3264
u32_h64_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,4,34,3,1.7533256212870278,1.8752032331391877,0.506065102060774,0.08678944899342207,1.766852080821991,0.23758544276158014,-0.022827903429667118,0.010884652562642226,"[1.7337854504585266, 1.7554941773414612, 1.7460452914237976]",32,64,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.08026960784313725,0.03233893867582083,1070.857359011968,4352
u32_h64_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,5,34,3,1.7336346904436746,1.8433659193562528,0.5011532466779224,0.0859470727448384,1.722815771897634,0.21676779538393012,-0.020447393258412633,0.014990571829757153,"[1.7238434553146362, 1.723694384098053, 1.749733030796051]",32,64,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.060968137254901966,0.03123436775058508,1070.857359011968,5440
u32_h64_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,6,34,3,1.7595850626627605,1.8481376030865837,0.4951706016239156,0.08492105758266641,1.7295101086298623,0.20487174640099204,-0.013982892036437981,0.03202678887522033,"[1.7898011207580566, 1.7466111183166504, 1.727241337299347]",32,64,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.041666666666666664,0.03328291761378447,1070.857359011968,6528
u32_h64_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,7,34,3,1.717534820238749,1.826835292227128,0.49035347054159034,0.08409492641760162,1.7142975727717082,0.2091609587272008,-0.014965792496999069,0.008152361726742588,"[1.7084956765174866, 1.7197781205177307, 1.7243306636810303]",32,64,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.04013480392156863,0.0322415583456556,1070.857359011968,7616
u32_h64_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,8,34,3,1.7119671305020652,1.812252562420041,0.48764003353047247,0.0836295758093216,1.7138834794362388,0.20805269231398898,-0.01447536547978715,0.00632974336820469,"[1.7084937691688538, 1.7006576657295227, 1.7131863832473755]",32,64,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.03768382352941176,0.033740279264748096,1070.857359011968,8704
