config_key,max_cycle,plateau_reached,plateau_at_cycle,final_improvement,improvements,improvement_detail,threshold
u32_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,4,False,,-0.000590523084004646,"[0.034537434577941895, 0.043900032838185665, -0.000590523084004646]","[{""from_cycle"": 1, ""to_cycle"": 2, ""patient_median_improvement"": 0.034537434577941895, ""n_patients_improved"": 28, ""n_patients"": 34}, {""from_cycle"": 2, ""to_cycle"": 3, ""patient_median_improvement"": 0.043900032838185665, ""n_patients_improved"": 29, ""n_patients"": 34}, {""from_cycle"": 3, ""to_cycle"": 4, ""patient_median_improvement"": -0.000590523084004646, ""n_patients_improved"": 17, ""n_patients"": 34}]",0.002
u32_h64_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,4,False,,-0.0020595590273538855,"[0.0326961874961853, 0.040714144706726074, -0.0020595590273538855]","[{""from_cycle"": 1, ""to_cycle"": 2, ""patient_median_improvement"": 0.0326961874961853, ""n_patients_improved"": 25, ""n_patients"": 34}, {""from_cycle"": 2, ""to_cycle"": 3, ""patient_median_improvement"": 0.040714144706726074, ""n_patients_improved"": 31, ""n_patients"": 34}, {""from_cycle"": 3, ""to_cycle"": 4, ""patient_median_improvement"": -0.0020595590273538855, ""n_patients_improved"": 15, ""n_patients"": 34}]",0.002
u8_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,4,False,,0.0013828476270039136,"[0.015398462613423702, 0.018609444300333733, 0.0013828476270039136]","[{""from_cycle"": 1, ""to_cycle"": 2, ""patient_median_improvement"": 0.015398462613423702, ""n_patients_improved"": 25, ""n_patients"": 34}, {""from_cycle"": 2, ""to_cycle"": 3, ""patient_median_improvement"": 0.018609444300333733, ""n_patients_improved"": 25, ""n_patients"": 34}, {""from_cycle"": 3, ""to_cycle"": 4, ""patient_median_improvement"": 0.0013828476270039136, ""n_patients_improved"": 18, ""n_patients"": 34}]",0.002
u8_h64_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,4,False,,-0.00571044286092115,"[0.006763339042663574, 0.02182439963022864, -0.00571044286092115]","[{""from_cycle"": 1, ""to_cycle"": 2, ""patient_median_improvement"": 0.006763339042663574, ""n_patients_improved"": 20, ""n_patients"": 34}, {""from_cycle"": 2, ""to_cycle"": 3, ""patient_median_improvement"": 0.02182439963022864, ""n_patients_improved"": 28, ""n_patients"": 34}, {""from_cycle"": 3, ""to_cycle"": 4, ""patient_median_improvement"": -0.00571044286092115, ""n_patients_improved"": 15, ""n_patients"": 34}]",0.002
