lag,n_same_shaft_estimable,same_minus_cross_abs_median,same_minus_cross_positive,same_minus_cross_wilcoxon_two_sided,n_geometry_estimable,distance_vs_abs_spearman_median
0,32,0.1131643423526234,30,1.1781230568885803e-07,28,-0.4417593554563596
1,32,0.05656128924836745,29,2.0815059542655945e-07,28,-0.4304805414018452
2,32,0.02728653228539904,28,2.980232238769531e-07,28,-0.41703524367344913
3,32,0.012586694304546751,28,9.476207196712494e-07,28,-0.390533612249591
