dataset,covariate,n,spearman_rho,p_two_sided
all,n_events,34,-0.016348357524828112,0.9268832800921321
epilepsiae,n_events,18,-0.30443756449948395,0.21933066080450497
yuquan,n_events,16,0.03823529411764706,0.8881976539853073
all,n_contacts,34,0.2019331783861531,0.2520986561563004
epilepsiae,n_contacts,18,0.4659528131797214,0.05130386963979291
yuquan,n_contacts,16,0.36216301408614393,0.1680558551203341
all,mean_recruitment_groups,34,0.2400305576776165,0.17151809517750322
epilepsiae,mean_recruitment_groups,18,0.5376676986584108,0.021371414657806453
yuquan,mean_recruitment_groups,16,0.2911764705882353,0.27388704841914874
