subject,dataset,comparison,component,gain_nats,gain_bits
epilepsiae_1073,epilepsiae,linear_minus_rank_shuffle,event_contact_contribution_nll,-0.05962049961090066,-0.08601419912396875
epilepsiae_1073,epilepsiae,linear_minus_rank_shuffle,event_continue_nll,-0.015452209860086497,-0.022292826535922333
epilepsiae_1073,epilepsiae,linear_minus_rank_shuffle,event_stop_contribution_nll,0.054737389087677,0.07896935978800128
epilepsiae_1073,epilepsiae,linear_minus_rank_shuffle,event_terminal_stop_nll,0.28044724464416504,0.40459984907911084
epilepsiae_1073,epilepsiae,linear_minus_rank_shuffle,event_total_nll,-0.007343649864196777,-0.010594647241101601
epilepsiae_1073,epilepsiae,linear_minus_unordered,event_contact_choice_nll,-0.020619988441467063,-0.02974835506769228
epilepsiae_1073,epilepsiae,linear_minus_unordered,event_contact_contribution_nll,-0.01527059078216575,-0.022030805592875246
epilepsiae_1073,epilepsiae,linear_minus_unordered,event_continue_nll,0.012541905045509304,0.01809414421245654
epilepsiae_1073,epilepsiae,linear_minus_unordered,event_stop_contribution_nll,0.0803076028823852,0.11585938042409735
epilepsiae_1073,epilepsiae,linear_minus_unordered,event_terminal_stop_nll,0.2812093496322632,0.40569933416607673
epilepsiae_1073,epilepsiae,linear_minus_unordered,event_total_nll,0.06503713130950928,0.09382874681387338
epilepsiae_1077,epilepsiae,full_minus_history3,event_contact_choice_nll,-0.02979731559753418,-0.04298843944436592
epilepsiae_1077,epilepsiae,full_minus_history3,event_contact_contribution_nll,-0.023725271224975586,-0.0342283311400179
epilepsiae_1077,epilepsiae,full_minus_history3,event_continue_nll,0.07081227749586101,0.10216052157733183
epilepsiae_1077,epilepsiae,full_minus_history3,event_stop_contribution_nll,-0.0561737716197967,-0.08104162174390989
epilepsiae_1077,epilepsiae,full_minus_history3,event_terminal_stop_nll,-0.49362897872924805,-0.7121560796517697
epilepsiae_1077,epilepsiae,full_minus_history3,event_total_nll,-0.07270121574401855,-0.1048856834204942
epilepsiae_1077,epilepsiae,history2_minus_history1,event_contact_choice_nll,0.013038992881774902,0.018811290368723147
epilepsiae_1077,epilepsiae,history2_minus_history1,event_contact_contribution_nll,0.010614395141601562,0.015313335232824481
epilepsiae_1077,epilepsiae,history2_minus_history1,event_continue_nll,0.01872795820236209,0.027018732424523573
epilepsiae_1077,epilepsiae,history2_minus_history1,event_stop_contribution_nll,0.02715155482292181,0.03917141349545411
epilepsiae_1077,epilepsiae,history2_minus_history1,event_terminal_stop_nll,0.05835193395614624,0.08418404574481249
epilepsiae_1077,epilepsiae,history2_minus_history1,event_total_nll,0.03774702548980713,0.05445744648245404
epilepsiae_1077,epilepsiae,history3_minus_history2,event_contact_choice_nll,0.0077288150787353516,0.011150323186039335
epilepsiae_1077,epilepsiae,history3_minus_history2,event_contact_contribution_nll,0.0064324140548706055,0.00928001185790629
epilepsiae_1077,epilepsiae,history3_minus_history2,event_continue_nll,0.044655948877334595,0.0644249159915217
epilepsiae_1077,epilepsiae,history3_minus_history2,event_stop_contribution_nll,0.04441478848457331,0.06407699508882615
epilepsiae_1077,epilepsiae,history3_minus_history2,event_terminal_stop_nll,0.04113954305648804,0.05935181475203328
epilepsiae_1077,epilepsiae,history3_minus_history2,event_total_nll,0.046015381813049316,0.06638616314629844
epilepsiae_1077,epilepsiae,history3_minus_rank_shuffle,event_contact_choice_nll,0.09978842735290505,0.14396426928014472
epilepsiae_1077,epilepsiae,history3_minus_rank_shuffle,event_contact_contribution_nll,0.07910752296447754,0.11412803107786154
epilepsiae_1077,epilepsiae,history3_minus_rank_shuffle,event_continue_nll,-0.037550151348114,-0.05417341713455409
epilepsiae_1077,epilepsiae,history3_minus_rank_shuffle,event_stop_contribution_nll,0.0018803477287291925,0.002712768343384432
epilepsiae_1077,epilepsiae,history3_minus_rank_shuffle,event_terminal_stop_nll,0.1343914270401,0.1938858453287432
epilepsiae_1077,epilepsiae,history3_minus_rank_shuffle,event_total_nll,0.08156156539916992,0.11766846592852331
epilepsiae_1077,epilepsiae,lag0_contribution,event_contact_choice_nll,0.0344318151473999,0.049674608961959334
epilepsiae_1077,epilepsiae,lag0_contribution,event_contact_contribution_nll,0.02580505609512307,0.037228826458295575
epilepsiae_1077,epilepsiae,lag0_contribution,event_continue_nll,0.003942593932151794,0.005687960714154313
epilepsiae_1077,epilepsiae,lag0_contribution,event_stop_contribution_nll,0.010032981634140015,0.014474532848903848
epilepsiae_1077,epilepsiae,lag0_contribution,event_terminal_stop_nll,0.03205907344818115,0.04625146627918599
epilepsiae_1077,epilepsiae,lag0_contribution,event_total_nll,0.040742874145508035,0.058779542481287604
epilepsiae_1077,epilepsiae,lag1_contribution,event_contact_choice_nll,0.006323456764221191,0.009122819715017685
epilepsiae_1077,epilepsiae,lag1_contribution,event_contact_contribution_nll,0.004621624946594349,0.006667595391300388
epilepsiae_1077,epilepsiae,lag1_contribution,event_continue_nll,-0.004490204155445113,-0.006477995267639681
epilepsiae_1077,epilepsiae,lag1_contribution,event_stop_contribution_nll,0.006386727094650213,0.00921409950696304
epilepsiae_1077,epilepsiae,lag1_contribution,event_terminal_stop_nll,0.05992770195007324,0.08645739841524253
epilepsiae_1077,epilepsiae,lag1_contribution,event_total_nll,0.011008262634277566,0.01588156591127552
epilepsiae_1077,epilepsiae,lag2_contribution,event_contact_choice_nll,0.0007859468460083008,0.0011338816171384974
epilepsiae_1077,epilepsiae,lag2_contribution,event_contact_contribution_nll,0.0006214380264282227,0.0008965455589478214
epilepsiae_1077,epilepsiae,lag2_contribution,event_continue_nll,-0.003179877996444702,-0.004587594216102705
epilepsiae_1077,epilepsiae,lag2_contribution,event_stop_contribution_nll,0.002547621726989746,0.0036754412315890836
epilepsiae_1077,epilepsiae,lag2_contribution,event_terminal_stop_nll,0.02395319938659668,0.034557161968467594
