subject,seed,condition,decision_contract_sha256,n_decisions
epilepsiae_253,20260725,lag2_removed,23a08fb938cfd4e09301d2f68306ebcecb53870213e1c88af4fe76b34aac4732,62832
epilepsiae_253,20260725,lag3plus_removed,23a08fb938cfd4e09301d2f68306ebcecb53870213e1c88af4fe76b34aac4732,62832
epilepsiae_253,20260725,linear_state,23a08fb938cfd4e09301d2f68306ebcecb53870213e1c88af4fe76b34aac4732,62832
epilepsiae_253,20260725,linear_state_rank_shuffle,23a08fb938cfd4e09301d2f68306ebcecb53870213e1c88af4fe76b34aac4732,62832
epilepsiae_253,20260725,unordered_prefix,23a08fb938cfd4e09301d2f68306ebcecb53870213e1c88af4fe76b34aac4732,62832
epilepsiae_384,20260725,full_history,d796533c67abc9ee5b602498b38a4a6c115dcf2136808b10c0303cf6109d0966,29205
epilepsiae_384,20260725,history_1,d796533c67abc9ee5b602498b38a4a6c115dcf2136808b10c0303cf6109d0966,29205
epilepsiae_384,20260725,history_2,d796533c67abc9ee5b602498b38a4a6c115dcf2136808b10c0303cf6109d0966,29205
epilepsiae_384,20260725,history_3,d796533c67abc9ee5b602498b38a4a6c115dcf2136808b10c0303cf6109d0966,29205
epilepsiae_384,20260725,history_3_rank_shuffle,d796533c67abc9ee5b602498b38a4a6c115dcf2136808b10c0303cf6109d0966,29205
epilepsiae_384,20260725,lag0_removed,d796533c67abc9ee5b602498b38a4a6c115dcf2136808b10c0303cf6109d0966,29205
epilepsiae_384,20260725,lag1_removed,d796533c67abc9ee5b602498b38a4a6c115dcf2136808b10c0303cf6109d0966,29205
epilepsiae_384,20260725,lag2_removed,d796533c67abc9ee5b602498b38a4a6c115dcf2136808b10c0303cf6109d0966,29205
epilepsiae_384,20260725,lag3plus_removed,d796533c67abc9ee5b602498b38a4a6c115dcf2136808b10c0303cf6109d0966,29205
epilepsiae_384,20260725,linear_state,d796533c67abc9ee5b602498b38a4a6c115dcf2136808b10c0303cf6109d0966,29205
epilepsiae_384,20260725,linear_state_rank_shuffle,d796533c67abc9ee5b602498b38a4a6c115dcf2136808b10c0303cf6109d0966,29205
epilepsiae_384,20260725,unordered_prefix,d796533c67abc9ee5b602498b38a4a6c115dcf2136808b10c0303cf6109d0966,29205
