label,JEE_core,T_ms,A_mean_hz,B_mean_hz,Surround_mean_hz
LP0a,1.1763002668681966,455.44043186219557,16.856897996365,17.470524601395635,0.3473560631588368
LP0b,1.1763002486332057,455.4715039068153,16.85614833386393,17.469374710982496,0.3998535710135137
LP0c,1.1762482895779023,571.9334836474496,24.720175088148515,14.272773831422747,7.671830396120351
PD0,1.1763002486428242,455.4715526428036,16.85616290790183,17.46937286955441,0.40048090833275923
LP1,1.3645475252622103,340.61849264350025,67.84703434487706,54.9825922849551,14.268361011064346
PD1,1.3493650597619067,187.53699287265673,54.94534332179865,309.2713762468423,25.950824214181768
PD2,1.3885678462993354,182.81628134150995,78.32936596961798,357.72096897156666,26.757332449602902
PD3,1.3773792265782256,151.6429404486715,313.22752733309045,348.0595617299184,34.37412467683238
