tolerance_ms,condition,component,dataset,n,median_nats,median_bits,positive,sign_p_two_sided,wilcoxon_p_two_sided,bootstrap_ci95
0.0,history_3,event_contact_choice_nll,all,34,0.012816548347473145,0.018490370742213144,23,0.05761267291381955,0.0005407867720350623,"[0.0032012462615969017, 0.025485396385192427]"
0.0,history_3,event_contact_choice_nll,epilepsiae,18,0.019399166107177734,0.027987080740206574,13,0.09625244140625,0.00896453857421875,"[0.0009058713912964977, 0.03787499666213978]"
0.0,history_3,event_contact_choice_nll,yuquan,16,0.009356856346130038,0.013499090248872232,10,0.454498291015625,0.033538818359375,"[-0.0023736953735356003, 0.02047586441040039]"
0.0,history_3,event_contact_contribution_nll,all,34,0.011993035674095154,0.017302293092221505,23,0.05761267291381955,0.0005407867720350623,"[0.002835571765899658, 0.02198509871959642]"
0.0,history_3,event_contact_contribution_nll,epilepsiae,18,0.016576312482357025,0.023914563814522304,13,0.09625244140625,0.00896453857421875,"[0.002835571765899658, 0.03188108652830135]"
0.0,history_3,event_contact_contribution_nll,yuquan,16,0.008791670203208923,0.01268369900330078,10,0.454498291015625,0.033538818359375,"[-0.002047985792160034, 0.01886337250471093]"
0.0,history_3,event_stop_contribution_nll,all,34,-0.004448190331459045,-0.006417382132126199,13,0.22948101302608848,0.06433000124525279,"[-0.010554149746894809, 0.000812679529190008]"
0.0,history_3,event_stop_contribution_nll,epilepsiae,18,-0.007385753095150008,-0.010655389363603229,7,0.480682373046875,0.24620819091796875,"[-0.017101518809795352, 0.0033054873347282687]"
0.0,history_3,event_stop_contribution_nll,yuquan,16,-0.003848031163215637,-0.005551535476357389,6,0.454498291015625,0.252227783203125,"[-0.008155122399330084, 0.0019752681255340854]"
0.0,history_3,event_total_nll,all,34,0.015734732151031494,0.02270042004400927,23,0.05761267291381955,0.005799120059236884,"[0.00028312206268310547, 0.036041259765625]"
0.0,history_3,event_total_nll,epilepsiae,18,0.027834057807922363,0.040156057167306324,14,0.0308837890625,0.02081298828125,"[0.0025053024291992188, 0.0643814206123352]"
0.0,history_3,event_total_nll,yuquan,16,0.008945345878601296,0.012905406138094619,9,0.803619384765625,0.1590576171875,"[-0.010046243667602761, 0.036041259765625]"
0.0,linear_state,event_contact_choice_nll,all,34,0.009514689445495828,0.013726795278615391,22,0.12144948495551944,0.011234543286263943,"[-0.0010966062545776367, 0.03076159954071045]"
0.0,linear_state,event_contact_choice_nll,epilepsiae,18,0.0189533829689027,0.027343951617305264,12,0.237884521484375,0.02081298828125,"[-0.0029603242874145508, 0.035776138305664285]"
0.0,linear_state,event_contact_choice_nll,yuquan,16,0.004275560379027987,0.006168329755845014,10,0.454498291015625,0.21142578125,"[-0.010055541992187056, 0.04596710205078125]"
0.0,linear_state,event_contact_contribution_nll,all,34,0.008259095251560211,0.011915355761655503,22,0.12144948495551944,0.008130305097438395,"[-0.0009135603904721901, 0.026198357343673706]"
0.0,linear_state,event_contact_contribution_nll,epilepsiae,18,0.016822263598441856,0.024269396269998994,12,0.237884521484375,0.01593017578125,"[-0.002264108695089805, 0.031009286642074807]"
0.0,linear_state,event_contact_contribution_nll,yuquan,16,0.004016652703285217,0.005794804936002832,10,0.454498291015625,0.21142578125,"[-0.009361833333969116, 0.043662041425704956]"
0.0,linear_state,event_stop_contribution_nll,all,34,0.007473886013031034,0.010782538287169258,22,0.12144948495551944,0.00281744496896863,"[-0.00011275708675390073, 0.010983543284237307]"
0.0,linear_state,event_stop_contribution_nll,epilepsiae,18,0.010137841105461162,0.014625813088169105,12,0.237884521484375,0.0138702392578125,"[-0.0005421936511992853, 0.013847194612026242]"
0.0,linear_state,event_stop_contribution_nll,yuquan,16,0.004680059850215912,0.006751899136970041,10,0.454498291015625,0.116668701171875,"[-0.0015092417597769997, 0.008394017815589905]"
0.0,linear_state,event_total_nll,all,34,0.04120677709579468,0.05944881296711991,24,0.024306510109454393,6.176321767270565e-05,"[0.012235522270202637, 0.04801464080810547]"
0.0,linear_state,event_total_nll,epilepsiae,18,0.04257887601852417,0.06142833327855083,14,0.0308837890625,0.0005340576171875,"[0.012235522270202637, 0.05756419897079468]"
0.0,linear_state,event_total_nll,yuquan,16,0.0400049090385437,0.05771488388112107,10,0.454498291015625,0.05767822265625,"[-0.002104043960571289, 0.04709267616271973]"
1.0,history_3,event_contact_choice_nll,all,34,0.01592034101486206,0.02296819703140266,22,0.12144948495551944,0.003394925268366933,"[-0.00013577938079833984, 0.027788400650024525]"
1.0,history_3,event_contact_choice_nll,epilepsiae,18,0.019124746322631725,0.02759117667792023,12,0.237884521484375,0.030364990234375,"[-0.0016491413116455078, 0.0369335412979126]"
1.0,history_3,event_contact_choice_nll,yuquan,16,0.014397203922271729,0.020770774701328557,10,0.454498291015625,0.05767822265625,"[-0.0008327960968013137, 0.025745272636413907]"
1.0,history_3,event_contact_contribution_nll,all,34,0.014113903045654297,0.02036205793155309,22,0.12144948495551944,0.001916260807774961,"[-0.00010275840759255139, 0.021833807229995728]"
1.0,history_3,event_contact_contribution_nll,epilepsiae,18,0.01678827404975891,0.024220359716672055,12,0.237884521484375,0.0182342529296875,"[-0.0018687546253204346, 0.031705327332019584]"
1.0,history_3,event_contact_contribution_nll,yuquan,16,0.012991666793823242,0.018743013256330612,10,0.454498291015625,0.0506591796875,"[-0.0006958246231079102, 0.022624433040618896]"
1.0,history_3,event_stop_contribution_nll,all,34,-0.010434240102767917,-0.015053426451708022,11,0.05761267291381955,0.00031494395807385445,"[-0.015521422028541593, -0.0020636320114135742]"
1.0,history_3,event_stop_contribution_nll,epilepsiae,18,-0.013624832034110967,-0.01965647760855698,6,0.237884521484375,0.0047454833984375,"[-0.02713923901319505, 0.0030218958854675015]"
1.0,history_3,event_stop_contribution_nll,yuquan,16,-0.0080064386129379,-0.011550849282067418,5,0.210113525390625,0.02496337890625,"[-0.014467611908912603, 5.60283660889227e-05]"
1.0,history_3,event_total_nll,all,34,0.010044753551483376,0.01449151613567687,21,0.22948101302608848,0.15775297058280557,"[-0.009306073188781738, 0.025252103805541548]"
1.0,history_3,event_total_nll,epilepsiae,18,0.019819915294647328,0.02859409350642702,11,0.480682373046875,0.34654998779296875,"[-0.01775270700454712, 0.04323470592498779]"
