candidate_id,topology_seed,block,g_LEE,g_LEI,theta_FT_deg,AR_FT,passes,relaxed_band,EE_budget_error,EE_ratio_p01,EE_ratio_p99,EE_effective_source_median_ratio,EE_effective_source_p05_ratio,EtoI_budget_error,EtoI_ratio_p01,EtoI_ratio_p99,EtoI_effective_source_median_ratio,EtoI_effective_source_p05_ratio,achieved_EE_angle_deg,achieved_EE_aspect_ratio,achieved_EE_rms_distance_mm
dci_p000,2511,reference,0.5,1.0,0.0,2.0,True,False,9.731593308970332e-11,0.520658000636963,1.3956836135625839,0.9903094806162244,0.900167369997024,7.003109203651547e-11,0.37503283613532234,1.6443093724684068,0.897471799558354,0.8463078552173915,157.83613542814888,1.9097183073953892,1.6771502465898227
dci_p001,2511,full4d,0.6762,0.4509,-3.59,2.0245,True,False,2.546585164964199e-11,0.4025625123300583,1.5696161646649331,0.970505412748139,0.8438709060898338,4.092726157978177e-11,0.5596753931584809,1.724947659429942,0.9497630295597601,0.9252658826942444,152.90404383629027,1.9329295877167152,1.6770190595440342
dci_p002,2511,full4d,0.125,0.3974,9.65,2.1373,True,False,2.3646862246096134e-11,0.3696920145366687,2.1625337990361104,0.8717808388611203,0.8193687437912611,2.8194335754960775e-11,0.6001483083603143,1.6562919770736042,0.9596948564363965,0.936191231491908,170.0030264529418,2.1739760329820372,1.7376320816264916
dci_p003,2511,full4d,0.9479,1.0435,-3.72,1.9337,True,False,2.2737367544323206e-11,0.31840410205122166,1.6314662936617041,0.9650020238829286,0.8102719897290583,6.730260793119669e-11,0.36852926445538386,1.6462785265494595,0.896087750562604,0.8428211265877479,151.86973515109764,1.869636059947898,1.6393200839916662
dci_p004,2511,full4d,0.1828,0.8408,0.26,2.2592,True,False,2.091837814077735e-11,0.6235568406587845,1.457200657004315,0.9719923624765947,0.9526694941646857,5.729816621169448e-11,0.4006893114735314,1.642117235192968,0.9043878713985779,0.8617960668437168,158.04451355554386,2.2482907016839713,1.7673272897107692
dci_p005,2511,full4d,0.7359,0.3795,-4.8,1.5141,True,True,2.546585164964199e-11,0.22677789105202564,2.5616336892349523,0.8297239380637733,0.7198688366287401,4.320099833421409e-11,0.6147488683837238,1.6260208740811988,0.9630084222169013,0.9400003526827404,149.0268108322195,1.352277806196108,1.5308310372663037
dci_p006,2511,full4d,0.0144,1.1385,-0.66,2.3358,True,False,2.319211489520967e-11,0.5871650411236496,1.5907338372004207,0.9551093930062595,0.9339478355740184,6.684786058031023e-11,0.3596638092197579,1.648375018739003,0.8935476545813654,0.8374854235128852,156.87919631022874,2.3524172882351357,1.7990559985267307
dci_p007,2511,full4d,0.8112,0.6458,-5.36,1.9865,True,False,2.4556356947869062e-11,0.3283014777963089,1.7543742431674718,0.9484479187832436,0.8059301537133325,4.6838977141305804e-11,0.4561456706781595,1.6497104435172791,0.9202988400428073,0.8868680194320309,150.15989443591258,1.9110302615572732,1.658178576343234
dci_p008,2511,full4d,0.1371,0.1212,-9.52,2.045,True,False,2.4101609596982598e-11,0.3890842017502174,2.051645941099287,0.8884200197670938,0.8393798103229847,1.4097167877480388e-11,0.8640567045992158,1.17756099894431,0.9964272703797039,0.9921099373417924,144.9407068120102,2.002981948895184,1.6950164274721253
dci_p009,2511,full4d,0.3828,0.5673,-7.29,2.0172,True,False,2.2282620193436742e-11,0.4183967933041366,1.8068134610353623,0.9308355668286723,0.8683376713173672,4.8203219193965197e-11,0.49101804417522865,1.6804264258193293,0.9304498522031478,0.9002251234781595,147.81298635056893,1.9444721924094888,1.6800147342926712
dci_p010,2511,full4d,0.8963,0.7285,3.5,1.5973,True,False,2.2282620193436742e-11,0.25382776497943077,2.1271706791096103,0.8937120795997822,0.7582315767738641,5.2295945351943374e-11,0.42870826102190207,1.6287791994083374,0.9121805529189144,0.8750645299919002,162.10126505372514,1.466130300193727,1.5437955571470425
dci_p011,2511,full4d,0.5932,0.0158,-1.52,1.6308,True,False,2.319211489520967e-11,0.33328175499968893,2.120972429756578,0.9016885760830172,0.8055453006462823,1.318767317570746e-11,0.981685824878183,1.0218493899294747,0.9999417847289936,0.9998570042546178,155.52308128957333,1.4703954901227263,1.5678631621899255
dci_p012,2511,full4d,0.2151,1.0043,-6.26,1.7967,True,False,2.319211489520967e-11,0.48371711826854286,1.7517726370892415,0.936481789760711,0.897178238663136,6.684786058031023e-11,0.37441917536203734,1.6456731240586502,0.8973273931277284,0.8458495486284234,148.55914861634642,1.68124720492033,1.620507095102178
