seed,z_regime,A_frac,tau_adp_ms,eta_m,realized_a_max,D_max,phenotype,runaway_ms,n_events,peak_participation,peak_returned,event_bar
1,zA_q75_tz5000,0.001,2000.0,0.00745,0.00031,0.05585,interictal_like,,54,0.0587,True,0.025906
1,zA_q75_tz5000,0.001,1000.0,0.00745,0.00026,0.07413,expanded_bounded,,60,0.0818,False,0.025906
1,zA_q75_tz5000,0.001,500.0,0.00745,0.00649,0.74578,runaway,12956.2,42,0.4795,False,0.025906
3,zA_q75_tz5000,0.001,2000.0,0.00745,0.00033,0.05998,interictal_like,,53,0.069,True,0.023625
3,zA_q75_tz5000,0.001,1000.0,0.00745,0.00028,0.07999,expanded_returned,,57,0.0828,True,0.023625
3,zA_q75_tz5000,0.001,500.0,0.00745,0.00651,0.82534,runaway,11008.6,39,0.4823,False,0.023625
4,zA_q75_tz5000,0.001,2000.0,0.00745,0.0003,0.05412,interictal_like,,44,0.0692,True,0.021797
4,zA_q75_tz5000,0.001,1000.0,0.00745,0.01158,0.57839,runaway,15399.2,46,0.4725,False,0.021797
4,zA_q75_tz5000,0.001,500.0,0.00745,0.0065,0.75617,runaway,12676.6,38,0.4797,False,0.021797
