candidate_id,unit,event_id,window_start_ms,mode,local_width_ms,contact_overlap,centroid_span_ms,simultaneous_secondary_fraction,largest_family_fraction,unknown_or_collision_fraction,core2_minus_core1_peak_ms,absolute_core_lag_ms,outside_peak_density_share,native_active_cell_frames,disconnected_mass_010,disconnected_mass_020,disconnected_mass_030,recruitment_span_ms
tshape_anchor3_B_minus,topo_6101_dyn_842901,0,1464.0,1,17.87406982158268,0.0,88.43405088618215,0.2044313358751169,0.39036999736230005,0.05054312639378462,-20.0,20.0,0.17121318894773244,208515.0,0.17413718334153555,0.18270955814750944,0.178887442240433,88.53876185076115
tshape_anchor3_B_minus,topo_6101_dyn_842901,1,1764.0,1,22.574105138131245,0.42857142857142855,29.855860401839436,0.3697327229215102,0.29963095347828905,0.03709583260787185,74.0,74.0,0.38889409967145444,292917.0,0.18700710223822856,0.27143178098019705,0.2931118131349231,26.3101596049803
tshape_anchor3_B_minus,topo_6101_dyn_842901,5,2854.0,0,22.226769197525755,0.375,29.749506424505398,0.5093079297770318,0.3109972466392803,0.07887077854832614,-16.0,16.0,0.30015669947617557,203751.0,0.1361487378505348,0.1487928501344667,0.14697505915858688,29.459191061873753
tshape_anchor3_B_minus,topo_6101_dyn_842901,6,3426.0,0,20.07091476159735,0.0,97.27561919303116,0.21075237383135537,0.6544353682600899,0.00475609550419672,-28.0,28.0,0.7010122673059034,177877.0,0.23918327661643168,0.2398136689471595,0.2466895004703442,97.35175116471555
tshape_anchor3_B_minus,topo_6101_dyn_842901,7,3792.0,1,19.355913882174264,0.025,48.814309358174796,0.48055877491307736,0.3905392054414531,0.05166910493416678,6.0,6.0,0.2841764012795218,210532.0,0.32466039303588334,0.3319109801381479,0.34497671663739227,49.180175940668505
tshape_anchor3_B_minus,topo_6101_dyn_842901,8,4092.0,0,20.73401482537838,0.46153846153846156,19.168639707177135,0.4112663777008299,0.36184334981041755,0.08017157003857447,-16.0,16.0,0.4953100627943125,243166.0,0.14652031468458504,0.18370628035718073,0.18627152150626594,19.354902464257975
tshape_anchor3_B_minus,topo_6101_dyn_842901,9,4418.0,0,21.674891342551746,0.0,102.39952797922524,0.3913346386229595,0.33161964020452206,0.06996112158812907,4.0,4.0,0.2794801471051671,249753.0,0.13618341595129946,0.14379761355560267,0.14861118846962953,109.69757689433573
tshape_anchor3_B_minus,topo_6101_dyn_842901,10,5124.0,1,21.211158914387852,0.0,124.45990387605525,0.00031216089664501363,0.4267883598670095,0.0018085512265941263,-38.0,38.0,0.5299213199501505,201819.0,0.06591017498054377,0.07592847742041622,0.0854349899332415,124.41155615568186
tshape_anchor3_B_minus,topo_6101_dyn_842901,11,5600.0,0,22.94530060269517,0.4117647058823529,31.321465681353402,0.41562538369270585,0.45016481077456344,0.04601479046836483,14.0,14.0,0.75966419746926,211758.0,0.23555203380876916,0.32721197095456017,0.3566142251246472,31.283250266352297
tshape_anchor3_B_minus,topo_6101_dyn_842901,12,5890.0,0,22.59415020384631,0.0,71.06768375588035,0.19750263893822134,0.4382338374414056,0.052303505410448696,-28.0,28.0,1.0,199891.0,0.03987787813255311,0.04773895490396021,0.044922763901159214,71.33093347408703
