lambda_value,rank,candidate_id,observation_loss,R_unsupported,combined
0.0,1,tshape_anchor3_B_minus,0.3848231589619227,0.7948858349539429,0.3848231589619227
0.0,2,integrated_anchor1_B_minus,0.40118590623135064,0.8489496412328108,0.40118590623135064
0.0,3,native_reg_anchor1_A_minus,0.4139802272670563,0.8545475295727651,0.4139802272670563
0.0,4,integrated_anchor3_B_plus,0.41893539853232004,0.9199703960239065,0.41893539853232004
0.0,5,tshape_anchor1_B_plus,0.41942695337866714,0.8625555545547625,0.41942695337866714
0.0,6,tshape_anchor3_A_plus,0.4199359445261293,0.9352150791915685,0.4199359445261293
0.0,7,tshape_anchor1_A_plus,0.42097462457144996,0.8522794417291538,0.42097462457144996
0.0,8,native_reg_anchor2_A_minus,0.42720455101273824,0.6957821576440599,0.42720455101273824
0.0,9,integrated_anchor2_B_plus,0.42786879062816247,0.7894552683835749,0.42786879062816247
0.0,10,v2_1_pop1_de_b_002,0.43633272517495625,0.853633427579793,0.43633272517495625
0.0,11,native_reg_anchor3_A_minus,0.44470519685940724,0.9118210723086483,0.44470519685940724
0.0,12,native_reg_anchor1_A_plus,0.44556804878655754,0.8888392284030856,0.44556804878655754
0.0,13,tshape_anchor1_A_minus,0.45508312153565345,0.9187267752420469,0.45508312153565345
0.0,14,v2_anchor_support_rank__vth_low,0.46640766601111516,0.9376868374772733,0.46640766601111516
0.0,15,integrated_anchor1_B_plus,0.4664423649472186,0.9350087173940225,0.4664423649472186
0.0,16,tshape_anchor2_B_minus,0.46762133814813756,0.840591674930778,0.46762133814813756
0.0,17,tshape_anchor1_B_minus,0.47798046775294245,0.885848838947912,0.47798046775294245
0.0,18,native_reg_anchor2_A_plus,0.4869958614601108,0.825982679048904,0.4869958614601108
0.0,19,tshape_anchor3_A_minus,0.5172764242153627,0.9395735864538166,0.5172764242153627
0.0,20,native_reg_anchor3_A_plus,0.5260545373127707,0.9489971155971211,0.5260545373127707
0.0,21,integrated_anchor2_B_minus,0.5830257732501253,0.8570205125757059,0.5830257732501253
0.0,22,v2_anchor_old_joint__baseline,0.6069219828843531,0.8884162707825702,0.6069219828843531
0.0,23,tshape_anchor2_B_plus,0.6697576007017977,0.9863601418566506,0.6697576007017977
0.0,24,tshape_anchor2_A_plus,0.7369229874209864,0.9380586321675393,0.7369229874209864
0.14321518865411248,1,tshape_anchor3_B_minus,0.3848231589619227,0.7948858349539429,0.49866288377333334
0.14321518865411248,2,integrated_anchor1_B_minus,0.40118590623135064,0.8489496412328108,0.5227683892583488
0.14321518865411248,3,native_reg_anchor2_A_minus,0.42720455101273824,0.6957821576440599,0.5268511239818977
0.14321518865411248,4,native_reg_anchor1_A_minus,0.4139802272670563,0.8545475295727651,0.5363644129287256
0.14321518865411248,5,integrated_anchor2_B_plus,0.42786879062816247,0.7894552683835749,0.5409307758236992
0.14321518865411248,6,tshape_anchor1_B_plus,0.41942695337866714,0.8625555545547625,0.5429580098488801
0.14321518865411248,7,tshape_anchor1_A_plus,0.42097462457144996,0.8522794417291538,0.5430339856047124
0.14321518865411248,8,integrated_anchor3_B_plus,0.41893539853232004,0.9199703960239065,0.5506891323550824
0.14321518865411248,9,tshape_anchor3_A_plus,0.4199359445261293,0.9352150791915685,0.5538729485247206
0.14321518865411248,10,v2_1_pop1_de_b_002,0.43633272517495625,0.853633427579793,0.5585859975472529
0.14321518865411248,11,native_reg_anchor1_A_plus,0.44556804878655754,0.8888392284030856,0.5728633265654812
0.14321518865411248,12,native_reg_anchor3_A_minus,0.44470519685940724,0.9118210723086483,0.5752918237488854
0.14321518865411248,13,tshape_anchor1_A_minus,0.45508312153565345,0.9187267752420469,0.5866587499735276
0.14321518865411248,14,tshape_anchor2_B_minus,0.46762133814813756,0.840591674930778,0.5880068334544253
0.14321518865411248,15,integrated_anchor1_B_plus,0.4664423649472186,0.9350087173940225,0.6003498148020432
0.14321518865411248,16,v2_anchor_support_rank__vth_low,0.46640766601111516,0.9376868374772733,0.600698663338901
0.14321518865411248,17,tshape_anchor1_B_minus,0.47798046775294245,0.885848838947912,0.6048474763418942
0.14321518865411248,18,native_reg_anchor2_A_plus,0.4869958614601108,0.825982679048904,0.6052891266651288
0.14321518865411248,19,tshape_anchor3_A_minus,0.5172764242153627,0.9395735864538166,0.6518376326537672
0.14321518865411248,20,native_reg_anchor3_A_plus,0.5260545373127707,0.9489971155971211,0.6619653382552211
0.14321518865411248,21,integrated_anchor2_B_minus,0.5830257732501253,0.8570205125757059,0.7057641276390991
0.14321518865411248,22,v2_anchor_old_joint__baseline,0.6069219828843531,0.8884162707825702,0.7341566867078619
0.14321518865411248,23,tshape_anchor2_B_plus,0.6697576007017977,0.9863601418566506,0.811019354498695
0.14321518865411248,24,tshape_anchor2_A_plus,0.7369229874209864,0.9380586321675393,0.8712672313954792
0.28643037730822496,1,tshape_anchor3_B_minus,0.3848231589619227,0.7948858349539429,0.612502608584744
0.28643037730822496,2,native_reg_anchor2_A_minus,0.42720455101273824,0.6957821576440599,0.6264976969510572
0.28643037730822496,3,integrated_anchor1_B_minus,0.40118590623135064,0.8489496412328108,0.6443508722853468
0.28643037730822496,4,integrated_anchor2_B_plus,0.42786879062816247,0.7894552683835749,0.6539927610192359
0.28643037730822496,5,native_reg_anchor1_A_minus,0.4139802272670563,0.8545475295727651,0.6587485985903949
0.28643037730822496,6,tshape_anchor1_A_plus,0.42097462457144996,0.8522794417291538,0.6650933466379748
0.28643037730822496,7,tshape_anchor1_B_plus,0.41942695337866714,0.8625555545547625,0.666489066319093
0.28643037730822496,8,v2_1_pop1_de_b_002,0.43633272517495625,0.853633427579793,0.6808392699195497
0.28643037730822496,9,integrated_anchor3_B_plus,0.41893539853232004,0.9199703960239065,0.6824428661778448
0.28643037730822496,10,tshape_anchor3_A_plus,0.4199359445261293,0.9352150791915685,0.6878099525233118
0.28643037730822496,11,native_reg_anchor1_A_plus,0.44556804878655754,0.8888392284030856,0.7001586043444049
0.28643037730822496,12,native_reg_anchor3_A_minus,0.44470519685940724,0.9118210723086483,0.7058784506383636
0.28643037730822496,13,tshape_anchor2_B_minus,0.46762133814813756,0.840591674930778,0.7083923287607131
0.28643037730822496,14,tshape_anchor1_A_minus,0.45508312153565345,0.9187267752420469,0.7182343784114018
0.28643037730822496,15,native_reg_anchor2_A_plus,0.4869958614601108,0.825982679048904,0.7235823918701468
0.28643037730822496,16,tshape_anchor1_B_minus,0.47798046775294245,0.885848838947912,0.7317144849308459
0.28643037730822496,17,integrated_anchor1_B_plus,0.4664423649472186,0.9350087173940225,0.7342572646568679
0.28643037730822496,18,v2_anchor_support_rank__vth_low,0.46640766601111516,0.9376868374772733,0.7349896606666868
0.28643037730822496,19,tshape_anchor3_A_minus,0.5172764242153627,0.9395735864538166,0.7863988410921715
0.28643037730822496,20,native_reg_anchor3_A_plus,0.5260545373127707,0.9489971155971211,0.7978761391976713
