condition_index,candidate_id,name,placement,unit,N,observation_loss,R_unsupported,total_loss,node_gain,E_to_E_weight_scale,E_to_I_weight_scale,I_to_E_weight_scale,tau_d_GABA_ms,participation,centroid_structure,local_shape,recruitment,joint_envelope
1,v2_1_pop1_de_b_002,Place 1: original,1,topo_6101_dyn_7101,46,0.4324360576275309,0.7974371562214785,0.6608462831636469,0.9101988644897936,1.1587065309286118,1.2045320562273265,1.110216315165162,20.611550480127335,0.09234666666863398,0.15307488352196974,1.3568849812939867,0.23980664716811573,0.3200671094849487
1,v2_1_pop1_de_b_002,Place 1: original,1,topo_6102_dyn_7101,40,0.4402293927223816,0.9098296989381076,0.7008322566754525,0.9101988644897936,1.1587065309286118,1.2045320562273265,1.110216315165162,20.611550480127335,0.10267069909329235,0.20243813578605574,1.3300589095338429,0.18147969130345562,0.3844995278952616
2,v2_anchor_old_joint__baseline,Place 2: original,2,topo_6101_dyn_7101,33,0.5130659298414454,0.9303684210405364,0.7795517077157437,1.0,1.0,1.0,1.0,18.0,0.16974978421575795,0.16564679495745854,1.4109266024523726,0.2798230271134941,0.5391834404681434
2,v2_anchor_old_joint__baseline,Place 2: original,2,topo_6102_dyn_7101,31,0.7007780359272608,0.8464641205246042,0.943231073346998,1.0,1.0,1.0,1.0,18.0,0.3234252827185425,0.15644310783282678,1.4392831509594721,0.49721469817326935,1.0875239399521934
3,v2_anchor_support_rank__vth_low,Place 3: original,3,topo_6101_dyn_7101,36,0.43731445641806505,0.9248239668276041,0.702212134180185,0.7,1.0,1.0,1.0,18.0,0.0924112933025754,0.14969724164360554,1.3698977659605889,0.23872596871097654,0.3358400124725788
3,v2_anchor_support_rank__vth_low,Place 3: original,3,topo_6102_dyn_7101,42,0.49550087560416534,0.9505497081269425,0.7677671871531886,0.7,1.0,1.0,1.0,18.0,0.13152479000863,0.15609231998567627,1.34762312030282,0.24360391339721116,0.5986602343264895
4,tshape_anchor1_A_plus,Place 1: timing A +,1,topo_6101_dyn_7101,34,0.39036875273656907,0.7875152072787992,0.6159370306934004,0.8652719175497532,1.181378315377335,1.1286157702718427,1.1781474926725568,17.853973127745075,0.07678838677562468,0.1116642750690299,1.399802928043183,0.1331038171738699,0.2304843566211379
4,tshape_anchor1_A_plus,Place 1: timing A +,1,topo_6102_dyn_7101,33,0.4515804964063309,0.9170436761795084,0.7142496625825492,0.8652719175497532,1.181378315377335,1.1286157702718427,1.1781474926725568,17.853973127745075,0.09520057331735643,0.1716065414812319,1.3912483273003873,0.21034304512018315,0.38950399481249576
5,tshape_anchor1_A_minus,Place 1: timing A -,1,topo_6101_dyn_7101,45,0.42966335253450383,0.9423993162446461,0.699595144261471,0.955125811429834,1.0987913772345586,1.2804483421828103,1.0422851376577673,23.369127832509594,0.07252689057400578,0.23528358795169343,1.3142035508994394,0.32660977761863186,0.19969295562874903
5,tshape_anchor1_A_minus,Place 1: timing A -,1,topo_6102_dyn_7101,45,0.48050289053680306,0.8950542342394479,0.7368736125613324,0.955125811429834,1.0987913772345586,1.2804483421828103,1.0422851376577673,23.369127832509594,0.11976493526921786,0.23539991407326621,1.3665489698392068,0.37398474189646397,0.30681589160586037
