candidate,comparison,topology,noise,description,L_search,TA,TB,primary,rotation_time_fraction,rotation_tracks_per_minute,max_fixed_ring_turns,coreAE_rate_hz,coreBE_rate_hz,surroundE_rate_hz
up3__ellipse4__EI_same_core_scale_0.75__x_minus075,up3__ellipse4__EI_same_core_scale_0.75,2511,847102,椭圆4:1｜离核EE×1，同核EI×0.75｜x_minus075,-2.2719489301778184,14,-3,11,0.0,0.0,0.20866036804344468,0.44864768355334483,0.4158085101481319,0.1643317097275716
follow_ellipse4_out1.25_EI0.75,up3__ellipse4__EE_core_to_out_scale_1.25,2511,847102,椭圆4:1｜离核EE×1.25，同核EI×0.75,0.673026158783582,-3,14,11,-0.0007586206896551724,-1.0344827586206897,0.10228412756430283,1.714482431149099,10.05114382472873,1.9982333905970027
up3__ellipse4__EI_same_core_scale_0.75__y_minus10,up3__ellipse4__EI_same_core_scale_0.75,2511,847101,椭圆4:1｜离核EE×1，同核EI×0.75｜y_minus10,-1.8588551368426973,6,0,6,0.0,0.0,-0.19270414091329402,0.13294538400921319,0.4171447001635684,0.05085703663510621
up3__circle__EE_core_to_out_scale_1.25__y_plus10,up3__circle__EE_core_to_out_scale_1.25,2511,847101,圆核｜离核EE×1.25，同核EI×1｜y_plus10,0.4967251059333333,-2,2,0,-0.001,-1.0344827586206897,0.054452429370820954,-1.492868900361544,0.421521874352063,0.3148345067664966
up3__circle__EE_core_to_out_scale_1.25__x_plus075,up3__circle__EE_core_to_out_scale_1.25,2511,847102,圆核｜离核EE×1.25，同核EI×1｜x_plus075,0.31262799483370385,-4,13,9,0.005655172413793104,8.275862068965518,0.013090368074863967,-0.4379698413966331,-0.769392033542978,-0.47525574156170514
up3__ellipse4__EI_same_core_scale_0.75__x_minus075,up3__ellipse4__EI_same_core_scale_0.75,2511,847101,椭圆4:1｜离核EE×1，同核EI×0.75｜x_minus075,-1.2899563357883297,12,-1,11,0.0,0.0,-0.20589903994241632,0.8261856766573725,0.6191397700831658,0.44784527014259545
up3__ellipse4__EI_same_core_scale_0.75__radius235,up3__ellipse4__EI_same_core_scale_0.75,2511,847102,椭圆4:1｜离核EE×1，同核EI×0.75｜radius235,4.510102057180717,-23,15,-8,0.000793103448275862,1.0344827586206897,0.15851339229385364,-1.5420483868937467,-1.1057663510493718,-0.7306958469599163
up3__ellipse4__EI_same_core_scale_0.75,up3__ellipse4,2511,847101,椭圆4:1｜离核EE×1，同核EI×0.75,-1.2076695472183854,23,22,45,-0.00796551724137931,-11.379310344827585,-0.066362399185249,4.19019468186135,10.385928536871933,3.4706726605999654
follow_circle_out1.125_EI1,up3__circle,2511,847101,圆核｜离核EE×1.125，同核EI×1,-2.6699569576616513,29,-19,10,-0.0077586206896551714,-8.275862068965516,-0.08849621715960654,0.8389838556505218,1.3128066901651803,1.1528044364510404
follow_ellipse4_out1.125_EI1,up3__ellipse4,2511,847102,椭圆4:1｜离核EE×1.125，同核EI×1,-1.2168661543041548,8,17,25,-0.0008965517241379317,-3.1034482758620694,-0.0163851747040058,0.9972459639126328,0.9528647453175756,1.439818569886027
up3__circle__EE_core_to_out_scale_1.25__x_minus075,up3__circle__EE_core_to_out_scale_1.25,2612,847302,圆核｜离核EE×1.25，同核EI×1｜x_minus075,-0.5622149251168627,11,-3,8,-0.01206896551724138,-8.275862068965516,-0.09960314992611297,0.6389706368278532,0.6181723880838916,0.1469689666201468
up3__ellipse4__EI_same_core_scale_0.75__radius205,up3__ellipse4__EI_same_core_scale_0.75,2511,847101,椭圆4:1｜离核EE×1，同核EI×0.75｜radius205,3.327312966160548,-20,13,-7,0.0007586206896551724,1.0344827586206897,-0.18481315451620905,-0.8546993154557008,-0.7637017070979315,-0.3336831965723306
follow_circle_out1.25_EI0.75,up3__circle__EE_core_to_out_scale_1.25,2511,847102,圆核｜离核EE×1.25，同核EI×0.75,0.26364531195604046,21,18,39,-0.001586206896551724,-2.0689655172413794,-0.06931549877469034,8.96923076923077,8.718685926233098,2.35985710391369
follow_circle_out1.25_EI0.75,up3__circle__EE_core_to_out_scale_1.25,2511,847101,圆核｜离核EE×1.25，同核EI×0.75,0.56759528889327,18,5,23,-0.0018275862068965517,-2.0689655172413794,0.06446635439615389,9.464791073124408,7.4493284493284495,2.614359690854549
follow_ellipse4_out1.125_EI1,up3__ellipse4,2511,847101,椭圆4:1｜离核EE×1.125，同核EI×1,-2.8378474986604107,23,-1,22,-0.005000000000000001,-8.275862068965516,0.03781995429159324,1.1689221272554615,1.57686548252586,1.6906787843980853
follow_circle_out1.125_EI0.75,follow_circle_out1.125_EI1,2511,847102,圆核｜离核EE×1.125，同核EI×0.75,-0.39393561824684475,24,15,39,-0.004172413793103448,-4.137931034482759,-0.058109019756353186,8.28860398860399,9.937129955997882,2.9709925646791184
up3__ellipse4,up3__circle,2511,847101,椭圆4:1｜离核EE×1，同核EI×1,1.1342283446090242,-6,-10,-16,-0.006482758620689654,-6.206896551724137,-0.11284471532446971,2.2698005698005694,-1.754371414748773,-1.049112413117915
up3__circle__EE_core_to_out_scale_1.25__x_minus075,up3__circle__EE_core_to_out_scale_1.25,2611,847302,圆核｜离核EE×1.25，同核EI×1｜x_minus075,-0.9353996694712272,7,-7,0,3.448275862068966e-05,0.0,0.01897061104280684,0.031664569275124066,0.5960884353741491,0.13941897576136064
up3__ellipse4__EI_same_core_scale_0.75__radius235,up3__ellipse4__EI_same_core_scale_0.75,2511,847101,椭圆4:1｜离核EE×1，同核EI×0.75｜radius235,5.053374976109907,-28,19,-9,0.0,0.0,-0.3126157939784515,-1.3294939977929676,-1.0928191305549788,-0.6044238136702482
follow_circle_out1_EI0.875,up3__circle,2511,847101,圆核｜离核EE×1，同核EI×0.875,-3.509042727880346,46,-17,29,-0.006344827586206896,-7.241379310344826,-0.15656375257324573,3.375949667616336,5.96795447738844,1.151367526965144
