candidate,stage,topology,noise,comparison,description,physical_status,duration_ms,primary,TA,TB,n_all_detected,n_TA_all,n_TB_all,detection_rate_per_s,detection_interval_median_ms,detection_interval_min_ms,detection_interval_cv,detection_interval_below_250ms_fraction,qualifying_duration_median_ms,excluded_overlapping,excluded_prolonged,excluded_insufficient,coreAE_rate_hz,coreBE_rate_hz,surroundE_rate_hz,allI_rate_hz,L_search,L_off,L_off_A,L_off_B,L_D16,D_mask_off,rotation_time_fraction,rotation_tracks_per_minute,max_fixed_ring_turns
up3__ellipse4__EI_same_core_scale_0.75,response,2511,847101,up3__ellipse4,椭圆4:1｜离核EE×1，同核EI×0.75,COMPLETE_NO_RUNAWAY,60000.0,156,39,117,166,39,127,2.8376068376068377,330.0,234.0,0.24835550242648846,0.03636363636363636,89.0,10,0,0,14.806339031339032,14.920680996152694,10.9083966004524,23.960051282051282,7.487907180538135,10.963515412097752,11.021778717247006,0.0582633051492529,11.531582637302968,0.2613059165919437,0.0,0.0,0.7365367060499067
follow_circle_out1.125_EI1,response,2511,847101,up3__circle,圆核｜离核EE×1.125，同核EI×1,COMPLETE_NO_RUNAWAY,60000.0,137,51,86,178,58,120,3.0427350427350426,312.0,204.0,0.2688771663352373,0.12429378531073447,88.0,41,0,0,9.185327635327635,7.601930564194714,9.63964078942139,21.1958547008547,4.891391425485845,7.328113975938842,7.426902723044416,0.09878874710557325,8.173992623030312,0.1598633373227265,0.006689655172413793,9.310344827586206,0.8272476034000189
up3__circle,shape_range,2511,847102,up3__circle,圆核｜离核EE×1，同核EI×1,COMPLETE_NO_RUNAWAY,60000.0,127,22,105,169,23,146,2.888888888888889,324.0,184.0,0.3200637943022778,0.1488095238095238,88.0,42,0,0,9.202706552706553,6.457460778215496,8.802439779386534,19.42578418803419,7.743788990787312,13.598495954568257,13.693789642411964,0.09529368784370776,14.354889601827686,0.12302879642354103,0.012793103448275863,14.482758620689655,1.022211422053914
follow_ellipse4_out1.125_EI1,response,2511,847102,up3__ellipse4,椭圆4:1｜离核EE×1.125，同核EI×1,COMPLETE_NO_RUNAWAY,60000.0,137,28,109,179,30,149,3.0598290598290596,303.0,218.0,0.26679852170372576,0.1348314606741573,90.0,42,0,0,12.92530864197531,5.9226852811758475,9.449248323372366,20.804153846153845,8.342247754037615,13.852387860639569,13.919945751713978,0.06755789107440818,14.43085230296419,0.18444450279275315,0.004793103448275862,5.172413793103448,0.7918270620104014
up3__circle__EE_core_to_out_scale_1.25__x_minus075,confirmation,2612,847302,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,COMPLETE_NO_RUNAWAY,60000.0,163,63,100,185,77,108,3.1623931623931623,308.0,220.0,0.1794333401907627,0.059782608695652176,86.0,22,0,0,10.452543965632971,14.104509060261272,12.31317227507078,26.565717948717946,3.8921296533280505,5.934787409073146,6.0070267940800175,0.07223938500687119,6.670726143830646,0.12044913790184852,0.0030344827586206895,4.137931034482759,0.6846398096229087
up3__ellipse4__EI_same_core_scale_0.75__radius205,response,2511,847101,up3__ellipse4__EI_same_core_scale_0.75,椭圆4:1｜离核EE×1，同核EI×0.75｜radius205,COMPLETE_NO_RUNAWAY,60000.0,149,19,130,159,19,140,2.717948717948718,334.0,236.0,0.3206572190532061,0.03164556962025317,90.0,10,0,0,13.951639715883331,14.156979289054762,10.57471340388007,23.19267307692308,10.815220146698683,17.411775510763093,17.447797953409733,0.03602244264663965,17.747234507909923,0.27474574597714096,0.0007586206896551724,1.0344827586206897,0.5517235515336977
follow_circle_out1.25_EI0.75,response,2511,847102,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×0.75,COMPLETE_NO_RUNAWAY,60000.0,169,74,95,183,79,104,3.128205128205128,306.0,238.0,0.1875441533186506,0.04395604395604396,88.0,14,0,0,18.516714150047484,18.265325869099456,13.484950514225517,29.116717948717948,4.226808274477858,3.9056938406226442,3.9732003034295813,0.0675064628069374,4.618730854020921,0.29618907439408027,0.0,0.0,0.6462280493174306
follow_circle_out1.25_EI0.75,response,2511,847101,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×0.75,COMPLETE_NO_RUNAWAY,60000.0,169,89,80,177,93,84,3.0256410256410255,313.0,236.0,0.2033300807437815,0.022727272727272728,86.0,8,0,0,18.00897435897436,17.874605478379063,13.15337035600314,28.371008547008547,3.5653016434316864,2.8003475072631905,2.867207357544831,0.06685985028164065,3.50655467586302,0.28201324725667787,0.0,0.0,0.708256581633055
follow_ellipse4_out1.125_EI1,response,2511,847101,up3__ellipse4,椭圆4:1｜离核EE×1.125，同核EI×1,COMPLETE_NO_RUNAWAY,60000.0,133,39,94,173,39,134,2.9572649572649574,314.0,216.0,0.2776485373301474,0.12209302325581395,88.0,40,0,0,11.785066476733144,6.111617941806621,9.12840272425052,20.090173076923076,5.85772922909611,9.31951552141334,9.405682993710462,0.08616747229712121,10.03578263488316,0.15603873817936453,0.00296551724137931,3.103448275862069,0.840719059526749
follow_circle_out1.125_EI0.75,response,2511,847102,follow_circle_out1.125_EI1,圆核｜离核EE×1.125，同核EI×0.75,COMPLETE_NO_RUNAWAY,60000.0,169,73,96,183,78,105,3.128205128205128,307.0,232.0,0.19169487953101605,0.04945054945054945,86.0,14,0,0,17.763841405508074,17.629852327965537,12.813342826899706,27.941997863247863,4.512551400336651,4.22173818241916,4.2891040587706275,0.06736587635146749,4.9332902513815355,0.3128250437614465,0.0007241379310344827,1.0344827586206897,0.7278868087662939
up3__ellipse4,shape_range,2511,847101,up3__circle,椭圆4:1｜离核EE×1，同核EI×1,COMPLETE_NO_RUNAWAY,60000.0,111,16,95,152,16,136,2.5982905982905984,326.0,190.0,0.4068023532031588,0.16556291390728478,88.0,41,0,0,10.616144349477683,4.534752459280761,7.437723939852435,16.47541452991453,8.69557672775652,15.27368447488809,15.366849744729468,0.09316526984137768,15.920018534412648,0.1379027784004172,0.00796551724137931,11.379310344827585,0.8028991052351557
up3__circle__EE_core_to_out_scale_1.25,confirmation,2612,847301,up3__circle,圆核｜离核EE×1.25，同核EI×1,COMPLETE_NO_RUNAWAY,60000.0,152,53,99,186,78,108,3.1794871794871793,304.0,220.0,0.17989658601547978,0.0972972972972973,81.0,34,0,0,9.120280749419821,14.141506477789664,12.217830563006894,26.42283974358974,4.142187874230607,6.726222899826606,6.807849988907208,0.08162708908060082,7.501680246092314,0.10147662561546433,0.021517241379310346,18.620689655172413,0.7004601223449871
up3__circle__EE_core_to_out_scale_1.25__x_minus075,confirmation,2611,847302,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,COMPLETE_NO_RUNAWAY,60000.0,146,41,105,188,47,141,3.213675213675214,296.0,226.0,0.17730403982413157,0.10695187165775401,88.0,42,0,0,12.496282217998733,8.758110936682364,11.659613075713184,25.26879487179487,6.013838155295887,8.6634383710684,8.73978798902955,0.076349617961149,9.360128634963885,0.21910014423136492,0.000793103448275862,1.0344827586206897,0.6916772933672974
up3__ellipse4__EI_same_core_scale_0.75__radius235,response,2511,847101,up3__ellipse4__EI_same_core_scale_0.75,椭圆4:1｜离核EE×1，同核EI×0.75｜radius235,COMPLETE_NO_RUNAWAY,60000.0,147,11,136,155,11,144,2.6495726495726495,332.0,244.0,0.33367035282881297,0.01948051948051948,90.0,8,0,0,13.476845033546065,13.827861865597715,10.303972786782152,22.59751923076923,12.541282156648043,20.66924960167563,20.69182767619857,0.022578074522937246,20.87668566135512,0.2874225626239265,0.0,0.0,0.4239209120714552
up3__circle,shape_range,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×1,COMPLETE_NO_RUNAWAY,60000.0,127,22,105,156,22,134,2.6666666666666665,344.0,212.0,0.3739212922923823,0.11612903225806452,88.0,29,0,0,8.346343779677113,6.289123874029534,8.48683635297035,18.710942307692306,7.561348383147497,13.200330095813648,13.302480617572161,0.10215052175851409,14.011149862271852,0.12519649987292614,0.014448275862068965,17.586206896551722,0.9157438205596254
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,COMPLETE_NO_RUNAWAY,60000.0,156,68,88,182,83,99,3.111111111111111,300.0,204.0,0.2376414397592141,0.0718232044198895,82.0,26,0,0,11.722293447293449,12.257078351417974,9.638203879935494,21.508935897435897,4.05230565526715,4.802694270179181,4.879605026385066,0.07691075620588556,5.552574143186565,0.2150414188255373,0.008103448275862069,10.344827586206897,0.7591800679863797
up3__circle__EE_core_to_out_scale_1.25,confirmation,2611,847301,up3__circle,圆核｜离核EE×1.25，同核EI×1,COMPLETE_NO_RUNAWAY,60000.0,155,48,107,185,60,125,3.1623931623931623,293.0,228.0,0.21526488129847288,0.08152173913043478,88.0,30,0,0,11.007143261447897,9.690236350950638,11.47093621464128,24.851615384615386,5.163268290399843,8.06995235272201,8.144889258523419,0.07493690580140815,8.795903627673153,0.14696283043288205,0.0016206896551724137,2.0689655172413794,0.705324145977496
