candidate,comparison,stage,topology,noise,layer,mode,description,n_condition,n_reference,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,pair_order_probability_mae,SCL_minus_ICL_lag_median_ms,local_width_ms_median,recruitment_span_ms_median,B_minus_A_t10_ms_median,first_10pct_mass_core_share_median,peak_active_components_median,n,union_active_area_mm2_median,peak_active_area_mm2_median,native_spatial_rms_mm_median,peak_largest_component_fraction_median
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,confirmation,2612,847302,all_detected,TA,圆核｜离核EE×1.125，同核EI×0.875,75,59,-0.15502824858757058,-0.15042629686697473,0.016949152542372836,0.12396727898761412,0.0026476670645944056,-35.799198616652575,0.0,-2.0,-9.061008679811493,0.178925707316349,-1.0,16,-33.0,-10.0,-0.28934257642687555,0.12102874432677757
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,confirmation,2612,847302,all_detected,TB,圆核｜离核EE×1.125，同核EI×0.875,104,124,-0.1181761786600497,-0.0036938867584029866,0.0,-0.01393713813068656,0.0016763836719707603,-1.2142594115948668,2.0,-6.0,1.9163385168340028,0.10569376922540913,-1.0,-20,4.5,1.0,0.0875480772838273,0.05266882228313707
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,confirmation,2612,847301,primary,ALL,圆核｜离核EE×1.125，同核EI×0.875,173,144,-0.24957851637764938,-0.0735279091492963,0.01388888888888884,0.06831349374583562,-0.0708578240394927,-34.91821402502592,1.0,-10.0,33.06024824505221,0.12758925938177523,-1.0,29,-6.0,-2.5,0.06857561240173915,0.057645352960794205
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,confirmation,2612,847301,primary,TA,圆核｜离核EE×1.125，同核EI×0.875,73,41,-0.2796525225526228,-0.14375968168149922,0.024390243902439046,0.1425124065703039,0.032089201353498964,-35.83314129339669,0.0,-4.0,-8.256401769634977,0.18911580714076015,-1.0,32,-30.0,-10.0,-0.25645111187223524,0.10684184432325239
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,confirmation,2612,847301,primary,TB,圆核｜离核EE×1.125，同核EI×0.875,100,103,-0.17660194174757282,-0.002135922330097184,0.009708737864077666,-0.013677340643672431,-0.010563110001886034,-1.4714082260688883,2.0,-6.0,2.57099548988117,0.08898807762493144,-1.0,-3,5.0,0.0,0.09032938217051178,0.053056516724336755
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,confirmation,2612,847301,all_detected,ALL,圆核｜离核EE×1.125，同核EI×0.875,184,186,-0.2352442730247779,-0.07262314590505337,0.010752688172043001,0.07252009847703952,-0.06880802243154827,-44.10019931527711,1.0,-12.0,29.993637754746942,0.1380041080374229,-1.0,-2,-9.0,-2.5,0.05731304715859409,0.057610444688043994
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,confirmation,2612,847301,all_detected,TA,圆核｜离核EE×1.125，同核EI×0.875,84,60,-0.22857142857142865,-0.1227272727272729,0.01666666666666672,0.11870646676191687,0.022173387132363054,-34.51428809965728,0.0,-4.0,-7.4339388806274656,0.17677191244800533,-1.0,24,-28.5,-10.0,-0.2450403474420746,0.09869083425381375
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,confirmation,2612,847301,all_detected,TB,圆核｜离核EE×1.125，同核EI×0.875,100,126,-0.1744444444444444,-0.0033477633477634328,0.007936507936507908,-0.015696141691599663,-0.005794983372590545,-1.2989512712119904,2.0,-6.0,2.4218893188153743,0.09071765813458535,-1.0,-26,5.0,0.0,0.08910257390404563,0.05486704115996899
up3__ellipse4__EI_same_core_scale_0.75__x_plus075,up3__ellipse4__EI_same_core_scale_0.75,response,2511,847101,primary,ALL,椭圆4:1｜离核EE×1，同核EI×0.75｜x_plus075,157,156,0.029009472480810095,0.0034965034965034336,0.0,0.005158146877892067,0.03871580266536878,-0.25413019503503165,0.0,2.0,2.9574921321436705,-0.0002578160428000076,0.0,1,0.0,-3.0,0.026194211140391666,-0.00017195548464576937
up3__ellipse4__EI_same_core_scale_0.75__x_plus075,up3__ellipse4__EI_same_core_scale_0.75,response,2511,847101,primary,TA,椭圆4:1｜离核EE×1，同核EI×0.75｜x_plus075,29,39,0.06763925729442966,0.011655011655011593,0.0,0.01536936985946244,0.004813390883875779,-2.7620682731230772,0.0,-2.0,-2.936143783431362,0.012535976646614183,0.0,-10,4.0,0.0,0.12576473573406677,-0.024055436332686808
