model,n,median_rho,median_all_contact_margin,all_contact_n_positive,all_contact_wilcoxon_p_uncorrected_descriptive,median_within_shaft_margin,within_shaft_n_positive,within_shaft_wilcoxon_p_uncorrected_descriptive
empirical_train80,14,0.36470588235294116,0.3676470588235294,9,0.04805754624882886,0.14285714285714285,10,0.02471923828125
full_fixed_axis,14,-0.1588235294117647,-0.1533613445378151,6,0.357421875,-0.07450980392156856,6,0.66510009765625
local_isotropic,14,-0.192156862745098,-0.192156862745098,6,0.38043212890625,-0.04726890756302515,6,0.66510009765625
no_history,14,-0.21358543417366943,-0.21358543417366943,6,0.3128662109375,-0.11713139801375096,6,0.66510009765625
node_only,14,-0.2264705882352941,-0.22352941176470587,6,0.357421875,-0.05952380952380951,7,0.66510009765625
