count,arm,seed,status,n_returned_readable,n_distribution_events,mode_A_count,mode_B_count,ood_fraction_returned_readable,multishaft_fraction_distribution,scl_recruitment_fraction_distribution,mode_b_fraction,mode_proportion_js,natural_alignment,weak_mode_score,mean_mode_score,recruitment,precedence,profile,event_cloud
6,hand_dual_core,1561,OK,90,53,37,16,0.4111111111111111,0.6037735849056604,0.5235849056603774,0.3018867924528302,0.09485331899449961,0.8583333333333334,2.728477210603263,2.7139349120246585,1.9360408492086378,3.9442168662068964,2.643908787300412,2.331573145382688
6,hand_dual_core,1562,OK,90,53,28,25,0.4111111111111111,0.6226415094339622,0.5330188679245284,0.4716981132075472,0.026254766562360622,0.5666666666666667,2.5044049388386775,2.499457831876202,2.3491035684788297,2.9356149597356724,2.3420627274292256,2.371050071861081
6,hand_dual_core,1563,OK,87,54,29,25,0.3793103448275862,0.5370370370370371,0.4583333333333333,0.46296296296296297,0.028695261333458087,0.6274038461538461,2.9993378874559187,2.73906817713849,2.201075613430075,3.1419058286056267,2.6438277698319466,2.9694634966863136
6,hand_dual_core,1564,OK,90,61,38,23,0.32222222222222224,0.3770491803278688,0.3155737704918033,0.3770491803278688,0.058716944769862875,0.7916666666666667,3.5302890463352457,2.8528976253690224,2.4700652930707356,3.5952705016394653,2.314854401507971,3.0314003052579164
6,hand_dual_core,1565,OK,89,47,26,21,0.47191011235955055,0.5957446808510638,0.48404255319148937,0.44680851063829785,0.033498070659413945,0.5410256410256411,2.789707075023362,2.7092539635872974,2.3227455391997727,2.981466412677828,2.838509641901699,2.6942942605698903
6,hand_dual_core,1566,OK,85,52,35,17,0.38823529411764707,0.40384615384615385,0.30288461538461536,0.3269230769230769,0.08168772235603551,0.7777777777777777,3.5453992467221984,2.9986321274986203,2.4212437449020316,2.77090835037282,3.593569079912173,3.2088073348074566
6,hand_dual_core,1567,OK,75,52,23,29,0.30666666666666664,0.5,0.3894230769230769,0.5576923076923077,0.007974229709985889,0.6515151515151515,5.2228473184164255,3.409234401074718,2.6907300311094353,4.243631435128622,2.9911007668049603,3.7114753712558546
6,hand_dual_core,1568,OK,92,54,40,14,0.41304347826086957,0.5925925925925926,0.4305555555555556,0.25925925925925924,0.12018500796524066,0.7454545454545455,3.7934205333405937,3.2016430377039065,2.736802142021463,4.026148808034085,2.2053849593974224,3.8382362413626545
6,hand_dual_core,1569,OK,89,48,24,24,0.4606741573033708,0.4375,0.359375,0.5,0.019092127560847355,0.875,4.285560418491156,3.4981699741518306,3.4494173254077896,4.2296687656202385,2.451421441351807,3.862172364227486
6,hand_dual_core,1570,OK,86,60,27,33,0.3023255813953488,0.5166666666666667,0.42916666666666664,0.55,0.009187077606975846,0.9348739495798319,3.6138765970596083,2.999606187140217,2.7744122463112024,3.0323312268712446,2.2876821028301393,3.9039991725482808
