comparison,baseline,model,registered_claim_family,n_patients,median_benefit,median_ci95_low,median_ci95_high,n_positive,fraction_positive,wilcoxon_one_sided_p,bh_fdr_q,pass
claim_A_predictive_adequacy,node_bias_categorical,axis_two_state_source_full,True,22,0.07810902269913766,0.04272738153278688,0.11324701041497565,22,1.0,2.384185791015625e-07,1.430511474609375e-06,True
claim_B_history_vs_instantaneous,axis_instantaneous_no_history,axis_two_state_source_full,True,22,0.01987673069149387,0.005526109011575908,0.03243800637258287,18,0.8181818181818182,6.031990051269531e-05,0.00018095970153808594,True
claim_B_competition_vs_one_state,axis_one_state_no_competition,axis_two_state_source_full,True,22,-0.0007771650393237906,-0.0009430795966605814,-5.782061953163442e-05,5,0.22727272727272727,0.9820623397827148,0.9820623397827148,False
claim_C_axis_bundle_vs_local,local_isotropic_two_state,axis_two_state_source_full,True,22,0.0008198379211699081,-8.782256559669577e-05,0.002252119791701368,15,0.6818181818181818,0.016447067260742188,0.026906490325927734,False
claim_C_matched_axis_no_source_vs_local,local_isotropic_two_state,axis_two_state_no_source,True,22,0.0003850059395098526,-6.84953824283685e-05,0.0010320538239265709,14,0.6363636363636364,0.017937660217285156,0.026906490325927734,False
claim_D_source_conditioned_direction,axis_two_state_no_source,axis_two_state_source_full,True,22,3.0635270341417e-05,-6.597148623510574e-05,0.0002636731495275768,13,0.5909090909090909,0.21224427223205566,0.2546931266784668,False
benchmark_full_vs_ordered_markov,empirical_ordered_history_markov,axis_two_state_source_full,False,22,-0.04892374279673928,-0.07798113607534551,-0.030366633657711972,3,0.13636363636363635,0.9999921321868896,,False
