subject,seed,variant,step_bucket,n_decisions,terminal_fraction,observed_next_set_size_mean,predicted_conditional_next_set_size_mean,positive_nll_per_nonterminal_decision,negative_nll_per_nonterminal_decision,conditioning_log_z_per_nonterminal_decision,stop_nll_per_decision,normalized_total_nll_per_decision,eligible_contacts_mean,hazard_mean,hazard_std
epilepsiae_1084,17,full,1,1464,0.0,1.0,1.85468268878092,1.8013031853114616,1.4517118903342188,-0.2146874661833835,0.2702047205092597,0.33085323299715547,10.0,0.14969333897944875,0.059667728091497264
epilepsiae_1084,17,full,2,1464,0.0,1.0,1.7619617392088889,1.754522393078317,1.3131524195384934,-0.24880859916001555,0.2790709116123616,0.3442152361187967,9.0,0.15278030850041757,0.062405617129557465
epilepsiae_1084,17,full,3,1464,0.0,1.0,1.649154570724283,1.7348082797952762,1.1396474765440827,-0.30322968522021126,0.2925410176561742,0.3579708860969161,8.0,0.1524743909412948,0.06418478621555863
epilepsiae_1084,17,full,4plus,6005,0.24379683597002497,1.0,1.3923300582068643,1.7163653088182627,0.7046036705497212,-0.5551936940552965,0.5323912093360208,0.3740998604860363,5.279267277268943,0.14490913959038385,0.06410867955009922
epilepsiae_1084,17,local_isotropic,1,1464,0.0,1.0,1.8539598877196606,1.802528538191465,1.4511813634845177,-0.21487386526444394,0.2706085582611114,0.3309444594672649,10.0,0.1496091325954854,0.05998735734735004
epilepsiae_1084,17,local_isotropic,2,1464,0.0,1.0,1.761509566587051,1.7528216179375409,1.3125890959518605,-0.2487648609429589,0.27941965745162134,0.34400727893311794,9.0,0.1527472254132962,0.06297788309534756
epilepsiae_1084,17,local_isotropic,3,1464,0.0,1.0,1.648367313525754,1.7338985852560544,1.1386876739945744,-0.30337931226342707,0.2929714073613293,0.35777229429356605,8.0,0.15238276556057542,0.06485244165242161
epilepsiae_1084,17,local_isotropic,4plus,6005,0.24379683597002497,1.0,1.3913927376370299,1.7179806254892107,0.7033473484398076,-0.5563398529466056,0.5330171559771796,0.3741423780228423,5.279267277268943,0.1446975730479854,0.06456432370465914
epilepsiae_1084,29,full,1,1464,0.0,1.0,1.854723321444098,1.8012571468650704,1.451772008426467,-0.21467065006198086,0.27011385751778944,0.33084723627473295,10.0,0.14969912893219456,0.059669884028256404
epilepsiae_1084,29,full,2,1464,0.0,1.0,1.761985706297618,1.7544962202451517,1.3131892898704884,-0.2487965979194098,0.27904428455996505,0.34421479963957674,9.0,0.15278421907701153,0.06240681783917078
epilepsiae_1084,29,full,3,1464,0.0,1.0,1.6491582026341474,1.7348040128412725,1.1396534970487349,-0.3032274009871627,0.29258727703223775,0.35797717324188555,8.0,0.15247507254101322,0.06418478043170922
epilepsiae_1084,29,full,4plus,6005,0.24379683597002497,1.0,1.3923188125963084,1.7163927698903414,0.7045846684999795,-0.5552140226161264,0.532353916567272,0.3740687849010344,5.279267277268943,0.1449050593169648,0.06410683630954479
epilepsiae_1084,29,local_isotropic,1,1464,0.0,1.0,1.8540036772261697,1.8024804779944184,1.4512475860590273,-0.214855494898218,0.2705219971711294,0.3309394566326347,10.0,0.14961541590699048,0.059990533560390635
epilepsiae_1084,29,local_isotropic,2,1464,0.0,1.0,1.761561322508276,1.7527601627551583,1.312669458949332,-0.248738108353174,0.27938387027789763,0.34400837595880224,9.0,0.15275579500942743,0.06298230188213629
epilepsiae_1084,29,local_isotropic,3,1464,0.0,1.0,1.6484139334182262,1.733833980270811,1.138762920192601,-0.30334731303393475,0.29299422310232753,0.3577804763164754,8.0,0.15239194116013347,0.06485744811735433
epilepsiae_1084,29,local_isotropic,4plus,6005,0.24379683597002497,1.0,1.3914201288190087,1.7179113703280855,0.7033931769187289,-0.5562978293068824,0.5329803077075563,0.37411922916523627,5.279267277268943,0.14470646748036495,0.06456963713889033
epilepsiae_1084,43,full,1,1464,0.0,1.0,1.854698519707432,1.801283817762639,1.451735522181146,-0.21468069369215043,0.27005176668819897,0.33083904129398156,10.0,0.149695617990223,0.05966887811281192
