w_ee_mult,q,source_root_index,source_rE_hz,source_stability,source_branch_class,source_lut_clipped,exact_converged,exact_residual_inf,exact_rE_hz,exact_rI_hz,exact_stability,exact_rate_class,exact_leading_real_per_ms,exact_leading_imag_per_ms,exact_leading_frequency_hz,audit_scope
1.0,0.85,2,282.5763886203173,stable,saturation_cliff_root,False,True,2.3314683517128287e-15,282.57549048728134,304.90551236368754,stable,over_100hz,-0.029876798853823515,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.0,0.84,0,1.777613137259001,stable,low_root,False,True,1.3474724808171246e-13,1.6295040082566532,6.606121795959963,stable,low,-0.028534100972194443,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.0,0.84,1,7.655435303946648,unstable,finite_high_root,False,True,2.4523785779884122e-14,7.532060414583924,13.26812003623663,unstable,finite_high,0.049786443224111694,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.0,0.84,2,301.2862438307152,stable,saturation_cliff_root,False,True,4.440892098500626e-16,301.28533816523867,324.11530519636875,stable,over_100hz,-0.03148800925877579,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.0,0.83,0,2.515898157144109,stable,low_root,False,True,8.504082854576822e-13,2.4474612204936848,7.533001973767757,stable,low,-0.0138693238065987,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.0,0.83,1,4.289980707547388,unstable,low_root,False,True,7.771561172376096e-16,4.41367054115532,9.757340263792512,unstable,low,0.018001115181324454,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.0,0.83,2,302.88455127043113,stable,saturation_cliff_root,True,True,3.2179814368760162e-12,316.63103077500267,339.8053012065556,stable,over_100hz,-0.03277654927781855,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.0,0.82,0,302.84566158136323,stable,saturation_cliff_root,True,True,3.5416114485542494e-14,329.5249964953356,352.94044671610715,stable,over_100hz,-0.03384525306000635,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.0,0.81,0,302.8070001759853,stable,saturation_cliff_root,True,True,1.2533862836505705e-12,340.5564370609747,364.1418258318419,stable,over_100hz,-0.034754464383729596,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.0,0.8,0,302.7689536591535,stable,saturation_cliff_root,True,True,4.384170804172527e-11,350.12922795247096,373.83383550794116,stable,over_100hz,-0.0355426822012417,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,1.0,0,0.2715076048997561,stable,low_root,False,True,2.792644587801263e-14,0.23997483096586422,5.032682891574877,stable,low,-0.04736578502312863,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.99,0,0.30154826239316324,stable,low_root,False,True,5.2779829118332344e-14,0.2646393420139029,5.060562108978217,stable,low,-0.04678060308775899,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.98,0,0.330585830293379,stable,low_root,False,True,7.25140433810445e-14,0.2926547811157717,5.092232661273661,stable,low,-0.046095112683881626,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.98,1,87.88861216974271,unstable,finite_high_root,False,True,1.5626389071599078e-14,87.83085025148874,100.50699204148988,unstable,finite_high,0.019264633312065366,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.98,2,138.1891437442359,unstable,saturation_cliff_root,False,True,9.710288129127775e-13,138.21495441068882,154.12510638143513,unstable,over_100hz,0.007039561148943732,0.12618898318693927,20.083600437941456,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.97,0,0.3584866087111631,stable,low_root,False,True,7.132142099131045e-14,0.3246920896144763,5.128454418725493,stable,low,-0.04528908912771442,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.97,1,42.7397395265827,unstable,finite_high_root,False,True,3.720634911275056e-14,42.69133869739743,51.908724561684934,unstable,finite_high,0.08944350499106873,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.97,2,212.02426026385334,stable,saturation_cliff_root,False,True,5.6343818499726694e-15,212.02362164565048,231.74914630240903,stable,over_100hz,-0.014457793765072474,0.16307440147185,25.954097085997184,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.96,0,0.38510729492611706,stable,low_root,False,True,3.9663584916471706e-14,0.36162940216418643,5.170222056064696,stable,low,-0.04433643437128324,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.96,1,28.084231795580298,unstable,finite_high_root,False,True,3.3931191190106347e-15,28.06788271123066,35.978137238047644,unstable,finite_high,0.10052639849106172,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.96,2,249.38653460803755,stable,saturation_cliff_root,False,True,3.2751579226442118e-15,249.3889831883652,270.62926378722375,stable,over_100hz,-0.026879411739621165,0.17582188204731503,27.982921631550358,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.95,0,0.443677296964706,stable,low_root,False,True,1.6163806404456693e-13,0.40464754525540714,5.218873308033769,stable,low,-0.04320257538038446,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.95,1,20.172089772537113,unstable,finite_high_root,False,True,1.9046916821530147e-13,20.137029488072105,27.270999211069515,unstable,finite_high,0.10084119315395998,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.95,2,275.84678337241104,stable,saturation_cliff_root,False,True,6.838746235970916e-11,275.8468476712346,297.9764033226718,stable,over_100hz,-0.029738530538919693,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.94,0,0.5097862048764663,stable,low_root,False,True,4.365214786861138e-13,0.4553885100645983,5.276268618883148,stable,low,-0.0418401762593829,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.94,1,15.180981420452623,unstable,finite_high_root,False,True,3.8603842344997474e-13,15.146272830985753,21.75650138663114,unstable,finite_high,0.09684983546570336,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.94,2,296.24828382704635,stable,saturation_cliff_root,False,True,6.106226635438361e-16,296.2478876929664,318.9517345538961,stable,over_100hz,-0.031481256304196285,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.93,0,0.5776538218641989,stable,low_root,False,True,7.136739116342383e-13,0.5162351110281638,5.345108181147587,stable,low,-0.040181621630607046,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.93,1,11.791897391503893,unstable,finite_high_root,False,True,8.673617379884035e-17,11.721266645614214,17.951337799613434,unstable,finite_high,0.09040677131921235,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.93,2,303.41958634374544,stable,saturation_cliff_root,True,True,1.546540673302843e-13,312.7054906939254,335.7975032396035,stable,over_100hz,-0.03283527724126915,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.92,0,0.6473873460128723,stable,low_root,False,True,6.653306378057167e-13,0.5908454718408853,5.4295378748486804,stable,low,-0.03812474799283376,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
